# epoch,train_loss,valid_loss,train_pcc,valid_pcc,train_rmse,valid_rmse,train_mae,valid_mae,train_mse,valid_mse,train_r2,valid_r2
43,0.17686922,0.23498307,0.90728498,0.88101214,4.08982944,4.71408415,3.02009177,3.58739138,16.72670364,22.22259140,0.82313079,0.76398104
44,0.17620929,0.31975809,0.90766567,0.85492992,4.08219242,5.49907732,2.99306202,4.16990614,16.66429520,30.23985291,0.82379067,0.67883229
45,0.17028276,0.23752690,0.91090566,0.87522471,4.01295614,4.73953199,2.97515440,3.60581446,16.10381699,22.46316338,0.82971722,0.76142603
46,0.18273616,0.24782642,0.90406024,0.87356699,4.15710783,4.84119844,3.06706977,3.66676617,17.28154564,23.43720055,0.81726384,0.75108111
47,0.18323063,0.24004479,0.90377867,0.87868392,4.16272879,4.76458597,3.06236005,3.61306071,17.32831001,22.70128059,0.81676936,0.75889707
48,0.17081640,0.23842027,0.91066629,0.87501585,4.01923895,4.74843693,2.97422361,3.67452264,16.15428352,22.54765129,0.82918358,0.76052868
49,0.16806088,0.26580706,0.91212565,0.86893523,3.98668909,5.01374578,2.95155597,3.88878894,15.89369011,25.13764763,0.83193910,0.73302120
50,0.16937187,0.23968177,0.91144848,0.87241167,4.00220823,4.76098204,2.95958185,3.65403175,16.01767159,22.66695213,0.83062810,0.75926167
51,0.16031200,0.29591054,0.91640073,0.86911005,3.89369631,5.29004383,2.85437608,3.94675255,15.16087055,27.98456383,0.83968800,0.70278502
52,0.16115886,0.24389309,0.91590458,0.87370783,3.90396714,4.80262613,2.84937191,3.70030355,15.24095917,23.06521988,0.83884114,0.75503182
53,0.16043894,0.33629547,0.91630107,0.86431885,3.89523745,5.63948631,2.86213827,4.48178339,15.17287540,31.80380821,0.83956105,0.66222209
54,0.15767752,0.24957504,0.91781873,0.87142712,3.86157036,4.85824776,2.85681367,3.69857478,14.91172504,23.60256958,0.84232247,0.74932480
55,0.16677041,0.25401986,0.91284376,0.86501211,3.97135353,4.90131807,2.92034864,3.78894782,15.77164936,24.02291870,0.83322954,0.74486041
56,0.17992754,0.24772735,0.90560424,0.86797422,4.12503719,4.84023046,2.99219608,3.68295527,17.01593208,23.42783165,0.82007247,0.75118059
57,0.17056605,0.30981126,0.91076428,0.86208171,4.01629257,5.41287088,2.96557736,4.08139420,16.13060570,29.29916954,0.82943392,0.68882298
58,0.15898615,0.24558631,0.91708231,0.87204427,3.87756157,4.81926870,2.85380387,3.68843007,15.03548431,23.22535133,0.84101379,0.75333107
59,0.16449901,0.24071958,0.91411012,0.87523353,3.94421601,4.77127838,2.88566589,3.62823224,15.55684090,22.76509666,0.83550096,0.75821930
60,0.15082677,0.23511440,0.92151958,0.87661380,3.77675033,4.71540117,2.77578378,3.62308812,14.26384258,22.23501015,0.84917319,0.76384914
61,0.15986582,0.25598809,0.91661173,0.87406892,3.88827395,4.92026997,2.83082819,3.73992991,15.11867523,24.20905685,0.84013414,0.74288344
62,0.15195904,0.26974697,0.92090458,0.85786843,3.79089999,5.05076694,2.76931071,3.86496472,14.37092209,25.51024818,0.84804094,0.72906393
63,0.15700111,0.24950598,0.91818106,0.87456173,3.85327888,4.85757542,2.82352757,3.70812774,14.84775734,23.59603691,0.84299886,0.74939418
64,0.14733426,0.25144159,0.92341632,0.86651123,3.73276734,4.87638092,2.74376345,3.70505977,13.93355274,23.77908897,0.85266572,0.74744999
65,0.15564807,0.23747955,0.91890877,0.87438208,3.83663893,4.73905945,2.82753873,3.65461516,14.71979809,22.45868492,0.84435195,0.76147360
66,0.14610587,0.28571170,0.92407465,0.87181979,3.71717405,5.19808149,2.73459959,3.98908901,13.81738281,27.02005196,0.85389411,0.71302879
67,0.14099682,0.24928741,0.92683929,0.86600751,3.65160441,4.85544729,2.68923306,3.68984342,13.33421421,23.57536697,0.85900319,0.74961364
68,0.14801157,0.24001747,0.92307049,0.87377888,3.74133754,4.76431513,2.75804090,3.64448953,13.99760628,22.69869995,0.85198843,0.75892448
69,0.13425591,0.28093270,0.93048155,0.86858290,3.56324577,5.15442467,2.63121271,3.90590858,12.69672012,26.56809235,0.86574405,0.71782887
70,0.14143071,0.24125029,0.92660755,0.87282717,3.65721846,4.77653503,2.67106724,3.66042805,13.37524700,22.81528664,0.85856926,0.75768626
71,0.13785136,0.24656868,0.92854947,0.86937320,3.61064339,4.82889795,2.66542339,3.74119186,13.03674507,23.31825447,0.86214864,0.75234437
72,0.15247361,0.23761110,0.92066073,0.87600261,3.79731321,4.74037170,2.77712965,3.62642789,14.41958714,22.47112465,0.84752637,0.76134145
73,0.14139202,0.28095066,0.92665255,0.87045121,3.65671849,5.15458965,2.64085722,3.92919540,13.37158966,26.56979370,0.85860795,0.71781087
74,0.15193322,0.30123675,0.92091775,0.83513427,3.79057789,5.33744001,2.77092361,3.80582547,14.36848068,28.48826790,0.84806675,0.69743538
75,0.14668266,0.25653102,0.92378360,0.86967134,3.72450399,4.92548466,2.75726104,3.75689220,13.87193012,24.26040077,0.85331732,0.74233818
76,0.14204933,0.25042650,0.92626810,0.86752683,3.66520810,4.86652803,2.71108484,3.74431205,13.43375111,23.68309402,0.85795069,0.74846959
77,0.14683662,0.25068883,0.92371529,0.87077367,3.72645807,4.86907578,2.72246885,3.68665409,13.88648987,23.70790100,0.85316336,0.74820608
78,0.13968661,0.26621090,0.92755693,0.86650330,3.63459873,5.01755285,2.67008090,3.87503910,13.21030712,25.17583847,0.86031336,0.73261559
79,0.13239841,0.25370031,0.93146998,0.86876816,3.53851032,4.89823437,2.57536554,3.76167583,12.52105522,23.99270058,0.86760157,0.74518132
80,0.13516278,0.23025894,0.92998213,0.87704146,3.57525992,4.66645765,2.60158920,3.60356927,12.78248310,21.77582550,0.86483717,0.76872599
81,0.14056764,0.24494661,0.92707300,0.86972159,3.64604259,4.81298828,2.66306019,3.69922066,13.29362583,23.16485596,0.85943234,0.75397360
82,0.13562920,0.23294365,0.92975104,0.87937170,3.58142328,4.69358301,2.62490678,3.62632179,12.82659245,22.02972031,0.86437082,0.76602948
83,0.13222686,0.23763833,0.93155473,0.87308449,3.53621697,4.74064350,2.58231258,3.65103889,12.50483036,22.47370148,0.86777312,0.76131409
84,0.13866842,0.29032168,0.92811632,0.86932886,3.62132788,5.23984909,2.63967919,4.00763702,13.11401558,27.45601845,0.86133158,0.70839852
85,0.14736407,0.26110845,0.92340386,0.86744118,3.73314500,4.96923494,2.70275712,3.78418207,13.93637180,24.69329643,0.85263592,0.73774052
86,0.13439297,0.24515276,0.93038744,0.87463766,3.56506395,4.81501245,2.60140038,3.66250992,12.70968056,23.18434715,0.86560702,0.75376654
87,0.13470694,0.24442298,0.93024886,0.87024862,3.56922579,4.80784082,2.61939263,3.67826319,12.73937321,23.11533356,0.86529303,0.75449955
88,0.13077680,0.24213953,0.93234587,0.87361109,3.51677346,4.78533030,2.58402991,3.65299821,12.36769581,22.89938545,0.86922318,0.75679308
89,0.13550074,0.24727974,0.92980117,0.86930794,3.57972693,4.83585548,2.60550642,3.68004656,12.81444454,23.38549995,0.86449921,0.75163019
90,0.13322496,0.27994953,0.93105531,0.86555254,3.54953814,5.14539766,2.57630634,3.84723282,12.59922123,26.47511482,0.86677504,0.71881640
91,0.15033356,0.25152333,0.92181361,0.87051195,3.77057028,4.87717342,2.73807311,3.74858451,14.21719933,23.78681946,0.84966642,0.74736792
92,0.13784767,0.26663255,0.92852545,0.85900748,3.61059475,5.02152491,2.62085247,3.85038996,13.03639507,25.21571350,0.86215234,0.73219210
93,0.13580722,0.26140990,0.92965138,0.86621314,3.58377290,4.97210217,2.62545490,3.77682495,12.84342861,24.72180176,0.86419278,0.73743773
94,0.13705616,0.24468215,0.92897904,0.87709993,3.60021400,4.81038904,2.63351631,3.67308664,12.96154118,23.13984108,0.86294383,0.75423926
95,0.13365655,0.25976173,0.93080515,0.86316168,3.55528283,4.95640326,2.60790491,3.79326105,12.64003658,24.56593513,0.86634344,0.73909318
96,0.13592192,0.26802448,0.92957658,0.87151486,3.58528590,5.03461504,2.60887718,3.87424493,12.85427570,25.34734917,0.86407810,0.73079401
97,0.14334357,0.25414915,0.92562026,0.86983246,3.68186736,4.90256500,2.66249156,3.76931715,13.55614758,24.03514481,0.85665643,0.74473047
98,0.13949956,0.28358277,0.92765105,0.85990489,3.63216424,5.17867851,2.64667821,3.90631056,13.19261646,26.81871223,0.86050045,0.71516716
99,0.13664914,0.25964150,0.92919004,0.87112415,3.59486437,4.95525599,2.61799216,3.77052045,12.92304993,24.55456352,0.86335087,0.73921394
100,0.13296321,0.28005925,0.93116611,0.85813373,3.54604959,5.14640570,2.61185145,3.94358778,12.57446766,26.48549080,0.86703682,0.71870619
101,0.12678317,0.26778735,0.93448406,0.86863810,3.46266007,5.03238773,2.53679228,3.90051651,11.99001408,25.32492447,0.87321681,0.73103219
102,0.12913284,0.28963682,0.93324715,0.85606509,3.49459934,5.23366547,2.55972075,4.00756454,12.21222496,27.39125252,0.87086713,0.70908642
103,0.12307890,0.28280922,0.93645620,0.86410403,3.41170001,5.17161131,2.50540447,4.00421000,11.63969707,26.74556160,0.87692112,0.71594405
104,0.12944251,0.24003678,0.93306810,0.87159091,3.49878716,4.76450682,2.55481529,3.65167975,12.24151134,22.70052528,0.87055749,0.75890505
105,0.12317813,0.23961814,0.93640363,0.87308854,3.41307521,4.76035023,2.49681973,3.64691043,11.64908314,22.66093445,0.87682188,0.75932556
106,0.13303306,0.27255927,0.93112111,0.87398762,3.54698086,5.07702780,2.61576414,3.89549899,12.58107376,25.77621078,0.86696690,0.72623920
107,0.13959003,0.25154101,0.92762733,0.87628847,3.63334203,4.87734461,2.66527915,3.71817756,13.20117378,23.78849220,0.86040998,0.74735016
108,0.12730557,0.25864452,0.93420911,0.86137652,3.46978641,4.94573307,2.52687597,3.77617168,12.03941822,24.46027756,0.87269443,0.74021530
109,0.12762898,0.25416689,0.93404222,0.86338156,3.47419119,4.90273619,2.53545141,3.75328040,12.07000446,24.03682327,0.87237102,0.74471271
110,0.13069440,0.27471276,0.93239963,0.87206966,3.51566553,5.09704494,2.55503845,3.92244625,12.35990334,25.97986794,0.86930561,0.72407627
111,0.12983766,0.23484533,0.93284851,0.87492901,3.50412345,4.71270275,2.55436659,3.60834265,12.27888107,22.20956612,0.87016231,0.76411939
112,0.14182450,0.32427426,0.92640966,0.85251206,3.66230655,5.53777504,2.65209794,4.35158634,13.41248894,30.66695023,0.85817552,0.67429626
113,0.13477585,0.25097356,0.93018579,0.86732185,3.57013893,4.87184048,2.59217262,3.76844168,12.74589157,23.73482895,0.86522412,0.74792010
114,0.13018336,0.24803970,0.93267059,0.87188965,3.50878525,4.84328079,2.56076765,3.72753596,12.31157398,23.45737076,0.86981666,0.75086689
115,0.12490213,0.25337742,0.93548483,0.86418200,3.43687677,4.89511633,2.52451491,3.76925492,11.81212139,23.96216393,0.87509787,0.74550563
116,0.12558618,0.25488664,0.93511420,0.86683083,3.44627547,4.90967321,2.51662731,3.76791358,11.87681389,24.10489082,0.87441379,0.74398977
117,0.15043325,0.36750882,0.92176199,0.84900433,3.77182031,5.89539528,2.69530368,4.51915073,14.22662830,34.75568390,0.84956670,0.63087118
118,0.15268225,0.23933300,0.92052180,0.87397408,3.79991031,4.75751686,2.72217965,3.64789200,14.43931770,22.63396835,0.84731770,0.75961196
119,0.13731680,0.23404034,0.92883372,0.87522388,3.60363579,4.70461845,2.60856175,3.61220765,12.98619175,22.13343620,0.86268318,0.76492798
120,0.13536900,0.24611882,0.92987812,0.86928213,3.57798624,4.82449055,2.57306385,3.69772196,12.80198574,23.27570915,0.86463100,0.75279623
121,0.13408490,0.25360867,0.93056262,0.86512631,3.56097555,4.89734936,2.58441067,3.74642467,12.68054771,23.98403168,0.86591506,0.74527335
122,0.12628947,0.24241591,0.93474835,0.87015712,3.45591140,4.78806019,2.49533558,3.70278454,11.94332409,22.92552185,0.87371051,0.75651550
123,0.12822953,0.30033587,0.93371189,0.86063570,3.48235536,5.32945347,2.53483987,4.12032700,12.12679958,28.40307236,0.87177044,0.69834018
124,0.12496528,0.23739131,0.93544430,0.87422556,3.43774557,4.73817921,2.51443720,3.63273120,11.81809521,22.45034027,0.87503469,0.76156223
125,0.13164941,0.26492167,0.93187112,0.87281871,3.52848697,5.00538874,2.54001546,3.85914230,12.45022011,25.05391502,0.86835057,0.73391050
126,0.13126661,0.24134147,0.93209261,0.87339008,3.52335334,4.77743769,2.57940412,3.65515137,12.41401863,22.82390976,0.86873341,0.75759465
127,0.12576132,0.24492104,0.93501717,0.86938506,3.44867754,4.81273651,2.52355719,3.68224907,11.89337730,23.16243362,0.87423867,0.75399929
128,0.12863331,0.23687777,0.93351454,0.87661844,3.48783374,4.73305130,2.55468440,3.64264131,12.16498375,22.40177345,0.87136668,0.76207805
129,0.12583649,0.28157343,0.93501157,0.85601372,3.44970798,5.16029930,2.51649380,3.91340923,11.90048599,26.62868881,0.87416351,0.71718538
130,0.12778544,0.26104013,0.93395752,0.86891896,3.47632003,4.96858454,2.54956532,3.84362340,12.08480072,24.68683243,0.87221456,0.73780918
131,0.11925900,0.24149544,0.93849850,0.87150705,3.35833979,4.77896166,2.44356561,3.68590093,11.27844620,22.83847237,0.88074100,0.75743997
132,0.12348551,0.24499017,0.93622857,0.87090725,3.41733098,4.81341600,2.50388765,3.67812228,11.67815113,23.16897202,0.87651449,0.75392985
133,0.13259371,0.26961586,0.93138319,0.85976005,3.54111910,5.04953957,2.59652495,3.87830281,12.53952408,25.49785042,0.86740625,0.72919559
134,0.13429490,0.27611216,0.93046570,0.86850929,3.56376314,5.11001062,2.60119939,3.86391830,12.70040703,26.11220932,0.86570513,0.72267067
135,0.12587454,0.26472114,0.93496048,0.86447108,3.45022964,5.00349379,2.51635575,3.83082438,11.90408516,25.03495216,0.87412548,0.73411191
136,0.12996962,0.25957081,0.93278861,0.87232989,3.50590372,4.95458126,2.54209614,3.77432060,12.29136086,24.54787636,0.87003034,0.73928499
137,0.13495815,0.25630061,0.93011838,0.87019205,3.57255244,4.92327261,2.59945631,3.82550836,12.76313114,24.23861313,0.86504185,0.74256957
138,0.12430244,0.24884023,0.93579292,0.86928463,3.42861629,4.85109043,2.50558257,3.71814609,11.75541019,23.53307724,0.87569755,0.75006282
139,0.12191518,0.25151882,0.93710065,0.87659717,3.39553285,4.87712955,2.49469495,3.71520615,11.52964306,23.78639412,0.87808484,0.74737239
140,0.12375056,0.28411327,0.93611407,0.86616123,3.42099667,5.18352032,2.48089337,4.05624247,11.70321751,26.86888313,0.87624943,0.71463430
141,0.12015075,0.26457181,0.93801391,0.87212992,3.37087226,5.00208235,2.47270370,3.80596638,11.36278057,25.02082634,0.87984926,0.73426193
142,0.12502626,0.25998884,0.93542415,0.87433475,3.43858433,4.95856953,2.49784827,3.74322701,11.82386208,24.58740997,0.87497371,0.73886508
143,0.13246397,0.24517955,0.93143511,0.87040669,3.53938627,4.81527567,2.55674744,3.70523930,12.52725506,23.18688011,0.86753601,0.75373966
144,0.13073790,0.24639810,0.93237585,0.87624985,3.51625061,4.82722712,2.57454801,3.70602775,12.36401844,23.30212212,0.86926210,0.75251573
145,0.11991750,0.28668852,0.93815339,0.85242856,3.36759877,5.20695925,2.46876478,3.89797759,11.34072113,27.11242485,0.88008249,0.71204770
146,0.14362063,0.24319062,0.92542708,0.87173712,3.68542409,4.79570484,2.67742658,3.63883519,13.58235073,22.99878693,0.85637939,0.75573736
147,0.12730004,0.25739565,0.93420190,0.86645436,3.46971107,4.93377876,2.51199555,3.76754546,12.03889561,24.34217072,0.87269998,0.74146974
148,0.12184678,0.25370071,0.93712670,0.86599058,3.39458036,4.89823818,2.47539783,3.76378727,11.52317524,23.99273682,0.87815320,0.74518090
149,0.12623137,0.26010526,0.93476778,0.86590087,3.45511651,4.95967960,2.51629329,3.77885151,11.93782997,24.59842110,0.87376863,0.73874819
150,0.13076175,0.25684638,0.93237084,0.86872417,3.51657128,4.92851162,2.55312014,3.78215861,12.36627388,24.29022598,0.86923826,0.74202138
