# Reciprocal collectivity of fluctuations=  3.0
# kappa=  1.000
# Frequency reported in internal units: 0.156 ps^(-1), kT/h/ is 2.47 internal units (om-2)= 0.164
#mode pc_therm cumul om-2(harm)  RMSD  Coll_cart Coll_MW Coll_tors Max_dev_atom
   71  0.0000 1.000   0.3284  0.00972  0.157 0.200 0.147  0.192
   72  0.0000 1.000   0.3283  0.00972  0.016 0.017 0.023  0.549
   73  0.0000 1.000   0.3126  0.00948  0.250 0.265 0.198  0.153
   74  0.0000 1.000   0.3053  0.00937  0.021 0.020 0.018  0.479
   75  0.0000 1.000   0.2921  0.00917  0.248 0.260 0.241  0.155
   76  0.0000 1.000   0.2779  0.00894  0.250 0.285 0.227  0.166
   77  0.0000 1.000   0.2737  0.00887  0.291 0.318 0.193  0.214
   78  0.0000 1.000   0.2661  0.00875  0.278 0.277 0.226  0.240
   79  0.0000 1.000   0.2632   0.0087  0.023 0.022 0.022  0.448
   80  0.0000 1.000   0.2566  0.00859  0.009 0.010 0.013  0.517
   81  0.0000 1.000   0.2548  0.00856  0.118 0.135 0.103  0.353
   82  0.0000 1.000   0.2495  0.00847  0.274 0.292 0.219  0.134
   83  0.0000 1.000   0.2423  0.00835  0.033 0.033 0.020  0.405
   84  0.0000 1.000   0.2396   0.0083  0.236 0.277 0.164  0.152
   85  0.0000 1.000   0.2381  0.00828  0.006 0.009 0.007  0.814
   86  0.0000 1.000   0.2352  0.00823  0.294 0.310 0.229  0.138
   87  0.0000 1.000   0.2306  0.00815  0.230 0.273 0.228  0.144
   88  0.0000 1.000   0.2305  0.00814  0.282 0.323 0.211  0.163
   89  0.0000 1.000   0.2218  0.00799  0.379 0.334 0.253  0.121
   90  0.0000 1.000   0.2165  0.00789  0.203 0.158 0.048  0.179
   91  0.0000 1.000   0.2133  0.00784  0.025 0.021 0.019  0.320
   92  0.0000 1.000   0.2093  0.00776  0.275 0.310 0.128  0.124
   93  0.0000 1.000   0.2015  0.00761  0.251 0.254 0.226  0.161
   94  0.0000 1.000   0.1946  0.00748  0.286 0.311 0.194  0.109
   95  0.0000 1.000   0.1901   0.0074  0.309 0.317 0.185  0.140
   96  0.0000 1.000   0.1884  0.00736  0.293 0.341 0.235  0.174
   97  0.0000 1.000   0.1866  0.00733  0.221 0.253 0.240  0.189
   98  0.0000 1.000   0.1831  0.00726  0.187 0.201 0.151  0.240
   99  0.0000 1.000   0.1811  0.00722  0.165 0.176 0.126  0.265
  100  0.0000 1.000   0.1762  0.00712  0.012 0.013 0.016  0.358
  101  0.0000 1.000   0.1746  0.00709  0.174 0.203 0.187  0.214
  102  0.0000 1.000   0.1707  0.00701  0.193 0.234 0.194  0.211
  103  0.0000 1.000   0.1699  0.00699  0.186 0.222 0.129  0.243
  104  0.0000 1.000   0.1664  0.00692  0.230 0.291 0.219  0.215
  105  0.0000 1.000    0.165  0.00689  0.177 0.201 0.163  0.202
  106  0.0000 1.000   0.1591  0.00677  0.012 0.012 0.010  0.366
  107  0.0000 1.000   0.1587  0.00676  0.309 0.325 0.237  0.098
  108  0.0000 1.000   0.1563  0.00671  0.197 0.247 0.154  0.141
  109  0.0000 1.000   0.1546  0.00667  0.228 0.264 0.194  0.135
  110  0.0000 1.000   0.1517  0.00661  0.227 0.273 0.196  0.119
  111  0.0000 1.000   0.1505  0.00658  0.289 0.328 0.295  0.101
  112  0.0000 1.000   0.1471  0.00651  0.249 0.261 0.249  0.140
  113  0.0000 1.000   0.1436  0.00643  0.268 0.312 0.210  0.137
  114  0.0000 1.000   0.1415  0.00638  0.317 0.353 0.235  0.086
  115  0.0000 1.000   0.1393  0.00633  0.291 0.316 0.246  0.095
  116  0.0000 1.000   0.1377   0.0063  0.286 0.344 0.240  0.092
  117  0.0000 1.000   0.1338   0.0062  0.221 0.240 0.202  0.120
  118  0.0000 1.000   0.1316  0.00615  0.162 0.197 0.129  0.172
