species,Protein,asymptote,mid,m,Tm,r2
Geobacillus stearothermophilus NCA26 lysate,A0A0K2HCI7_GT50_15710,0.20839863977957002,71.41691056222871,2165.991330995437,72.72231323168761,0.976023271065617
Geobacillus stearothermophilus NCA26 lysate,A0A0K2HCJ3_GT50_15760,0.10370716586607327,63.03986179053008,827.987826370747,64.1799071204253,0.9547369939304711
Geobacillus stearothermophilus NCA26 lysate,A0A0K2HCJ7_GT50_17605,0.1333470309360107,66.22773700040362,3464.504784957491,66.63728146386515,0.9652916993314116
Geobacillus stearothermophilus NCA26 lysate,A0A0K2HCK1_GT50_15810,0.180534279501026,72.6714693290015,2046.0787507913478,73.85244653037157,0.9933275516676833
Geobacillus stearothermophilus NCA26 lysate,A0A0K2HCL2_proA,0.1085377125964738,63.42520173912875,1472.215518485614,64.10516531697456,0.9767565112827066
Geobacillus stearothermophilus NCA26 lysate,A0A0K2HCL7_GT50_17725,0.08663720448268637,67.03472386901427,2078.6567206482428,67.45803007139695,0.9891776660904481
Geobacillus stearothermophilus NCA26 lysate,A0A0K2HCM3_GT50_17620,0.1605518604819864,73.09134120410698,1620.4098945825272,74.40110785188133,0.9393536022859273
Geobacillus stearothermophilus NCA26 lysate,A0A0K2HCM4_hmp,0.026835573880350024,66.44597876504575,7134.549358661068,66.49078342046771,0.9513207005155466
Geobacillus stearothermophilus NCA26 lysate,A0A0K2HCN2_katG,0.06960556620925472,69.93424814520934,1488.5408053810488,70.43674766522118,0.9608736532200355
Geobacillus stearothermophilus NCA26 lysate,A0A0K2HCP4_purU,0.09458917640759713,63.13940825178543,3702.8539798868724,63.38482428733214,0.976352659836172
Geobacillus stearothermophilus NCA26 lysate,A0A0K2HCP6_GT50_17930,0.2825542441717656,71.58636995951954,1510.872179538597,74.54318351640283,0.9809245810509541
Geobacillus stearothermophilus NCA26 lysate,A0A0K2HCP8_cmk,1.800576505400763e-21,76.16213406064924,1195.8760553930945,76.16423797379443,0.9240378121316463
Geobacillus stearothermophilus NCA26 lysate,A0A0K2HCP9_GT50_17770,0.14323594815002405,67.98468018565812,1669.9006972747509,68.93412697468443,0.9987164384188051
Geobacillus stearothermophilus NCA26 lysate,A0A0K2HCQ5_parC,0.0960108442554744,67.35417631547175,2334.6542346771084,67.77632778178531,0.9439281718622025
Geobacillus stearothermophilus NCA26 lysate,A0A0K2HCQ7_GT50_16100,0.4271711093240043,64.96538116884942,1489.7854036202516,70.9319483028793,0.9791260046403036
Geobacillus stearothermophilus NCA26 lysate,A0A0K2HCR6_aroC,0.1282722941177421,71.45500720370566,9999.999999910035,71.62685053545736,0.975862480269818
Geobacillus stearothermophilus NCA26 lysate,A0A0K2HCS2_GT50_18120,0.3792487736799969,75.96159409910175,3570.0353932651315,78.37363851190361,0.9659718588888797
Geobacillus stearothermophilus NCA26 lysate,A0A0K2HCS4_GT50_18010,0.16308087242098002,73.87041769437694,4836.244742629431,74.34455751100079,0.9406839897677318
Geobacillus stearothermophilus NCA26 lysate,A0A0K2HCS5_aroA,0.1556484896566569,65.71698854105,1182.5527042365104,67.11200912812487,0.9529656949308116
Geobacillus stearothermophilus NCA26 lysate,A0A0K2HCS6_cobT,0.18345985691116162,60.03306666951828,1164.40030106407,61.49492346916261,0.9480339456283365
Geobacillus stearothermophilus NCA26 lysate,A0A0K2HCT1_GT50_18185,0.07745595090345385,66.63553328712231,625.8085714046927,67.85401182445875,0.9577057211688383
Geobacillus stearothermophilus NCA26 lysate,A0A0K2HCU3_metA,0.1750564869306099,67.7789468904679,1988.6696404832312,68.79771212150212,0.9713038915405083
Geobacillus stearothermophilus NCA26 lysate,A0A0K2HCU5_panB,0.09782599653970854,64.5801511321113,1797.9911551748737,65.09325610909826,0.9945823299185301
Geobacillus stearothermophilus NCA26 lysate,A0A0K2HCU8_GT50_18150,0.39241885593812004,71.4563361744091,2753.2182570642303,74.46695699533134,0.9267960090581926
Geobacillus stearothermophilus NCA26 lysate,A0A0K2HCU9_cbiA,0.11768643411445898,63.4639539495423,1966.5141745498645,64.0195936138441,0.966154543330746
Geobacillus stearothermophilus NCA26 lysate,A0A0K2HCV2_GT50_17595,0.11371254595432947,61.94880433223285,1862.3420460516797,62.49681889125883,0.9800164991262144
Geobacillus stearothermophilus NCA26 lysate,A0A0K2HCV3_cbiD,0.11559347709105008,63.74588323020888,1143.4731795553244,64.70061410444445,0.9663926709675589
Geobacillus stearothermophilus NCA26 lysate,A0A0K2HCV4_GT50_18180,0.0896650997198383,62.737778085231966,1390.276947442256,63.31008144195996,0.9780296537887692
Geobacillus stearothermophilus NCA26 lysate,A0A0K2HCV9_GT50_18205,0.0993086412936346,61.869667786548675,1557.7427680883643,62.42832938226443,0.9917338113336293
Geobacillus stearothermophilus NCA26 lysate,A0A0K2HCW6_GT50_16440,0.28108896422432633,77.99293668962594,3415.330962975535,79.5217162463287,0.9403946319853186
Geobacillus stearothermophilus NCA26 lysate,A0A0K2HCW9_narZ,0.03161840330460799,65.07510793385768,1064.893752255598,65.3406175441629,0.9605517343498726
Geobacillus stearothermophilus NCA26 lysate,A0A0K2HCX3_GT50_18310,0.16446915184732994,71.7787153019491,6210.943370484833,72.13273736794095,0.9182068223347072
Geobacillus stearothermophilus NCA26 lysate,A0A0K2HCX5_GT50_18290,1.8160677814753686e-17,77.6493793520956,2184.8492575097093,77.65155249350767,0.9828811855106263
Geobacillus stearothermophilus NCA26 lysate,A0A0K2HCX6_GT50_16505,0.10297788785105086,80.71464012928213,2013.2144839490752,81.4753820124316,0.9688721596805605
Geobacillus stearothermophilus NCA26 lysate,A0A0K2HCX7_GT50_17740,0.08757556072918965,67.33368261843695,2704.0424966101064,67.66565319495884,0.9851775017657787
Geobacillus stearothermophilus NCA26 lysate,A0A0K2HCY0_GT50_18330,0.23895399963863162,65.32386870721868,2020.9670816810903,66.7411415450632,0.9461390478616806
Geobacillus stearothermophilus NCA26 lysate,A0A0K2HCY1_speE,2.4057154412740545e-21,76.08138201078474,837.0641306454395,76.08247222238498,0.9471757102224032
Geobacillus stearothermophilus NCA26 lysate,A0A0K2HCY4_GT50_18515,0.17063418141429743,68.31933935210398,1321.4706276463407,69.83175963463005,0.9928442891360005
Geobacillus stearothermophilus NCA26 lysate,A0A0K2HCY8_GT50_18410,0.10771533100494961,65.22195184796178,842.6137099314207,66.47690659756353,0.9776507562019007
