"epoch","base1cd5-no_graphs - _step","base1cd5-no_graphs - _step__MIN","base1cd5-no_graphs - _step__MAX","base1cd5-no_graphs - train.rmse","base1cd5-no_graphs - train.rmse__MIN","base1cd5-no_graphs - train.rmse__MAX","base1cd5-no_graphs - valid.rmse","base1cd5-no_graphs - valid.rmse__MIN","base1cd5-no_graphs - valid.rmse__MAX","base3cd5_s1n64-all_graphs - _step","base3cd5_s1n64-all_graphs - _step__MIN","base3cd5_s1n64-all_graphs - _step__MAX","base3cd5_s1n64-all_graphs - train.rmse","base3cd5_s1n64-all_graphs - train.rmse__MIN","base3cd5_s1n64-all_graphs - train.rmse__MAX","base3cd5_s1n64-all_graphs - valid.rmse","base3cd5_s1n64-all_graphs - valid.rmse__MIN","base3cd5_s1n64-all_graphs - valid.rmse__MAX","DeepSTABp - _step","DeepSTABp - _step__MIN","DeepSTABp - _step__MAX","DeepSTABp - train.rmse","DeepSTABp - train.rmse__MIN","DeepSTABp - train.rmse__MAX","DeepSTABp - valid.rmse","DeepSTABp - valid.rmse__MIN","DeepSTABp - valid.rmse__MAX","base3d5_s1n16-all_graphs-bs64 - _step","base3d5_s1n16-all_graphs-bs64 - _step__MIN","base3d5_s1n16-all_graphs-bs64 - _step__MAX","base3d5_s1n16-all_graphs-bs64 - train.rmse","base3d5_s1n16-all_graphs-bs64 - train.rmse__MIN","base3d5_s1n16-all_graphs-bs64 - train.rmse__MAX","base3d5_s1n16-all_graphs-bs64 - valid.rmse","base3d5_s1n16-all_graphs-bs64 - valid.rmse__MIN","base3d5_s1n16-all_graphs-bs64 - valid.rmse__MAX","base3d5_s1n64-all_graphs - _step","base3d5_s1n64-all_graphs - _step__MIN","base3d5_s1n64-all_graphs - _step__MAX","base3d5_s1n64-all_graphs - train.rmse","base3d5_s1n64-all_graphs - train.rmse__MIN","base3d5_s1n64-all_graphs - train.rmse__MAX","base3d5_s1n64-all_graphs - valid.rmse","base3d5_s1n64-all_graphs - valid.rmse__MIN","base3d5_s1n64-all_graphs - valid.rmse__MAX"
"76","75","75","75","4.635514259338379","4.635514259338379","4.635514259338379","4.40061092376709","4.40061092376709","4.40061092376709","75","75","75","4.5146403312683105","4.5146403312683105","4.5146403312683105","4.260941028594971","4.260941028594971","4.260941028594971","75","75","75","2.35","2.35","2.35","4.3","4.3","4.3","75","75","75","4.482352256774902","4.482352256774902","4.482352256774902","4.657257556915283","4.657257556915283","4.657257556915283","75","75","75","3.05580472946167","3.05580472946167","3.05580472946167","4.6689300537109375","4.6689300537109375","4.6689300537109375"
"77","76","76","76","4.553539752960205","4.553539752960205","4.553539752960205","4.33455228805542","4.33455228805542","4.33455228805542","76","76","76","4.5675153732299805","4.5675153732299805","4.5675153732299805","4.388835906982422","4.388835906982422","4.388835906982422","76","76","76","2.35","2.35","2.35","4.3","4.3","4.3","76","76","76","4.369181156158447","4.369181156158447","4.369181156158447","4.827123165130615","4.827123165130615","4.827123165130615","76","76","76","3.0084166526794434","3.0084166526794434","3.0084166526794434","4.891578197479248","4.891578197479248","4.891578197479248"
"78","77","77","77","4.478878974914551","4.478878974914551","4.478878974914551","4.238834857940674","4.238834857940674","4.238834857940674","77","77","77","4.435909271240234","4.435909271240234","4.435909271240234","4.239865779876709","4.239865779876709","4.239865779876709","77","77","77","2.35","2.35","2.35","4.3","4.3","4.3","77","77","77","4.381692886352539","4.381692886352539","4.381692886352539","4.682617664337158","4.682617664337158","4.682617664337158","77","77","77","2.96644926071167","2.96644926071167","2.96644926071167","4.735973358154297","4.735973358154297","4.735973358154297"
"79","78","78","78","4.6534504890441895","4.6534504890441895","4.6534504890441895","4.368844985961914","4.368844985961914","4.368844985961914","78","78","78","4.500899314880371","4.500899314880371","4.500899314880371","4.351187229156494","4.351187229156494","4.351187229156494","78","78","78","2.35","2.35","2.35","4.3","4.3","4.3","78","78","78","4.471489906311035","4.471489906311035","4.471489906311035","4.577553749084473","4.577553749084473","4.577553749084473","78","78","78","3.085324287414551","3.085324287414551","3.085324287414551","4.8116068840026855","4.8116068840026855","4.8116068840026855"
"80","79","79","79","4.519526958465576","4.519526958465576","4.519526958465576","4.230730056762695","4.230730056762695","4.230730056762695","79","79","79","4.480802059173584","4.480802059173584","4.480802059173584","4.233682632446289","4.233682632446289","4.233682632446289","79","79","79","2.35","2.35","2.35","4.3","4.3","4.3","79","79","79","4.57504415512085","4.57504415512085","4.57504415512085","4.769765377044678","4.769765377044678","4.769765377044678","79","79","79","2.978675603866577","2.978675603866577","2.978675603866577","4.636663436889648","4.636663436889648","4.636663436889648"
"81","80","80","80","4.426692485809326","4.426692485809326","4.426692485809326","4.1847991943359375","4.1847991943359375","4.1847991943359375","80","80","80","4.28552770614624","4.28552770614624","4.28552770614624","4.203128814697266","4.203128814697266","4.203128814697266","80","80","80","2.35","2.35","2.35","4.3","4.3","4.3","80","80","80","4.340098857879639","4.340098857879639","4.340098857879639","5.082259654998779","5.082259654998779","5.082259654998779","80","80","80","2.844899892807007","2.844899892807007","2.844899892807007","4.622551918029785","4.622551918029785","4.622551918029785"
"82","81","81","81","4.434436798095703","4.434436798095703","4.434436798095703","4.2978129386901855","4.2978129386901855","4.2978129386901855","81","81","81","4.305606365203857","4.305606365203857","4.305606365203857","4.287232398986816","4.287232398986816","4.287232398986816","81","81","81","2.35","2.35","2.35","4.3","4.3","4.3","81","81","81","4.4369025230407715","4.4369025230407715","4.4369025230407715","5.190184116363525","5.190184116363525","5.190184116363525","81","81","81","2.904764175415039","2.904764175415039","2.904764175415039","4.95927095413208","4.95927095413208","4.95927095413208"
"83","82","82","82","4.386293411254883","4.386293411254883","4.386293411254883","4.26246452331543","4.26246452331543","4.26246452331543","82","82","82","4.188469886779785","4.188469886779785","4.188469886779785","4.207257270812988","4.207257270812988","4.207257270812988","82","82","82","2.35","2.35","2.35","4.3","4.3","4.3","82","82","82","4.45366096496582","4.45366096496582","4.45366096496582","4.808012008666992","4.808012008666992","4.808012008666992","82","82","82","2.793649196624756","2.793649196624756","2.793649196624756","4.688365459442139","4.688365459442139","4.688365459442139"
"84","83","83","83","4.482646465301514","4.482646465301514","4.482646465301514","4.441483497619629","4.441483497619629","4.441483497619629","83","83","83","4.357104301452637","4.357104301452637","4.357104301452637","4.49560546875","4.49560546875","4.49560546875","83","83","83","2.35","2.35","2.35","4.3","4.3","4.3","83","83","83","4.499161243438721","4.499161243438721","4.499161243438721","4.880712985992432","4.880712985992432","4.880712985992432","83","83","83","2.9590249061584473","2.9590249061584473","2.9590249061584473","4.948894023895264","4.948894023895264","4.948894023895264"
"85","84","84","84","4.49760627746582","4.49760627746582","4.49760627746582","4.221322536468506","4.221322536468506","4.221322536468506","84","84","84","4.331304550170898","4.331304550170898","4.331304550170898","4.3597822189331055","4.3597822189331055","4.3597822189331055","84","84","84","2.35","2.35","2.35","4.3","4.3","4.3","84","84","84","4.485654830932617","4.485654830932617","4.485654830932617","5.716838836669922","5.716838836669922","5.716838836669922","84","84","84","2.8395514488220215","2.8395514488220215","2.8395514488220215","5.0337114334106445","5.0337114334106445","5.0337114334106445"
"86","85","85","85","4.4715094566345215","4.4715094566345215","4.4715094566345215","4.284546375274658","4.284546375274658","4.284546375274658","85","85","85","4.28336238861084","4.28336238861084","4.28336238861084","4.42719030380249","4.42719030380249","4.42719030380249","85","85","85","2.35","2.35","2.35","4.3","4.3","4.3","85","85","85","4.478415012359619","4.478415012359619","4.478415012359619","4.484199523925781","4.484199523925781","4.484199523925781","85","85","85","2.931361198425293","2.931361198425293","2.931361198425293","5.155712127685547","5.155712127685547","5.155712127685547"
"87","86","86","86","4.416276454925537","4.416276454925537","4.416276454925537","4.23270320892334","4.23270320892334","4.23270320892334","86","86","86","4.265225410461426","4.265225410461426","4.265225410461426","4.246255397796631","4.246255397796631","4.246255397796631","86","86","86","2.35","2.35","2.35","4.3","4.3","4.3","86","86","86","4.448690414428711","4.448690414428711","4.448690414428711","5.057975769042969","5.057975769042969","5.057975769042969","86","86","86","2.8734488487243652","2.8734488487243652","2.8734488487243652","4.802844524383545","4.802844524383545","4.802844524383545"
"88","87","87","87","4.390686511993408","4.390686511993408","4.390686511993408","4.26469087600708","4.26469087600708","4.26469087600708","87","87","87","4.115673542022705","4.115673542022705","4.115673542022705","4.292908668518066","4.292908668518066","4.292908668518066","87","87","87","2.35","2.35","2.35","4.3","4.3","4.3","87","87","87","4.453505992889404","4.453505992889404","4.453505992889404","4.727395534515381","4.727395534515381","4.727395534515381","87","87","87","2.777773141860962","2.777773141860962","2.777773141860962","4.630613803863525","4.630613803863525","4.630613803863525"
"89","88","88","88","4.487104892730713","4.487104892730713","4.487104892730713","4.453441143035889","4.453441143035889","4.453441143035889","88","88","88","4.277425765991211","4.277425765991211","4.277425765991211","4.376730918884277","4.376730918884277","4.376730918884277","88","88","88","2.35","2.35","2.35","4.3","4.3","4.3","88","88","88","4.410327434539795","4.410327434539795","4.410327434539795","4.676421165466309","4.676421165466309","4.676421165466309","88","88","88","2.769261121749878","2.769261121749878","2.769261121749878","5.551816463470459","5.551816463470459","5.551816463470459"
"90","89","89","89","4.472970008850098","4.472970008850098","4.472970008850098","4.656678199768066","4.656678199768066","4.656678199768066","89","89","89","4.207403182983398","4.207403182983398","4.207403182983398","4.254205226898193","4.254205226898193","4.254205226898193","89","89","89","2.35","2.35","2.35","4.3","4.3","4.3","89","89","89","4.41934061050415","4.41934061050415","4.41934061050415","4.759061336517334","4.759061336517334","4.759061336517334","89","89","89","2.9086129665374756","2.9086129665374756","2.9086129665374756","4.620637893676758","4.620637893676758","4.620637893676758"
"91","90","90","90","4.4158854484558105","4.4158854484558105","4.4158854484558105","4.260294437408447","4.260294437408447","4.260294437408447","90","90","90","4.125631809234619","4.125631809234619","4.125631809234619","4.279758930206299","4.279758930206299","4.279758930206299","90","90","90","2.35","2.35","2.35","4.3","4.3","4.3","90","90","90","4.374690532684326","4.374690532684326","4.374690532684326","4.443324089050293","4.443324089050293","4.443324089050293","90","90","90","2.7069525718688965","2.7069525718688965","2.7069525718688965","5.392495155334473","5.392495155334473","5.392495155334473"
"92","91","91","91","4.503137111663818","4.503137111663818","4.503137111663818","4.3922247886657715","4.3922247886657715","4.3922247886657715","91","91","91","4.113344669342041","4.113344669342041","4.113344669342041","4.295522212982178","4.295522212982178","4.295522212982178","91","91","91","2.35","2.35","2.35","4.3","4.3","4.3","91","91","91","4.455401420593262","4.455401420593262","4.455401420593262","5.030487537384033","5.030487537384033","5.030487537384033","91","91","91","2.7880897521972656","2.7880897521972656","2.7880897521972656","4.7828755378723145","4.7828755378723145","4.7828755378723145"
"93","92","92","92","4.302127838134766","4.302127838134766","4.302127838134766","4.227928638458252","4.227928638458252","4.227928638458252","92","92","92","3.9025909900665283","3.9025909900665283","3.9025909900665283","4.275154113769531","4.275154113769531","4.275154113769531","92","92","92","2.35","2.35","2.35","4.3","4.3","4.3","92","92","92","4.3713274002075195","4.3713274002075195","4.3713274002075195","4.986918926239014","4.986918926239014","4.986918926239014","92","92","92","2.65972638130188","2.65972638130188","2.65972638130188","4.9374098777771","4.9374098777771","4.9374098777771"
"94","93","93","93","4.320639133453369","4.320639133453369","4.320639133453369","4.209166049957275","4.209166049957275","4.209166049957275","93","93","93","4.0201191902160645","4.0201191902160645","4.0201191902160645","4.518017292022705","4.518017292022705","4.518017292022705","93","93","93","2.35","2.35","2.35","4.3","4.3","4.3","93","93","93","4.4589457511901855","4.4589457511901855","4.4589457511901855","5.109230995178223","5.109230995178223","5.109230995178223","93","93","93","2.780348300933838","2.780348300933838","2.780348300933838","4.677737712860107","4.677737712860107","4.677737712860107"
"95","94","94","94","4.444892883300781","4.444892883300781","4.444892883300781","4.280587196350098","4.280587196350098","4.280587196350098","94","94","94","4.0006279945373535","4.0006279945373535","4.0006279945373535","4.4020819664001465","4.4020819664001465","4.4020819664001465","94","94","94","2.35","2.35","2.35","4.3","4.3","4.3","94","94","94","4.378654479980469","4.378654479980469","4.378654479980469","5.011013507843018","5.011013507843018","5.011013507843018","94","94","94","2.716838836669922","2.716838836669922","2.716838836669922","4.634294509887695","4.634294509887695","4.634294509887695"
"96","95","95","95","4.289106845855713","4.289106845855713","4.289106845855713","4.1893486976623535","4.1893486976623535","4.1893486976623535","95","95","95","3.833655595779419","3.833655595779419","3.833655595779419","4.607109546661377","4.607109546661377","4.607109546661377","95","95","95","2.35","2.35","2.35","4.3","4.3","4.3","95","95","95","4.337831974029541","4.337831974029541","4.337831974029541","5.469973087310791","5.469973087310791","5.469973087310791","95","95","95","2.6512563228607178","2.6512563228607178","2.6512563228607178","4.678552627563477","4.678552627563477","4.678552627563477"
"97","96","96","96","4.31967830657959","4.31967830657959","4.31967830657959","4.242873668670654","4.242873668670654","4.242873668670654","96","96","96","3.8118462562561035","3.8118462562561035","3.8118462562561035","4.526256561279297","4.526256561279297","4.526256561279297","96","96","96","2.35","2.35","2.35","4.3","4.3","4.3","96","96","96","4.39898157119751","4.39898157119751","4.39898157119751","5.189689636230469","5.189689636230469","5.189689636230469","96","96","96","2.670366048812866","2.670366048812866","2.670366048812866","4.66763973236084","4.66763973236084","4.66763973236084"
"98","97","97","97","4.247334957122803","4.247334957122803","4.247334957122803","4.307137966156006","4.307137966156006","4.307137966156006","97","97","97","3.8453242778778076","3.8453242778778076","3.8453242778778076","4.4141998291015625","4.4141998291015625","4.4141998291015625","97","97","97","2.35","2.35","2.35","4.3","4.3","4.3","97","97","97","4.33832311630249","4.33832311630249","4.33832311630249","4.675535678863525","4.675535678863525","4.675535678863525","97","97","97","2.6967196464538574","2.6967196464538574","2.6967196464538574","5.030561923980713","5.030561923980713","5.030561923980713"
"99","98","98","98","4.2248029708862305","4.2248029708862305","4.2248029708862305","4.191946983337402","4.191946983337402","4.191946983337402","98","98","98","3.6666500568389893","3.6666500568389893","3.6666500568389893","4.438937664031982","4.438937664031982","4.438937664031982","98","98","98","2.35","2.35","2.35","4.3","4.3","4.3","98","98","98","4.334129810333252","4.334129810333252","4.334129810333252","4.790773391723633","4.790773391723633","4.790773391723633","98","98","98","2.68053936958313","2.68053936958313","2.68053936958313","4.891934871673584","4.891934871673584","4.891934871673584"
"100","99","99","99","4.211674213409424","4.211674213409424","4.211674213409424","4.201905727386475","4.201905727386475","4.201905727386475","99","99","99","3.660045623779297","3.660045623779297","3.660045623779297","4.374240398406982","4.374240398406982","4.374240398406982","99","99","99","2.35","2.35","2.35","4.3","4.3","4.3","99","99","99","4.366756916046143","4.366756916046143","4.366756916046143","4.7569499015808105","4.7569499015808105","4.7569499015808105","99","99","99","2.6471776962280273","2.6471776962280273","2.6471776962280273","4.5682692527771","4.5682692527771","4.5682692527771"
"101","100","100","100","4.305241107940674","4.305241107940674","4.305241107940674","4.588069438934326","4.588069438934326","4.588069438934326","100","100","100","3.5995376110076904","3.5995376110076904","3.5995376110076904","4.407023906707764","4.407023906707764","4.407023906707764","100","100","100","2.35","2.35","2.35","4.3","4.3","4.3","100","100","100","4.319276809692383","4.319276809692383","4.319276809692383","4.8148088455200195","4.8148088455200195","4.8148088455200195","100","100","100","2.633878707885742","2.633878707885742","2.633878707885742","4.631856441497803","4.631856441497803","4.631856441497803"
"102","101","101","101","4.254065990447998","4.254065990447998","4.254065990447998","4.2307963371276855","4.2307963371276855","4.2307963371276855","101","101","101","3.5988380908966064","3.5988380908966064","3.5988380908966064","4.505367279052734","4.505367279052734","4.505367279052734","101","101","101","2.35","2.35","2.35","4.3","4.3","4.3","101","101","101","4.2813849449157715","4.2813849449157715","4.2813849449157715","4.898736953735352","4.898736953735352","4.898736953735352","101","101","101","2.681107997894287","2.681107997894287","2.681107997894287","5.4080047607421875","5.4080047607421875","5.4080047607421875"
"103","102","102","102","4.388613700866699","4.388613700866699","4.388613700866699","4.215774059295654","4.215774059295654","4.215774059295654","102","102","102","3.773737907409668","3.773737907409668","3.773737907409668","4.795315265655518","4.795315265655518","4.795315265655518","102","102","102","2.35","2.35","2.35","4.3","4.3","4.3","102","102","102","4.392629146575928","4.392629146575928","4.392629146575928","4.722879409790039","4.722879409790039","4.722879409790039","102","102","102","2.8028736114501953","2.8028736114501953","2.8028736114501953","5.07906436920166","5.07906436920166","5.07906436920166"
"104","103","103","103","4.225399494171143","4.225399494171143","4.225399494171143","4.297998428344727","4.297998428344727","4.297998428344727","103","103","103","3.4794278144836426","3.4794278144836426","3.4794278144836426","4.691536903381348","4.691536903381348","4.691536903381348","103","103","103","2.35","2.35","2.35","4.3","4.3","4.3","103","103","103","4.295790195465088","4.295790195465088","4.295790195465088","5.2263031005859375","5.2263031005859375","5.2263031005859375","103","103","103","2.621962308883667","2.621962308883667","2.621962308883667","5.461666584014893","5.461666584014893","5.461666584014893"
"105","104","104","104","4.155008316040039","4.155008316040039","4.155008316040039","4.229615211486816","4.229615211486816","4.229615211486816","104","104","104","3.466092348098755","3.466092348098755","3.466092348098755","5.01671838760376","5.01671838760376","5.01671838760376","104","104","104","2.35","2.35","2.35","4.3","4.3","4.3","104","104","104","4.333075523376465","4.333075523376465","4.333075523376465","6.086645603179932","6.086645603179932","6.086645603179932","104","104","104","2.669494867324829","2.669494867324829","2.669494867324829","4.67503547668457","4.67503547668457","4.67503547668457"
"106","105","105","105","4.206791400909424","4.206791400909424","4.206791400909424","4.172682762145996","4.172682762145996","4.172682762145996","105","105","105","3.485896587371826","3.485896587371826","3.485896587371826","4.514323711395264","4.514323711395264","4.514323711395264","105","105","105","2.35","2.35","2.35","4.3","4.3","4.3","105","105","105","4.276597023010254","4.276597023010254","4.276597023010254","4.835747241973877","4.835747241973877","4.835747241973877","105","105","105","2.6484265327453613","2.6484265327453613","2.6484265327453613","5.2290239334106445","5.2290239334106445","5.2290239334106445"
"107","106","106","106","4.126400947570801","4.126400947570801","4.126400947570801","4.321093559265137","4.321093559265137","4.321093559265137","106","106","106","3.3319718837738037","3.3319718837738037","3.3319718837738037","4.769536972045898","4.769536972045898","4.769536972045898","106","106","106","2.35","2.35","2.35","4.3","4.3","4.3","106","106","106","4.242038726806641","4.242038726806641","4.242038726806641","5.166774749755859","5.166774749755859","5.166774749755859","106","106","106","2.584742784500122","2.584742784500122","2.584742784500122","4.646830081939697","4.646830081939697","4.646830081939697"
"108","107","107","107","4.217293739318848","4.217293739318848","4.217293739318848","4.206036567687988","4.206036567687988","4.206036567687988","107","107","107","3.4212307929992676","3.4212307929992676","3.4212307929992676","5.104856491088867","5.104856491088867","5.104856491088867","107","107","107","2.35","2.35","2.35","4.3","4.3","4.3","107","107","107","4.381520748138428","4.381520748138428","4.381520748138428","4.794683456420898","4.794683456420898","4.794683456420898","107","107","107","2.7182106971740723","2.7182106971740723","2.7182106971740723","4.613927841186523","4.613927841186523","4.613927841186523"
"109","108","108","108","4.229891300201416","4.229891300201416","4.229891300201416","4.258145809173584","4.258145809173584","4.258145809173584","108","108","108","3.429736375808716","3.429736375808716","3.429736375808716","4.586740016937256","4.586740016937256","4.586740016937256","108","108","108","2.35","2.35","2.35","4.3","4.3","4.3","108","108","108","4.356239318847656","4.356239318847656","4.356239318847656","4.719651222229004","4.719651222229004","4.719651222229004","108","108","108","2.752305030822754","2.752305030822754","2.752305030822754","4.823043346405029","4.823043346405029","4.823043346405029"
"110","109","109","109","4.111034870147705","4.111034870147705","4.111034870147705","4.424192428588867","4.424192428588867","4.424192428588867","109","109","109","3.3397154808044434","3.3397154808044434","3.3397154808044434","5.210661888122559","5.210661888122559","5.210661888122559","109","109","109","2.35","2.35","2.35","4.3","4.3","4.3","109","109","109","4.229995250701904","4.229995250701904","4.229995250701904","5.061526775360107","5.061526775360107","5.061526775360107","109","109","109","2.663036346435547","2.663036346435547","2.663036346435547","4.7879791259765625","4.7879791259765625","4.7879791259765625"
"111","110","110","110","4.094056606292725","4.094056606292725","4.094056606292725","4.215229034423828","4.215229034423828","4.215229034423828","110","110","110","3.2134246826171875","3.2134246826171875","3.2134246826171875","4.577339172363281","4.577339172363281","4.577339172363281","110","110","110","2.35","2.35","2.35","4.3","4.3","4.3","110","110","110","4.355777740478516","4.355777740478516","4.355777740478516","5.214199542999268","5.214199542999268","5.214199542999268","110","110","110","2.6042356491088867","2.6042356491088867","2.6042356491088867","4.672102928161621","4.672102928161621","4.672102928161621"
"112","111","111","111","4.127018928527832","4.127018928527832","4.127018928527832","4.251070022583008","4.251070022583008","4.251070022583008","111","111","111","3.229062795639038","3.229062795639038","3.229062795639038","4.4911298751831055","4.4911298751831055","4.4911298751831055","111","111","111","2.35","2.35","2.35","4.3","4.3","4.3","111","111","111","4.297755241394043","4.297755241394043","4.297755241394043","5.112077236175537","5.112077236175537","5.112077236175537","111","111","111","2.59135365486145","2.59135365486145","2.59135365486145","4.637681007385254","4.637681007385254","4.637681007385254"
"113","112","112","112","4.119317054748535","4.119317054748535","4.119317054748535","4.177881240844727","4.177881240844727","4.177881240844727","112","112","112","3.268749475479126","3.268749475479126","3.268749475479126","4.573005199432373","4.573005199432373","4.573005199432373","112","112","112","2.35","2.35","2.35","4.3","4.3","4.3","112","112","112","4.425353527069092","4.425353527069092","4.425353527069092","4.618021488189697","4.618021488189697","4.618021488189697","112","112","112","2.576371908187866","2.576371908187866","2.576371908187866","4.755846977233887","4.755846977233887","4.755846977233887"
"114","113","113","113","4.075446128845215","4.075446128845215","4.075446128845215","4.384406566619873","4.384406566619873","4.384406566619873","113","113","113","3.0925538539886475","3.0925538539886475","3.0925538539886475","5.264910697937012","5.264910697937012","5.264910697937012","113","113","113","2.35","2.35","2.35","4.3","4.3","4.3","113","113","113","4.28415060043335","4.28415060043335","4.28415060043335","4.953880310058594","4.953880310058594","4.953880310058594","113","113","113","2.6651558876037598","2.6651558876037598","2.6651558876037598","4.832666397094727","4.832666397094727","4.832666397094727"
"115","114","114","114","4.022785186767578","4.022785186767578","4.022785186767578","4.293524742126465","4.293524742126465","4.293524742126465","114","114","114","3.0357346534729004","3.0357346534729004","3.0357346534729004","4.639290809631348","4.639290809631348","4.639290809631348","114","114","114","2.35","2.35","2.35","4.3","4.3","4.3","114","114","114","4.282431125640869","4.282431125640869","4.282431125640869","4.859906196594238","4.859906196594238","4.859906196594238","114","114","114","2.5346686840057373","2.5346686840057373","2.5346686840057373","4.608031749725342","4.608031749725342","4.608031749725342"
"116","115","115","115","4.077435493469238","4.077435493469238","4.077435493469238","4.200697898864746","4.200697898864746","4.200697898864746","115","115","115","3.0123870372772217","3.0123870372772217","3.0123870372772217","5.661424160003662","5.661424160003662","5.661424160003662","115","115","115","2.35","2.35","2.35","4.3","4.3","4.3","115","115","115","4.294150352478027","4.294150352478027","4.294150352478027","4.970813751220703","4.970813751220703","4.970813751220703","115","115","115","2.6663851737976074","2.6663851737976074","2.6663851737976074","4.811100959777832","4.811100959777832","4.811100959777832"
"117","116","116","116","4.055861473083496","4.055861473083496","4.055861473083496","4.684444904327393","4.684444904327393","4.684444904327393","116","116","116","3.0451323986053467","3.0451323986053467","3.0451323986053467","4.621695518493652","4.621695518493652","4.621695518493652","116","116","116","2.35","2.35","2.35","4.3","4.3","4.3","116","116","116","4.327890396118164","4.327890396118164","4.327890396118164","5.477726936340332","5.477726936340332","5.477726936340332","116","116","116","2.6023077964782715","2.6023077964782715","2.6023077964782715","4.658320426940918","4.658320426940918","4.658320426940918"
"118","117","117","117","4.22165584564209","4.22165584564209","4.22165584564209","4.182064056396484","4.182064056396484","4.182064056396484","117","117","117","3.184279441833496","3.184279441833496","3.184279441833496","4.914854049682617","4.914854049682617","4.914854049682617","117","117","117","2.35","2.35","2.35","4.3","4.3","4.3","117","117","117","4.455358982086182","4.455358982086182","4.455358982086182","4.698824882507324","4.698824882507324","4.698824882507324","117","117","117","2.5214555263519287","2.5214555263519287","2.5214555263519287","5.004143714904785","5.004143714904785","5.004143714904785"
"119","118","118","118","3.9275293350219727","3.9275293350219727","3.9275293350219727","4.23811149597168","4.23811149597168","4.23811149597168","118","118","118","2.913426637649536","2.913426637649536","2.913426637649536","4.821913242340088","4.821913242340088","4.821913242340088","118","118","118","2.35","2.35","2.35","4.3","4.3","4.3","118","118","118","4.340322494506836","4.340322494506836","4.340322494506836","4.624350070953369","4.624350070953369","4.624350070953369","118","118","118","2.474195957183838","2.474195957183838","2.474195957183838","4.696967601776123","4.696967601776123","4.696967601776123"
"120","119","119","119","3.9372501373291016","3.9372501373291016","3.9372501373291016","4.254462242126465","4.254462242126465","4.254462242126465","119","119","119","2.8678841590881348","2.8678841590881348","2.8678841590881348","4.565645694732666","4.565645694732666","4.565645694732666","119","119","119","2.35","2.35","2.35","4.3","4.3","4.3","119","119","119","4.316623210906982","4.316623210906982","4.316623210906982","4.751262187957764","4.751262187957764","4.751262187957764","119","119","119","2.5885543823242188","2.5885543823242188","2.5885543823242188","4.588528156280518","4.588528156280518","4.588528156280518"
"121","120","120","120","3.9861717224121094","3.9861717224121094","3.9861717224121094","4.250573635101318","4.250573635101318","4.250573635101318","120","120","120","3.0050766468048096","3.0050766468048096","3.0050766468048096","4.73949670791626","4.73949670791626","4.73949670791626","120","120","120","2.35","2.35","2.35","4.3","4.3","4.3","120","120","120","4.250889778137207","4.250889778137207","4.250889778137207","5.028650760650635","5.028650760650635","5.028650760650635","120","120","120","2.634215831756592","2.634215831756592","2.634215831756592","5.063641548156738","5.063641548156738","5.063641548156738"
"122","121","121","121","3.915158987045288","3.915158987045288","3.915158987045288","4.180656909942627","4.180656909942627","4.180656909942627","121","121","121","2.806183338165283","2.806183338165283","2.806183338165283","4.56312370300293","4.56312370300293","4.56312370300293","121","121","121","2.35","2.35","2.35","4.3","4.3","4.3","121","121","121","4.279494285583496","4.279494285583496","4.279494285583496","4.699720859527588","4.699720859527588","4.699720859527588","121","121","121","2.5660033226013184","2.5660033226013184","2.5660033226013184","4.56730318069458","4.56730318069458","4.56730318069458"
"123","122","122","122","3.942626714706421","3.942626714706421","3.942626714706421","4.239565849304199","4.239565849304199","4.239565849304199","122","122","122","2.729466676712036","2.729466676712036","2.729466676712036","5.206902980804443","5.206902980804443","5.206902980804443","122","122","122","2.35","2.35","2.35","4.3","4.3","4.3","122","122","122","4.34994649887085","4.34994649887085","4.34994649887085","4.759387016296387","4.759387016296387","4.759387016296387","122","122","122","2.5973448753356934","2.5973448753356934","2.5973448753356934","4.604153633117676","4.604153633117676","4.604153633117676"
"124","123","123","123","3.894115686416626","3.894115686416626","3.894115686416626","4.18830680847168","4.18830680847168","4.18830680847168","123","123","123","2.7043917179107666","2.7043917179107666","2.7043917179107666","4.756774425506592","4.756774425506592","4.756774425506592","123","123","123","2.35","2.35","2.35","4.3","4.3","4.3","123","123","123","4.244193077087402","4.244193077087402","4.244193077087402","4.6061530113220215","4.6061530113220215","4.6061530113220215","123","123","123","2.4696812629699707","2.4696812629699707","2.4696812629699707","4.864612579345703","4.864612579345703","4.864612579345703"
"125","124","124","124","3.887110471725464","3.887110471725464","3.887110471725464","4.239527225494385","4.239527225494385","4.239527225494385","124","124","124","2.6827454566955566","2.6827454566955566","2.6827454566955566","4.6281938552856445","4.6281938552856445","4.6281938552856445","124","124","124","2.35","2.35","2.35","4.3","4.3","4.3","124","124","124","4.249916076660156","4.249916076660156","4.249916076660156","4.660238265991211","4.660238265991211","4.660238265991211","124","124","124","2.429286241531372","2.429286241531372","2.429286241531372","4.635959148406982","4.635959148406982","4.635959148406982"
