"epoch","base1cd5-no_graphs - _step","base1cd5-no_graphs - _step__MIN","base1cd5-no_graphs - _step__MAX","base1cd5-no_graphs - train.rmse","base1cd5-no_graphs - train.rmse__MIN","base1cd5-no_graphs - train.rmse__MAX","base1cd5-no_graphs - valid.rmse","base1cd5-no_graphs - valid.rmse__MIN","base1cd5-no_graphs - valid.rmse__MAX","base3cd5_s1n64-all_graphs - _step","base3cd5_s1n64-all_graphs - _step__MIN","base3cd5_s1n64-all_graphs - _step__MAX","base3cd5_s1n64-all_graphs - train.rmse","base3cd5_s1n64-all_graphs - train.rmse__MIN","base3cd5_s1n64-all_graphs - train.rmse__MAX","base3cd5_s1n64-all_graphs - valid.rmse","base3cd5_s1n64-all_graphs - valid.rmse__MIN","base3cd5_s1n64-all_graphs - valid.rmse__MAX","DeepSTABp - _step","DeepSTABp - _step__MIN","DeepSTABp - _step__MAX","DeepSTABp - train.rmse","DeepSTABp - train.rmse__MIN","DeepSTABp - train.rmse__MAX","DeepSTABp - valid.rmse","DeepSTABp - valid.rmse__MIN","DeepSTABp - valid.rmse__MAX","base3d5_s1n16-all_graphs-bs64 - _step","base3d5_s1n16-all_graphs-bs64 - _step__MIN","base3d5_s1n16-all_graphs-bs64 - _step__MAX","base3d5_s1n16-all_graphs-bs64 - train.rmse","base3d5_s1n16-all_graphs-bs64 - train.rmse__MIN","base3d5_s1n16-all_graphs-bs64 - train.rmse__MAX","base3d5_s1n16-all_graphs-bs64 - valid.rmse","base3d5_s1n16-all_graphs-bs64 - valid.rmse__MIN","base3d5_s1n16-all_graphs-bs64 - valid.rmse__MAX","base3d5_s1n64-all_graphs - _step","base3d5_s1n64-all_graphs - _step__MIN","base3d5_s1n64-all_graphs - _step__MAX","base3d5_s1n64-all_graphs - train.rmse","base3d5_s1n64-all_graphs - train.rmse__MIN","base3d5_s1n64-all_graphs - train.rmse__MAX","base3d5_s1n64-all_graphs - valid.rmse","base3d5_s1n64-all_graphs - valid.rmse__MIN","base3d5_s1n64-all_graphs - valid.rmse__MAX"
"11","10","10","10","14.88988971710205","14.88988971710205","14.88988971710205","6.64626932144165","6.64626932144165","6.64626932144165","10","10","10","23.191720962524414","23.191720962524414","23.191720962524414","6.769404888153076","6.769404888153076","6.769404888153076","10","10","10","2.35","2.35","2.35","4.3","4.3","4.3","10","10","10","5.449629306793213","5.449629306793213","5.449629306793213","4.500183582305908","4.500183582305908","4.500183582305908","10","10","10","5.779397010803223","5.779397010803223","5.779397010803223","4.89102029800415","4.89102029800415","4.89102029800415"
"12","11","11","11","13.249120712280273","13.249120712280273","13.249120712280273","6.707528114318848","6.707528114318848","6.707528114318848","11","11","11","20.328439712524414","20.328439712524414","20.328439712524414","6.81185245513916","6.81185245513916","6.81185245513916","11","11","11","2.35","2.35","2.35","4.3","4.3","4.3","11","11","11","5.467496395111084","5.467496395111084","5.467496395111084","4.394222736358643","4.394222736358643","4.394222736358643","11","11","11","5.7662811279296875","5.7662811279296875","5.7662811279296875","4.793993949890137","4.793993949890137","4.793993949890137"
"13","12","12","12","11.762088775634766","11.762088775634766","11.762088775634766","6.615326404571533","6.615326404571533","6.615326404571533","12","12","12","18.037574768066406","18.037574768066406","18.037574768066406","6.906704425811768","6.906704425811768","6.906704425811768","12","12","12","2.35","2.35","2.35","4.3","4.3","4.3","12","12","12","5.316405773162842","5.316405773162842","5.316405773162842","4.416660308837891","4.416660308837891","4.416660308837891","12","12","12","5.551100730895996","5.551100730895996","5.551100730895996","4.7430267333984375","4.7430267333984375","4.7430267333984375"
"14","13","13","13","10.882237434387207","10.882237434387207","10.882237434387207","6.801033020019531","6.801033020019531","6.801033020019531","13","13","13","16.451433181762695","16.451433181762695","16.451433181762695","6.8472185134887695","6.8472185134887695","6.8472185134887695","13","13","13","2.35","2.35","2.35","4.3","4.3","4.3","13","13","13","5.258335590362549","5.258335590362549","5.258335590362549","4.910224437713623","4.910224437713623","4.910224437713623","13","13","13","5.498526573181152","5.498526573181152","5.498526573181152","5.114944934844971","5.114944934844971","5.114944934844971"
"15","14","14","14","10.015684127807617","10.015684127807617","10.015684127807617","6.8257527351379395","6.8257527351379395","6.8257527351379395","14","14","14","14.884612083435059","14.884612083435059","14.884612083435059","6.954560279846191","6.954560279846191","6.954560279846191","14","14","14","2.35","2.35","2.35","4.3","4.3","4.3","14","14","14","5.308355331420898","5.308355331420898","5.308355331420898","4.533111095428467","4.533111095428467","4.533111095428467","14","14","14","5.465673446655273","5.465673446655273","5.465673446655273","4.600139141082764","4.600139141082764","4.600139141082764"
"16","15","15","15","9.404664039611816","9.404664039611816","9.404664039611816","6.456124782562256","6.456124782562256","6.456124782562256","15","15","15","13.591224670410156","13.591224670410156","13.591224670410156","6.819509983062744","6.819509983062744","6.819509983062744","15","15","15","2.35","2.35","2.35","4.3","4.3","4.3","15","15","15","5.233132839202881","5.233132839202881","5.233132839202881","4.5717949867248535","4.5717949867248535","4.5717949867248535","15","15","15","5.365182876586914","5.365182876586914","5.365182876586914","4.538990020751953","4.538990020751953","4.538990020751953"
"17","16","16","16","8.764967918395996","8.764967918395996","8.764967918395996","6.571451187133789","6.571451187133789","6.571451187133789","16","16","16","12.272379875183105","12.272379875183105","12.272379875183105","6.921938419342041","6.921938419342041","6.921938419342041","16","16","16","2.35","2.35","2.35","4.3","4.3","4.3","16","16","16","5.258546829223633","5.258546829223633","5.258546829223633","4.675476551055908","4.675476551055908","4.675476551055908","16","16","16","5.300831317901611","5.300831317901611","5.300831317901611","4.528003215789795","4.528003215789795","4.528003215789795"
"18","17","17","17","8.312735557556152","8.312735557556152","8.312735557556152","6.24010705947876","6.24010705947876","6.24010705947876","17","17","17","11.497193336486816","11.497193336486816","11.497193336486816","6.648059368133545","6.648059368133545","6.648059368133545","17","17","17","2.35","2.35","2.35","4.3","4.3","4.3","17","17","17","5.237327575683594","5.237327575683594","5.237327575683594","4.604146957397461","4.604146957397461","4.604146957397461","17","17","17","5.195694923400879","5.195694923400879","5.195694923400879","4.618807792663574","4.618807792663574","4.618807792663574"
"19","18","18","18","7.905025482177734","7.905025482177734","7.905025482177734","6.135944366455078","6.135944366455078","6.135944366455078","18","18","18","10.70248031616211","10.70248031616211","10.70248031616211","6.621914863586426","6.621914863586426","6.621914863586426","18","18","18","2.35","2.35","2.35","4.3","4.3","4.3","18","18","18","5.256350040435791","5.256350040435791","5.256350040435791","4.464099884033203","4.464099884033203","4.464099884033203","18","18","18","5.149371147155762","5.149371147155762","5.149371147155762","4.533407211303711","4.533407211303711","4.533407211303711"
"20","19","19","19","7.556293487548828","7.556293487548828","7.556293487548828","6.024680137634277","6.024680137634277","6.024680137634277","19","19","19","10.079751968383789","10.079751968383789","10.079751968383789","6.566268444061279","6.566268444061279","6.566268444061279","19","19","19","2.35","2.35","2.35","4.3","4.3","4.3","19","19","19","5.090104103088379","5.090104103088379","5.090104103088379","4.424291133880615","4.424291133880615","4.424291133880615","19","19","19","5.121529579162598","5.121529579162598","5.121529579162598","4.501588344573975","4.501588344573975","4.501588344573975"
