"epoch","base1cd5-no_graphs - _step","base1cd5-no_graphs - _step__MIN","base1cd5-no_graphs - _step__MAX","base1cd5-no_graphs - train.mae","base1cd5-no_graphs - train.mae__MIN","base1cd5-no_graphs - train.mae__MAX","base1cd5-no_graphs - valid.mae","base1cd5-no_graphs - valid.mae__MIN","base1cd5-no_graphs - valid.mae__MAX","base3cd5_s1n64-all_graphs - _step","base3cd5_s1n64-all_graphs - _step__MIN","base3cd5_s1n64-all_graphs - _step__MAX","base3cd5_s1n64-all_graphs - train.mae","base3cd5_s1n64-all_graphs - train.mae__MIN","base3cd5_s1n64-all_graphs - train.mae__MAX","base3cd5_s1n64-all_graphs - valid.mae","base3cd5_s1n64-all_graphs - valid.mae__MIN","base3cd5_s1n64-all_graphs - valid.mae__MAX","DeepSTABp - _step","DeepSTABp - _step__MIN","DeepSTABp - _step__MAX","DeepSTABp - train.mae","DeepSTABp - train.mae__MIN","DeepSTABp - train.mae__MAX","DeepSTABp - valid.mae","DeepSTABp - valid.mae__MIN","DeepSTABp - valid.mae__MAX","base3d5_s1n16-all_graphs-bs64 - _step","base3d5_s1n16-all_graphs-bs64 - _step__MIN","base3d5_s1n16-all_graphs-bs64 - _step__MAX","base3d5_s1n16-all_graphs-bs64 - train.mae","base3d5_s1n16-all_graphs-bs64 - train.mae__MIN","base3d5_s1n16-all_graphs-bs64 - train.mae__MAX","base3d5_s1n16-all_graphs-bs64 - valid.mae","base3d5_s1n16-all_graphs-bs64 - valid.mae__MIN","base3d5_s1n16-all_graphs-bs64 - valid.mae__MAX","base3d5_s1n64-all_graphs - _step","base3d5_s1n64-all_graphs - _step__MIN","base3d5_s1n64-all_graphs - _step__MAX","base3d5_s1n64-all_graphs - train.mae","base3d5_s1n64-all_graphs - train.mae__MIN","base3d5_s1n64-all_graphs - train.mae__MAX","base3d5_s1n64-all_graphs - valid.mae","base3d5_s1n64-all_graphs - valid.mae__MIN","base3d5_s1n64-all_graphs - valid.mae__MAX"
"11","10","10","10","10.954326629638672","10.954326629638672","10.954326629638672","4.936551094055176","4.936551094055176","4.936551094055176","10","10","10","16.856088638305664","16.856088638305664","16.856088638305664","5.090189456939697","5.090189456939697","5.090189456939697","10","10","10","1.81","1.81","1.81","3.22","3.22","3.22","10","10","10","4.1035284996032715","4.1035284996032715","4.1035284996032715","3.5129449367523193","3.5129449367523193","3.5129449367523193","10","10","10","4.480863571166992","4.480863571166992","4.480863571166992","3.8556711673736572","3.8556711673736572","3.8556711673736572"
"12","11","11","11","9.835644721984863","9.835644721984863","9.835644721984863","5.056702136993408","5.056702136993408","5.056702136993408","11","11","11","14.797343254089355","14.797343254089355","14.797343254089355","5.1277008056640625","5.1277008056640625","5.1277008056640625","11","11","11","1.81","1.81","1.81","3.22","3.22","3.22","11","11","11","4.1062469482421875","4.1062469482421875","4.1062469482421875","3.4179880619049072","3.4179880619049072","3.4179880619049072","11","11","11","4.448087215423584","4.448087215423584","4.448087215423584","3.7694599628448486","3.7694599628448486","3.7694599628448486"
"13","12","12","12","8.826201438903809","8.826201438903809","8.826201438903809","4.943401336669922","4.943401336669922","4.943401336669922","12","12","12","13.252549171447754","13.252549171447754","13.252549171447754","5.2332000732421875","5.2332000732421875","5.2332000732421875","12","12","12","1.81","1.81","1.81","3.22","3.22","3.22","12","12","12","4.016727447509766","4.016727447509766","4.016727447509766","3.4444282054901123","3.4444282054901123","3.4444282054901123","12","12","12","4.302524566650391","4.302524566650391","4.302524566650391","3.717424154281616","3.717424154281616","3.717424154281616"
"14","13","13","13","8.194805145263672","8.194805145263672","8.194805145263672","5.186061859130859","5.186061859130859","5.186061859130859","13","13","13","12.136682510375977","12.136682510375977","12.136682510375977","5.17199182510376","5.17199182510376","5.17199182510376","13","13","13","1.81","1.81","1.81","3.22","3.22","3.22","13","13","13","3.9660544395446777","3.9660544395446777","3.9660544395446777","3.9368107318878174","3.9368107318878174","3.9368107318878174","13","13","13","4.2332024574279785","4.2332024574279785","4.2332024574279785","4.127139568328857","4.127139568328857","4.127139568328857"
"15","14","14","14","7.591196060180664","7.591196060180664","7.591196060180664","5.097642421722412","5.097642421722412","5.097642421722412","14","14","14","10.997077941894531","10.997077941894531","10.997077941894531","5.217919826507568","5.217919826507568","5.217919826507568","14","14","14","1.81","1.81","1.81","3.22","3.22","3.22","14","14","14","3.9628989696502686","3.9628989696502686","3.9628989696502686","3.54551362991333","3.54551362991333","3.54551362991333","14","14","14","4.2374444007873535","4.2374444007873535","4.2374444007873535","3.607717752456665","3.607717752456665","3.607717752456665"
"16","15","15","15","7.1334428787231445","7.1334428787231445","7.1334428787231445","4.813000202178955","4.813000202178955","4.813000202178955","15","15","15","10.048308372497559","10.048308372497559","10.048308372497559","5.131402015686035","5.131402015686035","5.131402015686035","15","15","15","1.81","1.81","1.81","3.22","3.22","3.22","15","15","15","3.955618143081665","3.955618143081665","3.955618143081665","3.507277011871338","3.507277011871338","3.507277011871338","15","15","15","4.143085956573486","4.143085956573486","4.143085956573486","3.5581214427948","3.5581214427948","3.5581214427948"
"17","16","16","16","6.688653469085693","6.688653469085693","6.688653469085693","4.9405622482299805","4.9405622482299805","4.9405622482299805","16","16","16","9.139739990234375","9.139739990234375","9.139739990234375","5.232614040374756","5.232614040374756","5.232614040374756","16","16","16","1.81","1.81","1.81","3.22","3.22","3.22","16","16","16","3.907740592956543","3.907740592956543","3.907740592956543","3.746100664138794","3.746100664138794","3.746100664138794","16","16","16","4.0828938484191895","4.0828938484191895","4.0828938484191895","3.5486345291137695","3.5486345291137695","3.5486345291137695"
"18","17","17","17","6.358816623687744","6.358816623687744","6.358816623687744","4.675467491149902","4.675467491149902","4.675467491149902","17","17","17","8.62961196899414","8.62961196899414","8.62961196899414","5.008138179779053","5.008138179779053","5.008138179779053","17","17","17","1.81","1.81","1.81","3.22","3.22","3.22","17","17","17","3.9283792972564697","3.9283792972564697","3.9283792972564697","3.610074043273926","3.610074043273926","3.610074043273926","17","17","17","4.012165069580078","4.012165069580078","4.012165069580078","3.5948681831359863","3.5948681831359863","3.5948681831359863"
"19","18","18","18","6.07512903213501","6.07512903213501","6.07512903213501","4.631892204284668","4.631892204284668","4.631892204284668","18","18","18","8.003395080566406","8.003395080566406","8.003395080566406","4.979719161987305","4.979719161987305","4.979719161987305","18","18","18","1.81","1.81","1.81","3.22","3.22","3.22","18","18","18","3.913640022277832","3.913640022277832","3.913640022277832","3.5090014934539795","3.5090014934539795","3.5090014934539795","18","18","18","3.98233962059021","3.98233962059021","3.98233962059021","3.541924476623535","3.541924476623535","3.541924476623535"
"20","19","19","19","5.791512489318848","5.791512489318848","5.791512489318848","4.555413722991943","4.555413722991943","4.555413722991943","19","19","19","7.606404781341553","7.606404781341553","7.606404781341553","4.925459384918213","4.925459384918213","4.925459384918213","19","19","19","1.81","1.81","1.81","3.22","3.22","3.22","19","19","19","3.8205344676971436","3.8205344676971436","3.8205344676971436","3.418365955352783","3.418365955352783","3.418365955352783","19","19","19","3.9497923851013184","3.9497923851013184","3.9497923851013184","3.4981489181518555","3.4981489181518555","3.4981489181518555"
