"epoch","base1cd5-no_graphs - _step","base1cd5-no_graphs - _step__MIN","base1cd5-no_graphs - _step__MAX","base1cd5-no_graphs - train.mae","base1cd5-no_graphs - train.mae__MIN","base1cd5-no_graphs - train.mae__MAX","base1cd5-no_graphs - valid.mae","base1cd5-no_graphs - valid.mae__MIN","base1cd5-no_graphs - valid.mae__MAX","base3cd5_s1n64-all_graphs - _step","base3cd5_s1n64-all_graphs - _step__MIN","base3cd5_s1n64-all_graphs - _step__MAX","base3cd5_s1n64-all_graphs - train.mae","base3cd5_s1n64-all_graphs - train.mae__MIN","base3cd5_s1n64-all_graphs - train.mae__MAX","base3cd5_s1n64-all_graphs - valid.mae","base3cd5_s1n64-all_graphs - valid.mae__MIN","base3cd5_s1n64-all_graphs - valid.mae__MAX","DeepSTABp - _step","DeepSTABp - _step__MIN","DeepSTABp - _step__MAX","DeepSTABp - train.mae","DeepSTABp - train.mae__MIN","DeepSTABp - train.mae__MAX","DeepSTABp - valid.mae","DeepSTABp - valid.mae__MIN","DeepSTABp - valid.mae__MAX","base3d5_s1n16-all_graphs-bs64 - _step","base3d5_s1n16-all_graphs-bs64 - _step__MIN","base3d5_s1n16-all_graphs-bs64 - _step__MAX","base3d5_s1n16-all_graphs-bs64 - train.mae","base3d5_s1n16-all_graphs-bs64 - train.mae__MIN","base3d5_s1n16-all_graphs-bs64 - train.mae__MAX","base3d5_s1n16-all_graphs-bs64 - valid.mae","base3d5_s1n16-all_graphs-bs64 - valid.mae__MIN","base3d5_s1n16-all_graphs-bs64 - valid.mae__MAX","base3d5_s1n64-all_graphs - _step","base3d5_s1n64-all_graphs - _step__MIN","base3d5_s1n64-all_graphs - _step__MAX","base3d5_s1n64-all_graphs - train.mae","base3d5_s1n64-all_graphs - train.mae__MIN","base3d5_s1n64-all_graphs - train.mae__MAX","base3d5_s1n64-all_graphs - valid.mae","base3d5_s1n64-all_graphs - valid.mae__MIN","base3d5_s1n64-all_graphs - valid.mae__MAX"
"76","75","75","75","3.627091884613037","3.627091884613037","3.627091884613037","3.518296957015991","3.518296957015991","3.518296957015991","75","75","75","3.5189342498779297","3.5189342498779297","3.5189342498779297","3.340085983276367","3.340085983276367","3.340085983276367","75","75","75","1.81","1.81","1.81","3.22","3.22","3.22","75","75","75","3.313688039779663","3.313688039779663","3.313688039779663","3.6424636840820312","3.6424636840820312","3.6424636840820312","75","75","75","2.281242609024048","2.281242609024048","2.281242609024048","3.56860089302063","3.56860089302063","3.56860089302063"
"77","76","76","76","3.5334417819976807","3.5334417819976807","3.5334417819976807","3.433497667312622","3.433497667312622","3.433497667312622","76","76","76","3.5655808448791504","3.5655808448791504","3.5655808448791504","3.4748380184173584","3.4748380184173584","3.4748380184173584","76","76","76","1.81","1.81","1.81","3.22","3.22","3.22","76","76","76","3.2437665462493896","3.2437665462493896","3.2437665462493896","3.685704469680786","3.685704469680786","3.685704469680786","76","76","76","2.2495057582855225","2.2495057582855225","2.2495057582855225","3.8398401737213135","3.8398401737213135","3.8398401737213135"
"78","77","77","77","3.4847981929779053","3.4847981929779053","3.4847981929779053","3.337876558303833","3.337876558303833","3.337876558303833","77","77","77","3.449625253677368","3.449625253677368","3.449625253677368","3.2820041179656982","3.2820041179656982","3.2820041179656982","77","77","77","1.81","1.81","1.81","3.22","3.22","3.22","77","77","77","3.2525205612182617","3.2525205612182617","3.2525205612182617","3.6298441886901855","3.6298441886901855","3.6298441886901855","77","77","77","2.232088565826416","2.232088565826416","2.232088565826416","3.615010976791382","3.615010976791382","3.615010976791382"
"79","78","78","78","3.6243255138397217","3.6243255138397217","3.6243255138397217","3.339951753616333","3.339951753616333","3.339951753616333","78","78","78","3.5041537284851074","3.5041537284851074","3.5041537284851074","3.3463873863220215","3.3463873863220215","3.3463873863220215","78","78","78","1.81","1.81","1.81","3.22","3.22","3.22","78","78","78","3.302612543106079","3.302612543106079","3.302612543106079","3.522520065307617","3.522520065307617","3.522520065307617","78","78","78","2.2619357109069824","2.2619357109069824","2.2619357109069824","3.647554874420166","3.647554874420166","3.647554874420166"
"80","79","79","79","3.5114948749542236","3.5114948749542236","3.5114948749542236","3.2756009101867676","3.2756009101867676","3.2756009101867676","79","79","79","3.483940601348877","3.483940601348877","3.483940601348877","3.2877306938171387","3.2877306938171387","3.2877306938171387","79","79","79","1.81","1.81","1.81","3.22","3.22","3.22","79","79","79","3.3738956451416016","3.3738956451416016","3.3738956451416016","3.746157169342041","3.746157169342041","3.746157169342041","79","79","79","2.225672960281372","2.225672960281372","2.225672960281372","3.579861640930176","3.579861640930176","3.579861640930176"
"81","80","80","80","3.4343082904815674","3.4343082904815674","3.4343082904815674","3.270385503768921","3.270385503768921","3.270385503768921","80","80","80","3.3296287059783936","3.3296287059783936","3.3296287059783936","3.2744836807250977","3.2744836807250977","3.2744836807250977","80","80","80","1.81","1.81","1.81","3.22","3.22","3.22","80","80","80","3.2201032638549805","3.2201032638549805","3.2201032638549805","3.9512217044830322","3.9512217044830322","3.9512217044830322","80","80","80","2.1333236694335938","2.1333236694335938","2.1333236694335938","3.5469810962677","3.5469810962677","3.5469810962677"
"82","81","81","81","3.4506239891052246","3.4506239891052246","3.4506239891052246","3.2904627323150635","3.2904627323150635","3.2904627323150635","81","81","81","3.3507368564605713","3.3507368564605713","3.3507368564605713","3.292313814163208","3.292313814163208","3.292313814163208","81","81","81","1.81","1.81","1.81","3.22","3.22","3.22","81","81","81","3.299201726913452","3.299201726913452","3.299201726913452","3.940047025680542","3.940047025680542","3.940047025680542","81","81","81","2.1638989448547363","2.1638989448547363","2.1638989448547363","3.8194997310638428","3.8194997310638428","3.8194997310638428"
"83","82","82","82","3.4100213050842285","3.4100213050842285","3.4100213050842285","3.367621421813965","3.367621421813965","3.367621421813965","82","82","82","3.270778179168701","3.270778179168701","3.270778179168701","3.2812654972076416","3.2812654972076416","3.2812654972076416","82","82","82","1.81","1.81","1.81","3.22","3.22","3.22","82","82","82","3.300689935684204","3.300689935684204","3.300689935684204","3.747936725616455","3.747936725616455","3.747936725616455","82","82","82","2.083178997039795","2.083178997039795","2.083178997039795","3.6526594161987305","3.6526594161987305","3.6526594161987305"
"84","83","83","83","3.4883852005004883","3.4883852005004883","3.4883852005004883","3.570148229598999","3.570148229598999","3.570148229598999","83","83","83","3.3947436809539795","3.3947436809539795","3.3947436809539795","3.5861637592315674","3.5861637592315674","3.5861637592315674","83","83","83","1.81","1.81","1.81","3.22","3.22","3.22","83","83","83","3.3117570877075195","3.3117570877075195","3.3117570877075195","3.8345916271209717","3.8345916271209717","3.8345916271209717","83","83","83","2.188960313796997","2.188960313796997","2.188960313796997","3.8550314903259277","3.8550314903259277","3.8550314903259277"
"85","84","84","84","3.49651837348938","3.49651837348938","3.49651837348938","3.265174388885498","3.265174388885498","3.265174388885498","84","84","84","3.3875515460968018","3.3875515460968018","3.3875515460968018","3.351426124572754","3.351426124572754","3.351426124572754","84","84","84","1.81","1.81","1.81","3.22","3.22","3.22","84","84","84","3.3196592330932617","3.3196592330932617","3.3196592330932617","4.635499477386475","4.635499477386475","4.635499477386475","84","84","84","2.1111862659454346","2.1111862659454346","2.1111862659454346","3.8917641639709473","3.8917641639709473","3.8917641639709473"
"86","85","85","85","3.4729340076446533","3.4729340076446533","3.4729340076446533","3.313350200653076","3.313350200653076","3.313350200653076","85","85","85","3.3432483673095703","3.3432483673095703","3.3432483673095703","3.4346988201141357","3.4346988201141357","3.4346988201141357","85","85","85","1.81","1.81","1.81","3.22","3.22","3.22","85","85","85","3.3280866146087646","3.3280866146087646","3.3280866146087646","3.4675915241241455","3.4675915241241455","3.4675915241241455","85","85","85","2.1590235233306885","2.1590235233306885","2.1590235233306885","4.103153705596924","4.103153705596924","4.103153705596924"
"87","86","86","86","3.4100754261016846","3.4100754261016846","3.4100754261016846","3.2905850410461426","3.2905850410461426","3.2905850410461426","86","86","86","3.314631938934326","3.314631938934326","3.314631938934326","3.30446195602417","3.30446195602417","3.30446195602417","86","86","86","1.81","1.81","1.81","3.22","3.22","3.22","86","86","86","3.2899105548858643","3.2899105548858643","3.2899105548858643","3.937739610671997","3.937739610671997","3.937739610671997","86","86","86","2.1253139972686768","2.1253139972686768","2.1253139972686768","3.6891093254089355","3.6891093254089355","3.6891093254089355"
"88","87","87","87","3.4032628536224365","3.4032628536224365","3.4032628536224365","3.3327386379241943","3.3327386379241943","3.3327386379241943","87","87","87","3.1980535984039307","3.1980535984039307","3.1980535984039307","3.2789065837860107","3.2789065837860107","3.2789065837860107","87","87","87","1.81","1.81","1.81","3.22","3.22","3.22","87","87","87","3.303109884262085","3.303109884262085","3.303109884262085","3.6958446502685547","3.6958446502685547","3.6958446502685547","87","87","87","2.0715179443359375","2.0715179443359375","2.0715179443359375","3.5777997970581055","3.5777997970581055","3.5777997970581055"
"89","88","88","88","3.4963841438293457","3.4963841438293457","3.4963841438293457","3.56870436668396","3.56870436668396","3.56870436668396","88","88","88","3.3430428504943848","3.3430428504943848","3.3430428504943848","3.3428499698638916","3.3428499698638916","3.3428499698638916","88","88","88","1.81","1.81","1.81","3.22","3.22","3.22","88","88","88","3.2728991508483887","3.2728991508483887","3.2728991508483887","3.6153018474578857","3.6153018474578857","3.6153018474578857","88","88","88","2.0621297359466553","2.0621297359466553","2.0621297359466553","4.469058990478516","4.469058990478516","4.469058990478516"
"90","89","89","89","3.4705607891082764","3.4705607891082764","3.4705607891082764","3.7874982357025146","3.7874982357025146","3.7874982357025146","89","89","89","3.2681379318237305","3.2681379318237305","3.2681379318237305","3.3233633041381836","3.3233633041381836","3.3233633041381836","89","89","89","1.81","1.81","1.81","3.22","3.22","3.22","89","89","89","3.2749595642089844","3.2749595642089844","3.2749595642089844","3.7284793853759766","3.7284793853759766","3.7284793853759766","89","89","89","2.1213269233703613","2.1213269233703613","2.1213269233703613","3.585561513900757","3.585561513900757","3.585561513900757"
"91","90","90","90","3.426081657409668","3.426081657409668","3.426081657409668","3.3742945194244385","3.3742945194244385","3.3742945194244385","90","90","90","3.2148642539978027","3.2148642539978027","3.2148642539978027","3.3080461025238037","3.3080461025238037","3.3080461025238037","90","90","90","1.81","1.81","1.81","3.22","3.22","3.22","90","90","90","3.2337734699249268","3.2337734699249268","3.2337734699249268","3.4465901851654053","3.4465901851654053","3.4465901851654053","90","90","90","2.0085318088531494","2.0085318088531494","2.0085318088531494","4.167344570159912","4.167344570159912","4.167344570159912"
"92","91","91","91","3.497201681137085","3.497201681137085","3.497201681137085","3.362518548965454","3.362518548965454","3.362518548965454","91","91","91","3.2229647636413574","3.2229647636413574","3.2229647636413574","3.29677414894104","3.29677414894104","3.29677414894104","91","91","91","1.81","1.81","1.81","3.22","3.22","3.22","91","91","91","3.2825915813446045","3.2825915813446045","3.2825915813446045","3.7906882762908936","3.7906882762908936","3.7906882762908936","91","91","91","2.055717706680298","2.055717706680298","2.055717706680298","3.6718218326568604","3.6718218326568604","3.6718218326568604"
"93","92","92","92","3.3368406295776367","3.3368406295776367","3.3368406295776367","3.245314121246338","3.245314121246338","3.245314121246338","92","92","92","3.0420727729797363","3.0420727729797363","3.0420727729797363","3.264720916748047","3.264720916748047","3.264720916748047","92","92","92","1.81","1.81","1.81","3.22","3.22","3.22","92","92","92","3.2396366596221924","3.2396366596221924","3.2396366596221924","3.9912149906158447","3.9912149906158447","3.9912149906158447","92","92","92","1.965789794921875","1.965789794921875","1.965789794921875","3.779066562652588","3.779066562652588","3.779066562652588"
"94","93","93","93","3.358832359313965","3.358832359313965","3.358832359313965","3.3172335624694824","3.3172335624694824","3.3172335624694824","93","93","93","3.1147241592407227","3.1147241592407227","3.1147241592407227","3.5210983753204346","3.5210983753204346","3.5210983753204346","93","93","93","1.81","1.81","1.81","3.22","3.22","3.22","93","93","93","3.2899367809295654","3.2899367809295654","3.2899367809295654","3.8530800342559814","3.8530800342559814","3.8530800342559814","93","93","93","2.0449070930480957","2.0449070930480957","2.0449070930480957","3.6231541633605957","3.6231541633605957","3.6231541633605957"
"95","94","94","94","3.4617300033569336","3.4617300033569336","3.4617300033569336","3.259035110473633","3.259035110473633","3.259035110473633","94","94","94","3.130903482437134","3.130903482437134","3.130903482437134","3.4256441593170166","3.4256441593170166","3.4256441593170166","94","94","94","1.81","1.81","1.81","3.22","3.22","3.22","94","94","94","3.2416458129882812","3.2416458129882812","3.2416458129882812","3.875967025756836","3.875967025756836","3.875967025756836","94","94","94","2.005995273590088","2.005995273590088","2.005995273590088","3.578673839569092","3.578673839569092","3.578673839569092"
"96","95","95","95","3.31994891166687","3.31994891166687","3.31994891166687","3.2284066677093506","3.2284066677093506","3.2284066677093506","95","95","95","2.971278429031372","2.971278429031372","2.971278429031372","3.5707857608795166","3.5707857608795166","3.5707857608795166","95","95","95","1.81","1.81","1.81","3.22","3.22","3.22","95","95","95","3.2043731212615967","3.2043731212615967","3.2043731212615967","4.249146938323975","4.249146938323975","4.249146938323975","95","95","95","1.9657658338546753","1.9657658338546753","1.9657658338546753","3.643890619277954","3.643890619277954","3.643890619277954"
"97","96","96","96","3.3503823280334473","3.3503823280334473","3.3503823280334473","3.3485984802246094","3.3485984802246094","3.3485984802246094","96","96","96","2.96069073677063","2.96069073677063","2.96069073677063","3.5808608531951904","3.5808608531951904","3.5808608531951904","96","96","96","1.81","1.81","1.81","3.22","3.22","3.22","96","96","96","3.278768539428711","3.278768539428711","3.278768539428711","4.135332107543945","4.135332107543945","4.135332107543945","96","96","96","1.9650002717971802","1.9650002717971802","1.9650002717971802","3.624213933944702","3.624213933944702","3.624213933944702"
"98","97","97","97","3.3028087615966797","3.3028087615966797","3.3028087615966797","3.3522098064422607","3.3522098064422607","3.3522098064422607","97","97","97","3.006592035293579","3.006592035293579","3.006592035293579","3.3367950916290283","3.3367950916290283","3.3367950916290283","97","97","97","1.81","1.81","1.81","3.22","3.22","3.22","97","97","97","3.246906280517578","3.246906280517578","3.246906280517578","3.633376359939575","3.633376359939575","3.633376359939575","97","97","97","1.993596076965332","1.993596076965332","1.993596076965332","3.949765205383301","3.949765205383301","3.949765205383301"
"99","98","98","98","3.2822210788726807","3.2822210788726807","3.2822210788726807","3.225754976272583","3.225754976272583","3.225754976272583","98","98","98","2.857196569442749","2.857196569442749","2.857196569442749","3.35214900970459","3.35214900970459","3.35214900970459","98","98","98","1.81","1.81","1.81","3.22","3.22","3.22","98","98","98","3.195406436920166","3.195406436920166","3.195406436920166","3.7069637775421143","3.7069637775421143","3.7069637775421143","98","98","98","1.9646672010421753","1.9646672010421753","1.9646672010421753","3.8090715408325195","3.8090715408325195","3.8090715408325195"
"100","99","99","99","3.2741737365722656","3.2741737365722656","3.2741737365722656","3.2306675910949707","3.2306675910949707","3.2306675910949707","99","99","99","2.859844923019409","2.859844923019409","2.859844923019409","3.3606202602386475","3.3606202602386475","3.3606202602386475","99","99","99","1.81","1.81","1.81","3.22","3.22","3.22","99","99","99","3.220780849456787","3.220780849456787","3.220780849456787","3.6685986518859863","3.6685986518859863","3.6685986518859863","99","99","99","1.9603859186172485","1.9603859186172485","1.9603859186172485","3.5270941257476807","3.5270941257476807","3.5270941257476807"
"101","100","100","100","3.351496934890747","3.351496934890747","3.351496934890747","3.7166073322296143","3.7166073322296143","3.7166073322296143","100","100","100","2.807263135910034","2.807263135910034","2.807263135910034","3.418433666229248","3.418433666229248","3.418433666229248","100","100","100","1.81","1.81","1.81","3.22","3.22","3.22","100","100","100","3.1833558082580566","3.1833558082580566","3.1833558082580566","3.8456594944000244","3.8456594944000244","3.8456594944000244","100","100","100","1.9440250396728516","1.9440250396728516","1.9440250396728516","3.605816602706909","3.605816602706909","3.605816602706909"
"102","101","101","101","3.311101198196411","3.311101198196411","3.311101198196411","3.331116199493408","3.331116199493408","3.331116199493408","101","101","101","2.7947611808776855","2.7947611808776855","2.7947611808776855","3.4726369380950928","3.4726369380950928","3.4726369380950928","101","101","101","1.81","1.81","1.81","3.22","3.22","3.22","101","101","101","3.183654308319092","3.183654308319092","3.183654308319092","3.6962687969207764","3.6962687969207764","3.6962687969207764","101","101","101","1.9825522899627686","1.9825522899627686","1.9825522899627686","4.174182891845703","4.174182891845703","4.174182891845703"
"103","102","102","102","3.411464214324951","3.411464214324951","3.411464214324951","3.2205119132995605","3.2205119132995605","3.2205119132995605","102","102","102","2.940260887145996","2.940260887145996","2.940260887145996","3.665360689163208","3.665360689163208","3.665360689163208","102","102","102","1.81","1.81","1.81","3.22","3.22","3.22","102","102","102","3.240298271179199","3.240298271179199","3.240298271179199","3.6700403690338135","3.6700403690338135","3.6700403690338135","102","102","102","2.0466325283050537","2.0466325283050537","2.0466325283050537","4.007681369781494","4.007681369781494","4.007681369781494"
"104","103","103","103","3.2804341316223145","3.2804341316223145","3.2804341316223145","3.3761074542999268","3.3761074542999268","3.3761074542999268","103","103","103","2.70322322845459","2.70322322845459","2.70322322845459","3.51527738571167","3.51527738571167","3.51527738571167","103","103","103","1.81","1.81","1.81","3.22","3.22","3.22","103","103","103","3.196279525756836","3.196279525756836","3.196279525756836","3.900801181793213","3.900801181793213","3.900801181793213","103","103","103","1.9011858701705933","1.9011858701705933","1.9011858701705933","4.4060773849487305","4.4060773849487305","4.4060773849487305"
"105","104","104","104","3.2235751152038574","3.2235751152038574","3.2235751152038574","3.3216354846954346","3.3216354846954346","3.3216354846954346","104","104","104","2.6870505809783936","2.6870505809783936","2.6870505809783936","3.9307684898376465","3.9307684898376465","3.9307684898376465","104","104","104","1.81","1.81","1.81","3.22","3.22","3.22","104","104","104","3.2168898582458496","3.2168898582458496","3.2168898582458496","4.970706939697266","4.970706939697266","4.970706939697266","104","104","104","1.9493073225021362","1.9493073225021362","1.9493073225021362","3.5889062881469727","3.5889062881469727","3.5889062881469727"
"106","105","105","105","3.266242504119873","3.266242504119873","3.266242504119873","3.233288288116455","3.233288288116455","3.233288288116455","105","105","105","2.698448419570923","2.698448419570923","2.698448419570923","3.4341583251953125","3.4341583251953125","3.4341583251953125","105","105","105","1.81","1.81","1.81","3.22","3.22","3.22","105","105","105","3.196319103240967","3.196319103240967","3.196319103240967","3.8606209754943848","3.8606209754943848","3.8606209754943848","105","105","105","1.922480583190918","1.922480583190918","1.922480583190918","4.004617691040039","4.004617691040039","4.004617691040039"
"107","106","106","106","3.2079172134399414","3.2079172134399414","3.2079172134399414","3.3281521797180176","3.3281521797180176","3.3281521797180176","106","106","106","2.592195510864258","2.592195510864258","2.592195510864258","3.5974583625793457","3.5974583625793457","3.5974583625793457","106","106","106","1.81","1.81","1.81","3.22","3.22","3.22","106","106","106","3.134699583053589","3.134699583053589","3.134699583053589","4.041845798492432","4.041845798492432","4.041845798492432","106","106","106","1.9129714965820312","1.9129714965820312","1.9129714965820312","3.6327359676361084","3.6327359676361084","3.6327359676361084"
"108","107","107","107","3.2747318744659424","3.2747318744659424","3.2747318744659424","3.299180746078491","3.299180746078491","3.299180746078491","107","107","107","2.657308578491211","2.657308578491211","2.657308578491211","3.957850933074951","3.957850933074951","3.957850933074951","107","107","107","1.81","1.81","1.81","3.22","3.22","3.22","107","107","107","3.199573040008545","3.199573040008545","3.199573040008545","3.7749807834625244","3.7749807834625244","3.7749807834625244","107","107","107","1.9976249933242798","1.9976249933242798","1.9976249933242798","3.567694902420044","3.567694902420044","3.567694902420044"
"109","108","108","108","3.2728376388549805","3.2728376388549805","3.2728376388549805","3.273190975189209","3.273190975189209","3.273190975189209","108","108","108","2.663304567337036","2.663304567337036","2.663304567337036","3.5512452125549316","3.5512452125549316","3.5512452125549316","108","108","108","1.81","1.81","1.81","3.22","3.22","3.22","108","108","108","3.2006988525390625","3.2006988525390625","3.2006988525390625","3.6319758892059326","3.6319758892059326","3.6319758892059326","108","108","108","1.9792128801345825","1.9792128801345825","1.9792128801345825","3.681030035018921","3.681030035018921","3.681030035018921"
"110","109","109","109","3.179006576538086","3.179006576538086","3.179006576538086","3.5324933528900146","3.5324933528900146","3.5324933528900146","109","109","109","2.5658061504364014","2.5658061504364014","2.5658061504364014","4.1863017082214355","4.1863017082214355","4.1863017082214355","109","109","109","1.81","1.81","1.81","3.22","3.22","3.22","109","109","109","3.136512517929077","3.136512517929077","3.136512517929077","4.029018402099609","4.029018402099609","4.029018402099609","109","109","109","1.9223905801773071","1.9223905801773071","1.9223905801773071","3.673692464828491","3.673692464828491","3.673692464828491"
"111","110","110","110","3.173229932785034","3.173229932785034","3.173229932785034","3.320873260498047","3.320873260498047","3.320873260498047","110","110","110","2.503140687942505","2.503140687942505","2.503140687942505","3.557891368865967","3.557891368865967","3.557891368865967","110","110","110","1.81","1.81","1.81","3.22","3.22","3.22","110","110","110","3.2089803218841553","3.2089803218841553","3.2089803218841553","4.028534889221191","4.028534889221191","4.028534889221191","110","110","110","1.9232934713363647","1.9232934713363647","1.9232934713363647","3.601789951324463","3.601789951324463","3.601789951324463"
"112","111","111","111","3.1846938133239746","3.1846938133239746","3.1846938133239746","3.2529823780059814","3.2529823780059814","3.2529823780059814","111","111","111","2.485968589782715","2.485968589782715","2.485968589782715","3.397803544998169","3.397803544998169","3.397803544998169","111","111","111","1.81","1.81","1.81","3.22","3.22","3.22","111","111","111","3.146169900894165","3.146169900894165","3.146169900894165","4.055204391479492","4.055204391479492","4.055204391479492","111","111","111","1.886561393737793","1.886561393737793","1.886561393737793","3.570858955383301","3.570858955383301","3.570858955383301"
"113","112","112","112","3.1883609294891357","3.1883609294891357","3.1883609294891357","3.2403550148010254","3.2403550148010254","3.2403550148010254","112","112","112","2.544497489929199","2.544497489929199","2.544497489929199","3.486506462097168","3.486506462097168","3.486506462097168","112","112","112","1.81","1.81","1.81","3.22","3.22","3.22","112","112","112","3.269846200942993","3.269846200942993","3.269846200942993","3.5685837268829346","3.5685837268829346","3.5685837268829346","112","112","112","1.8850560188293457","1.8850560188293457","1.8850560188293457","3.6505908966064453","3.6505908966064453","3.6505908966064453"
"114","113","113","113","3.159621477127075","3.159621477127075","3.159621477127075","3.4910733699798584","3.4910733699798584","3.4910733699798584","113","113","113","2.3884434700012207","2.3884434700012207","2.3884434700012207","4.017013072967529","4.017013072967529","4.017013072967529","113","113","113","1.81","1.81","1.81","3.22","3.22","3.22","113","113","113","3.1684486865997314","3.1684486865997314","3.1684486865997314","3.81252384185791","3.81252384185791","3.81252384185791","113","113","113","1.933881402015686","1.933881402015686","1.933881402015686","3.726571559906006","3.726571559906006","3.726571559906006"
"115","114","114","114","3.11824369430542","3.11824369430542","3.11824369430542","3.379676580429077","3.379676580429077","3.379676580429077","114","114","114","2.3503220081329346","2.3503220081329346","2.3503220081329346","3.6358494758605957","3.6358494758605957","3.6358494758605957","114","114","114","1.81","1.81","1.81","3.22","3.22","3.22","114","114","114","3.167889356613159","3.167889356613159","3.167889356613159","3.768540382385254","3.768540382385254","3.768540382385254","114","114","114","1.8638923168182373","1.8638923168182373","1.8638923168182373","3.571113109588623","3.571113109588623","3.571113109588623"
"116","115","115","115","3.1714940071105957","3.1714940071105957","3.1714940071105957","3.262232542037964","3.262232542037964","3.262232542037964","115","115","115","2.3288798332214355","2.3288798332214355","2.3288798332214355","4.5009260177612305","4.5009260177612305","4.5009260177612305","115","115","115","1.81","1.81","1.81","3.22","3.22","3.22","115","115","115","3.178013324737549","3.178013324737549","3.178013324737549","3.8406074047088623","3.8406074047088623","3.8406074047088623","115","115","115","1.9412822723388672","1.9412822723388672","1.9412822723388672","3.7436795234680176","3.7436795234680176","3.7436795234680176"
"117","116","116","116","3.1435225009918213","3.1435225009918213","3.1435225009918213","3.777362823486328","3.777362823486328","3.777362823486328","116","116","116","2.3533177375793457","2.3533177375793457","2.3533177375793457","3.5589981079101562","3.5589981079101562","3.5589981079101562","116","116","116","1.81","1.81","1.81","3.22","3.22","3.22","116","116","116","3.193192958831787","3.193192958831787","3.193192958831787","4.428105354309082","4.428105354309082","4.428105354309082","116","116","116","1.8678430318832397","1.8678430318832397","1.8678430318832397","3.6274731159210205","3.6274731159210205","3.6274731159210205"
"118","117","117","117","3.302220582962036","3.302220582962036","3.302220582962036","3.22951602935791","3.22951602935791","3.22951602935791","117","117","117","2.482642412185669","2.482642412185669","2.482642412185669","3.782595157623291","3.782595157623291","3.782595157623291","117","117","117","1.81","1.81","1.81","3.22","3.22","3.22","117","117","117","3.2881202697753906","3.2881202697753906","3.2881202697753906","3.6817939281463623","3.6817939281463623","3.6817939281463623","117","117","117","1.86176598072052","1.86176598072052","1.86176598072052","3.95076322555542","3.95076322555542","3.95076322555542"
"119","118","118","118","3.036933183670044","3.036933183670044","3.036933183670044","3.312701463699341","3.312701463699341","3.312701463699341","118","118","118","2.2593889236450195","2.2593889236450195","2.2593889236450195","3.6717467308044434","3.6717467308044434","3.6717467308044434","118","118","118","1.81","1.81","1.81","3.22","3.22","3.22","118","118","118","3.232226848602295","3.232226848602295","3.232226848602295","3.5299675464630127","3.5299675464630127","3.5299675464630127","118","118","118","1.8047066926956177","1.8047066926956177","1.8047066926956177","3.673711061477661","3.673711061477661","3.673711061477661"
"120","119","119","119","3.0565223693847656","3.0565223693847656","3.0565223693847656","3.3226988315582275","3.3226988315582275","3.3226988315582275","119","119","119","2.2215142250061035","2.2215142250061035","2.2215142250061035","3.4875593185424805","3.4875593185424805","3.4875593185424805","119","119","119","1.81","1.81","1.81","3.22","3.22","3.22","119","119","119","3.203805685043335","3.203805685043335","3.203805685043335","3.598313093185425","3.598313093185425","3.598313093185425","119","119","119","1.9217067956924438","1.9217067956924438","1.9217067956924438","3.565873861312866","3.565873861312866","3.565873861312866"
"121","120","120","120","3.093259572982788","3.093259572982788","3.093259572982788","3.2742269039154053","3.2742269039154053","3.2742269039154053","120","120","120","2.3158931732177734","2.3158931732177734","2.3158931732177734","3.7050302028656006","3.7050302028656006","3.7050302028656006","120","120","120","1.81","1.81","1.81","3.22","3.22","3.22","120","120","120","3.138373613357544","3.138373613357544","3.138373613357544","3.9339351654052734","3.9339351654052734","3.9339351654052734","120","120","120","1.9097565412521362","1.9097565412521362","1.9097565412521362","4.010129928588867","4.010129928588867","4.010129928588867"
"122","121","121","121","3.0513672828674316","3.0513672828674316","3.0513672828674316","3.2181098461151123","3.2181098461151123","3.2181098461151123","121","121","121","2.1827406883239746","2.1827406883239746","2.1827406883239746","3.509251832962036","3.509251832962036","3.509251832962036","121","121","121","1.81","1.81","1.81","3.22","3.22","3.22","121","121","121","3.179659843444824","3.179659843444824","3.179659843444824","3.661830186843872","3.661830186843872","3.661830186843872","121","121","121","1.8804866075515747","1.8804866075515747","1.8804866075515747","3.5329253673553467","3.5329253673553467","3.5329253673553467"
"123","122","122","122","3.0397565364837646","3.0397565364837646","3.0397565364837646","3.284904956817627","3.284904956817627","3.284904956817627","122","122","122","2.0928969383239746","2.0928969383239746","2.0928969383239746","4.129477024078369","4.129477024078369","4.129477024078369","122","122","122","1.81","1.81","1.81","3.22","3.22","3.22","122","122","122","3.2045774459838867","3.2045774459838867","3.2045774459838867","3.667226552963257","3.667226552963257","3.667226552963257","122","122","122","1.8874980211257935","1.8874980211257935","1.8874980211257935","3.553393840789795","3.553393840789795","3.553393840789795"
"124","123","123","123","3.025158166885376","3.025158166885376","3.025158166885376","3.2464170455932617","3.2464170455932617","3.2464170455932617","123","123","123","2.090745687484741","2.090745687484741","2.090745687484741","3.639314889907837","3.639314889907837","3.639314889907837","123","123","123","1.81","1.81","1.81","3.22","3.22","3.22","123","123","123","3.1459429264068604","3.1459429264068604","3.1459429264068604","3.5736758708953857","3.5736758708953857","3.5736758708953857","123","123","123","1.8116594552993774","1.8116594552993774","1.8116594552993774","3.756985902786255","3.756985902786255","3.756985902786255"
