"epoch","c1e-N - _step","c1e-N - _step__MIN","c1e-N - _step__MAX","c1e-N - train.rmse","c1e-N - train.rmse__MIN","c1e-N - train.rmse__MAX","c1e-N - valid.rmse","c1e-N - valid.rmse__MIN","c1e-N - valid.rmse__MAX","DeepSTABp_architecture - _step","DeepSTABp_architecture - _step__MIN","DeepSTABp_architecture - _step__MAX","DeepSTABp_architecture - train.rmse","DeepSTABp_architecture - train.rmse__MIN","DeepSTABp_architecture - train.rmse__MAX","DeepSTABp_architecture - valid.rmse","DeepSTABp_architecture - valid.rmse__MIN","DeepSTABp_architecture - valid.rmse__MAX","gcn_d3e_FFF-1x32-0_Nmean - _step","gcn_d3e_FFF-1x32-0_Nmean - _step__MIN","gcn_d3e_FFF-1x32-0_Nmean - _step__MAX","gcn_d3e_FFF-1x32-0_Nmean - train.rmse","gcn_d3e_FFF-1x32-0_Nmean - train.rmse__MIN","gcn_d3e_FFF-1x32-0_Nmean - train.rmse__MAX","gcn_d3e_FFF-1x32-0_Nmean - valid.rmse","gcn_d3e_FFF-1x32-0_Nmean - valid.rmse__MIN","gcn_d3e_FFF-1x32-0_Nmean - valid.rmse__MAX","gcn_d3_FFF-1x32-0_Nmean - _step","gcn_d3_FFF-1x32-0_Nmean - _step__MIN","gcn_d3_FFF-1x32-0_Nmean - _step__MAX","gcn_d3_FFF-1x32-0_Nmean - train.rmse","gcn_d3_FFF-1x32-0_Nmean - train.rmse__MIN","gcn_d3_FFF-1x32-0_Nmean - train.rmse__MAX","gcn_d3_FFF-1x32-0_Nmean - valid.rmse","gcn_d3_FFF-1x32-0_Nmean - valid.rmse__MIN","gcn_d3_FFF-1x32-0_Nmean - valid.rmse__MAX","d0e_F - _step","d0e_F - _step__MIN","d0e_F - _step__MAX","d0e_F - train.rmse","d0e_F - train.rmse__MIN","d0e_F - train.rmse__MAX","d0e_F - valid.rmse","d0e_F - valid.rmse__MIN","d0e_F - valid.rmse__MAX"
"31","30","30","30","6.120378017425537","6.120378017425537","6.120378017425537","5.759944915771484","5.759944915771484","5.759944915771484","30","30","30","4.0899763107299805","4.0899763107299805","4.0899763107299805","4.339406490325928","4.339406490325928","4.339406490325928","30","30","30","4.959323883056641","4.959323883056641","4.959323883056641","4.900210857391357","4.900210857391357","4.900210857391357","30","30","30","4.952337265014648","4.952337265014648","4.952337265014648","4.804101467132568","4.804101467132568","4.804101467132568","30","30","30","7.7975640296936035","7.7975640296936035","7.7975640296936035","6.807337760925293","6.807337760925293","6.807337760925293"
"32","31","31","31","6.075673580169678","6.075673580169678","6.075673580169678","5.770147323608398","5.770147323608398","5.770147323608398","31","31","31","4.053517818450928","4.053517818450928","4.053517818450928","4.37346076965332","4.37346076965332","4.37346076965332","31","31","31","4.868497371673584","4.868497371673584","4.868497371673584","4.4133758544921875","4.4133758544921875","4.4133758544921875","31","31","31","4.88040018081665","4.88040018081665","4.88040018081665","4.6811628341674805","4.6811628341674805","4.6811628341674805","31","31","31","7.702869892120361","7.702869892120361","7.702869892120361","6.658607482910156","6.658607482910156","6.658607482910156"
"33","32","32","32","6.082911968231201","6.082911968231201","6.082911968231201","5.645025253295898","5.645025253295898","5.645025253295898","32","32","32","4.017489910125732","4.017489910125732","4.017489910125732","4.356307029724121","4.356307029724121","4.356307029724121","32","32","32","4.821804046630859","4.821804046630859","4.821804046630859","4.534134387969971","4.534134387969971","4.534134387969971","32","32","32","4.854290008544922","4.854290008544922","4.854290008544922","4.677099227905273","4.677099227905273","4.677099227905273","32","32","32","7.774190425872803","7.774190425872803","7.774190425872803","6.389275074005127","6.389275074005127","6.389275074005127"
"34","33","33","33","5.954754829406738","5.954754829406738","5.954754829406738","5.653111457824707","5.653111457824707","5.653111457824707","33","33","33","4.018756866455078","4.018756866455078","4.018756866455078","4.551468849182129","4.551468849182129","4.551468849182129","33","33","33","4.7558393478393555","4.7558393478393555","4.7558393478393555","4.722565174102783","4.722565174102783","4.722565174102783","33","33","33","4.798705101013184","4.798705101013184","4.798705101013184","4.598575592041016","4.598575592041016","4.598575592041016","33","33","33","7.587217807769775","7.587217807769775","7.587217807769775","6.101768493652344","6.101768493652344","6.101768493652344"
"35","34","34","34","5.83255672454834","5.83255672454834","5.83255672454834","5.413433074951172","5.413433074951172","5.413433074951172","34","34","34","4.007422924041748","4.007422924041748","4.007422924041748","4.273056507110596","4.273056507110596","4.273056507110596","34","34","34","4.859802722930908","4.859802722930908","4.859802722930908","4.538901329040527","4.538901329040527","4.538901329040527","34","34","34","4.790060043334961","4.790060043334961","4.790060043334961","4.523956298828125","4.523956298828125","4.523956298828125","34","34","34","7.674638748168945","7.674638748168945","7.674638748168945","6.965224742889404","6.965224742889404","6.965224742889404"
"36","35","35","35","5.811476230621338","5.811476230621338","5.811476230621338","5.80763053894043","5.80763053894043","5.80763053894043","35","35","35","3.95194673538208","3.95194673538208","3.95194673538208","4.234169960021973","4.234169960021973","4.234169960021973","35","35","35","4.8040032386779785","4.8040032386779785","4.8040032386779785","4.641747951507568","4.641747951507568","4.641747951507568","35","35","35","4.7545485496521","4.7545485496521","4.7545485496521","4.532904624938965","4.532904624938965","4.532904624938965","35","35","35","7.730773448944092","7.730773448944092","7.730773448944092","6.652798652648926","6.652798652648926","6.652798652648926"
"37","36","36","36","5.730984210968018","5.730984210968018","5.730984210968018","5.281888008117676","5.281888008117676","5.281888008117676","36","36","36","3.9580113887786865","3.9580113887786865","3.9580113887786865","4.266012668609619","4.266012668609619","4.266012668609619","36","36","36","4.833434104919434","4.833434104919434","4.833434104919434","4.373312950134277","4.373312950134277","4.373312950134277","36","36","36","4.750545024871826","4.750545024871826","4.750545024871826","4.8697614669799805","4.8697614669799805","4.8697614669799805","36","36","36","7.762604236602783","7.762604236602783","7.762604236602783","6.324524879455566","6.324524879455566","6.324524879455566"
"38","37","37","37","5.694464683532715","5.694464683532715","5.694464683532715","5.352520942687988","5.352520942687988","5.352520942687988","37","37","37","3.951495885848999","3.951495885848999","3.951495885848999","4.278461456298828","4.278461456298828","4.278461456298828","37","37","37","4.7480268478393555","4.7480268478393555","4.7480268478393555","4.463006019592285","4.463006019592285","4.463006019592285","37","37","37","4.748866558074951","4.748866558074951","4.748866558074951","4.394174098968506","4.394174098968506","4.394174098968506","37","37","37","7.654271602630615","7.654271602630615","7.654271602630615","7.019365310668945","7.019365310668945","7.019365310668945"
"39","38","38","38","5.610528945922852","5.610528945922852","5.610528945922852","5.352996826171875","5.352996826171875","5.352996826171875","38","38","38","3.9317891597747803","3.9317891597747803","3.9317891597747803","4.320526123046875","4.320526123046875","4.320526123046875","38","38","38","4.690796375274658","4.690796375274658","4.690796375274658","4.631550312042236","4.631550312042236","4.631550312042236","38","38","38","4.698145866394043","4.698145866394043","4.698145866394043","4.694643497467041","4.694643497467041","4.694643497467041","38","38","38","7.6999969482421875","7.6999969482421875","7.6999969482421875","6.729648113250732","6.729648113250732","6.729648113250732"
"40","39","39","39","5.636618137359619","5.636618137359619","5.636618137359619","5.685720443725586","5.685720443725586","5.685720443725586","39","39","39","3.934828281402588","3.934828281402588","3.934828281402588","4.307684898376465","4.307684898376465","4.307684898376465","39","39","39","4.785362243652344","4.785362243652344","4.785362243652344","4.3918890953063965","4.3918890953063965","4.3918890953063965","39","39","39","4.710329055786133","4.710329055786133","4.710329055786133","4.622735500335693","4.622735500335693","4.622735500335693","39","39","39","7.690537929534912","7.690537929534912","7.690537929534912","6.910536766052246","6.910536766052246","6.910536766052246"
"41","40","40","40","5.718857765197754","5.718857765197754","5.718857765197754","5.3125505447387695","5.3125505447387695","5.3125505447387695","40","40","40","3.9495158195495605","3.9495158195495605","3.9495158195495605","4.380064010620117","4.380064010620117","4.380064010620117","40","40","40","4.77816915512085","4.77816915512085","4.77816915512085","4.37592077255249","4.37592077255249","4.37592077255249","40","40","40","4.779239654541016","4.779239654541016","4.779239654541016","4.526523113250732","4.526523113250732","4.526523113250732","40","40","40","7.775179862976074","7.775179862976074","7.775179862976074","6.623870372772217","6.623870372772217","6.623870372772217"
"42","41","41","41","5.505046367645264","5.505046367645264","5.505046367645264","5.542378902435303","5.542378902435303","5.542378902435303","41","41","41","3.832296371459961","3.832296371459961","3.832296371459961","4.296719074249268","4.296719074249268","4.296719074249268","41","41","41","4.827617168426514","4.827617168426514","4.827617168426514","4.5130720138549805","4.5130720138549805","4.5130720138549805","41","41","41","4.792574882507324","4.792574882507324","4.792574882507324","4.487156867980957","4.487156867980957","4.487156867980957","41","41","41","7.7678022384643555","7.7678022384643555","7.7678022384643555","6.711355686187744","6.711355686187744","6.711355686187744"
"43","42","42","42","5.530177593231201","5.530177593231201","5.530177593231201","5.437706470489502","5.437706470489502","5.437706470489502","42","42","42","3.8543195724487305","3.8543195724487305","3.8543195724487305","4.331294059753418","4.331294059753418","4.331294059753418","42","42","42","4.687800407409668","4.687800407409668","4.687800407409668","4.332968235015869","4.332968235015869","4.332968235015869","42","42","42","4.711565971374512","4.711565971374512","4.711565971374512","4.398952007293701","4.398952007293701","4.398952007293701","42","42","42","7.81149435043335","7.81149435043335","7.81149435043335","7.021046161651611","7.021046161651611","7.021046161651611"
"44","43","43","43","5.489626407623291","5.489626407623291","5.489626407623291","5.142813205718994","5.142813205718994","5.142813205718994","43","43","43","3.8046064376831055","3.8046064376831055","3.8046064376831055","4.389607906341553","4.389607906341553","4.389607906341553","43","43","43","4.734308242797852","4.734308242797852","4.734308242797852","4.522264003753662","4.522264003753662","4.522264003753662","43","43","43","4.608479022979736","4.608479022979736","4.608479022979736","4.396251201629639","4.396251201629639","4.396251201629639","43","43","43","7.695709705352783","7.695709705352783","7.695709705352783","6.701923847198486","6.701923847198486","6.701923847198486"
"45","44","44","44","5.470022678375244","5.470022678375244","5.470022678375244","4.938615798950195","4.938615798950195","4.938615798950195","44","44","44","3.789980888366699","3.789980888366699","3.789980888366699","4.310851097106934","4.310851097106934","4.310851097106934","44","44","44","4.6116509437561035","4.6116509437561035","4.6116509437561035","4.29211950302124","4.29211950302124","4.29211950302124","44","44","44","4.5339202880859375","4.5339202880859375","4.5339202880859375","4.423489093780518","4.423489093780518","4.423489093780518","44","44","44","7.699678897857666","7.699678897857666","7.699678897857666","6.6944990158081055","6.6944990158081055","6.6944990158081055"
"46","45","45","45","5.434373378753662","5.434373378753662","5.434373378753662","5.120431900024414","5.120431900024414","5.120431900024414","45","45","45","3.868006467819214","3.868006467819214","3.868006467819214","4.32732629776001","4.32732629776001","4.32732629776001","45","45","45","4.6387553215026855","4.6387553215026855","4.6387553215026855","4.487623691558838","4.487623691558838","4.487623691558838","45","45","45","4.554143905639648","4.554143905639648","4.554143905639648","4.499371528625488","4.499371528625488","4.499371528625488","45","45","45","7.685916423797607","7.685916423797607","7.685916423797607","7.002655982971191","7.002655982971191","7.002655982971191"
"47","46","46","46","5.506444931030273","5.506444931030273","5.506444931030273","5.1766357421875","5.1766357421875","5.1766357421875","46","46","46","3.781942367553711","3.781942367553711","3.781942367553711","4.282576084136963","4.282576084136963","4.282576084136963","46","46","46","4.684199333190918","4.684199333190918","4.684199333190918","4.523940086364746","4.523940086364746","4.523940086364746","46","46","46","4.611083030700684","4.611083030700684","4.611083030700684","4.690629005432129","4.690629005432129","4.690629005432129","46","46","46","7.801155090332031","7.801155090332031","7.801155090332031","6.828166961669922","6.828166961669922","6.828166961669922"
"48","47","47","47","5.382245063781738","5.382245063781738","5.382245063781738","4.797292709350586","4.797292709350586","4.797292709350586","47","47","47","3.6919894218444824","3.6919894218444824","3.6919894218444824","4.315242290496826","4.315242290496826","4.315242290496826","47","47","47","4.620226860046387","4.620226860046387","4.620226860046387","4.629729270935059","4.629729270935059","4.629729270935059","47","47","47","4.584320545196533","4.584320545196533","4.584320545196533","4.928175926208496","4.928175926208496","4.928175926208496","47","47","47","7.713348865509033","7.713348865509033","7.713348865509033","6.192304611206055","6.192304611206055","6.192304611206055"
"49","48","48","48","5.517496585845947","5.517496585845947","5.517496585845947","4.96228551864624","4.96228551864624","4.96228551864624","48","48","48","3.7393670082092285","3.7393670082092285","3.7393670082092285","4.325180530548096","4.325180530548096","4.325180530548096","48","48","48","4.579648971557617","4.579648971557617","4.579648971557617","4.617384433746338","4.617384433746338","4.617384433746338","48","48","48","4.541858673095703","4.541858673095703","4.541858673095703","4.647761821746826","4.647761821746826","4.647761821746826","48","48","48","7.752821922302246","7.752821922302246","7.752821922302246","6.6757965087890625","6.6757965087890625","6.6757965087890625"
"50","49","49","49","5.412177562713623","5.412177562713623","5.412177562713623","4.880809307098389","4.880809307098389","4.880809307098389","49","49","49","3.7485735416412354","3.7485735416412354","3.7485735416412354","4.330891132354736","4.330891132354736","4.330891132354736","49","49","49","4.684772968292236","4.684772968292236","4.684772968292236","4.367187023162842","4.367187023162842","4.367187023162842","49","49","49","4.651762962341309","4.651762962341309","4.651762962341309","4.487034797668457","4.487034797668457","4.487034797668457","49","49","49","7.860135078430176","7.860135078430176","7.860135078430176","6.929065227508545","6.929065227508545","6.929065227508545"
"51","50","50","50","5.26127290725708","5.26127290725708","5.26127290725708","5.511105537414551","5.511105537414551","5.511105537414551","50","50","50","3.6835384368896484","3.6835384368896484","3.6835384368896484","4.272276401519775","4.272276401519775","4.272276401519775","50","50","50","4.6211395263671875","4.6211395263671875","4.6211395263671875","4.917616367340088","4.917616367340088","4.917616367340088","50","50","50","4.516537189483643","4.516537189483643","4.516537189483643","5.275829792022705","5.275829792022705","5.275829792022705","50","50","50","7.67795991897583","7.67795991897583","7.67795991897583","6.4991326332092285","6.4991326332092285","6.4991326332092285"
"52","51","51","51","5.226185321807861","5.226185321807861","5.226185321807861","4.7182207107543945","4.7182207107543945","4.7182207107543945","51","51","51","3.673231363296509","3.673231363296509","3.673231363296509","4.44435453414917","4.44435453414917","4.44435453414917","51","51","51","4.593357086181641","4.593357086181641","4.593357086181641","4.378145694732666","4.378145694732666","4.378145694732666","51","51","51","4.636820316314697","4.636820316314697","4.636820316314697","4.819575309753418","4.819575309753418","4.819575309753418","51","51","51","7.622434616088867","7.622434616088867","7.622434616088867","6.726193904876709","6.726193904876709","6.726193904876709"
"53","52","52","52","5.195445537567139","5.195445537567139","5.195445537567139","4.881568908691406","4.881568908691406","4.881568908691406","52","52","52","3.6258068084716797","3.6258068084716797","3.6258068084716797","4.371069431304932","4.371069431304932","4.371069431304932","52","52","52","4.479338645935059","4.479338645935059","4.479338645935059","4.397314071655273","4.397314071655273","4.397314071655273","52","52","52","4.44271183013916","4.44271183013916","4.44271183013916","4.6417694091796875","4.6417694091796875","4.6417694091796875","52","52","52","7.64003324508667","7.64003324508667","7.64003324508667","6.959259986877441","6.959259986877441","6.959259986877441"
"54","53","53","53","5.1961212158203125","5.1961212158203125","5.1961212158203125","5.227322578430176","5.227322578430176","5.227322578430176","53","53","53","3.6455349922180176","3.6455349922180176","3.6455349922180176","4.292989253997803","4.292989253997803","4.292989253997803","53","53","53","4.493565559387207","4.493565559387207","4.493565559387207","4.517028331756592","4.517028331756592","4.517028331756592","53","53","53","4.509432792663574","4.509432792663574","4.509432792663574","4.630821704864502","4.630821704864502","4.630821704864502","53","53","53","7.761410236358643","7.761410236358643","7.761410236358643","6.47584867477417","6.47584867477417","6.47584867477417"
"55","54","54","54","5.124564170837402","5.124564170837402","5.124564170837402","4.88967752456665","4.88967752456665","4.88967752456665","54","54","54","3.6279168128967285","3.6279168128967285","3.6279168128967285","4.3072509765625","4.3072509765625","4.3072509765625","54","54","54","4.522510051727295","4.522510051727295","4.522510051727295","4.394028663635254","4.394028663635254","4.394028663635254","54","54","54","4.577214241027832","4.577214241027832","4.577214241027832","4.667642593383789","4.667642593383789","4.667642593383789","54","54","54","7.7021803855896","7.7021803855896","7.7021803855896","6.615039825439453","6.615039825439453","6.615039825439453"
"56","55","55","55","5.120015621185303","5.120015621185303","5.120015621185303","4.908761978149414","4.908761978149414","4.908761978149414","55","55","55","3.5832414627075195","3.5832414627075195","3.5832414627075195","4.467963218688965","4.467963218688965","4.467963218688965","55","55","55","4.520130157470703","4.520130157470703","4.520130157470703","4.321897029876709","4.321897029876709","4.321897029876709","55","55","55","4.528747081756592","4.528747081756592","4.528747081756592","4.331356048583984","4.331356048583984","4.331356048583984","55","55","55","7.7493181228637695","7.7493181228637695","7.7493181228637695","6.605137348175049","6.605137348175049","6.605137348175049"
"57","56","56","56","5.0608134269714355","5.0608134269714355","5.0608134269714355","4.8928985595703125","4.8928985595703125","4.8928985595703125","56","56","56","3.539271593093872","3.539271593093872","3.539271593093872","4.3854265213012695","4.3854265213012695","4.3854265213012695","56","56","56","4.390769004821777","4.390769004821777","4.390769004821777","4.4050116539001465","4.4050116539001465","4.4050116539001465","56","56","56","4.352525234222412","4.352525234222412","4.352525234222412","4.922749996185303","4.922749996185303","4.922749996185303","56","56","56","7.742847442626953","7.742847442626953","7.742847442626953","7.196600914001465","7.196600914001465","7.196600914001465"
"58","57","57","57","5.107944011688232","5.107944011688232","5.107944011688232","4.581917762756348","4.581917762756348","4.581917762756348","57","57","57","3.5130674839019775","3.5130674839019775","3.5130674839019775","4.347578048706055","4.347578048706055","4.347578048706055","57","57","57","4.4256181716918945","4.4256181716918945","4.4256181716918945","4.482161521911621","4.482161521911621","4.482161521911621","57","57","57","4.469024658203125","4.469024658203125","4.469024658203125","4.555325031280518","4.555325031280518","4.555325031280518","57","57","57","7.70719575881958","7.70719575881958","7.70719575881958","6.261254787445068","6.261254787445068","6.261254787445068"
"59","58","58","58","5.045377731323242","5.045377731323242","5.045377731323242","4.6705498695373535","4.6705498695373535","4.6705498695373535","58","58","58","3.5116732120513916","3.5116732120513916","3.5116732120513916","4.374101161956787","4.374101161956787","4.374101161956787","58","58","58","4.532502174377441","4.532502174377441","4.532502174377441","4.345719814300537","4.345719814300537","4.345719814300537","58","58","58","4.518538951873779","4.518538951873779","4.518538951873779","4.64274263381958","4.64274263381958","4.64274263381958","58","58","58","7.700361251831055","7.700361251831055","7.700361251831055","6.453296661376953","6.453296661376953","6.453296661376953"
"60","59","59","59","5.026264667510986","5.026264667510986","5.026264667510986","4.910725116729736","4.910725116729736","4.910725116729736","59","59","59","3.517385482788086","3.517385482788086","3.517385482788086","4.451874732971191","4.451874732971191","4.451874732971191","59","59","59","4.391167163848877","4.391167163848877","4.391167163848877","4.391364097595215","4.391364097595215","4.391364097595215","59","59","59","4.425854682922363","4.425854682922363","4.425854682922363","4.562347412109375","4.562347412109375","4.562347412109375","59","59","59","7.656851291656494","7.656851291656494","7.656851291656494","7.032834529876709","7.032834529876709","7.032834529876709"
"61","60","60","60","5.057765960693359","5.057765960693359","5.057765960693359","4.978760242462158","4.978760242462158","4.978760242462158","60","60","60","3.523514747619629","3.523514747619629","3.523514747619629","4.476319789886475","4.476319789886475","4.476319789886475","60","60","60","4.455356121063232","4.455356121063232","4.455356121063232","4.5404953956604","4.5404953956604","4.5404953956604","60","60","60","4.513060092926025","4.513060092926025","4.513060092926025","4.507418155670166","4.507418155670166","4.507418155670166","60","60","60","7.816956996917725","7.816956996917725","7.816956996917725","6.425331115722656","6.425331115722656","6.425331115722656"
"62","61","61","61","5.046505451202393","5.046505451202393","5.046505451202393","5.1787638664245605","5.1787638664245605","5.1787638664245605","61","61","61","3.4484169483184814","3.4484169483184814","3.4484169483184814","4.592398166656494","4.592398166656494","4.592398166656494","61","61","61","4.300626754760742","4.300626754760742","4.300626754760742","4.696422576904297","4.696422576904297","4.696422576904297","61","61","61","4.337548732757568","4.337548732757568","4.337548732757568","4.693337917327881","4.693337917327881","4.693337917327881","61","61","61","7.658315658569336","7.658315658569336","7.658315658569336","7.033815860748291","7.033815860748291","7.033815860748291"
"63","62","62","62","5.117554187774658","5.117554187774658","5.117554187774658","4.920107364654541","4.920107364654541","4.920107364654541","62","62","62","3.462143898010254","3.462143898010254","3.462143898010254","4.41785192489624","4.41785192489624","4.41785192489624","62","62","62","4.3259196281433105","4.3259196281433105","4.3259196281433105","4.484862804412842","4.484862804412842","4.484862804412842","62","62","62","4.342062473297119","4.342062473297119","4.342062473297119","4.701473236083984","4.701473236083984","4.701473236083984","62","62","62","7.752845287322998","7.752845287322998","7.752845287322998","6.52586555480957","6.52586555480957","6.52586555480957"
"64","63","63","63","5.028119087219238","5.028119087219238","5.028119087219238","4.604597568511963","4.604597568511963","4.604597568511963","63","63","63","3.373770236968994","3.373770236968994","3.373770236968994","4.390647888183594","4.390647888183594","4.390647888183594","63","63","63","4.287106513977051","4.287106513977051","4.287106513977051","4.391863822937012","4.391863822937012","4.391863822937012","63","63","63","4.316807270050049","4.316807270050049","4.316807270050049","4.45247220993042","4.45247220993042","4.45247220993042","63","63","63","7.644556522369385","7.644556522369385","7.644556522369385","6.518215179443359","6.518215179443359","6.518215179443359"
"65","64","64","64","4.988221168518066","4.988221168518066","4.988221168518066","4.62404727935791","4.62404727935791","4.62404727935791","64","64","64","3.4131436347961426","3.4131436347961426","3.4131436347961426","4.3634161949157715","4.3634161949157715","4.3634161949157715","64","64","64","4.369797229766846","4.369797229766846","4.369797229766846","4.588435173034668","4.588435173034668","4.588435173034668","64","64","64","4.3644843101501465","4.3644843101501465","4.3644843101501465","5.029372215270996","5.029372215270996","5.029372215270996","64","64","64","7.620614051818848","7.620614051818848","7.620614051818848","6.28132963180542","6.28132963180542","6.28132963180542"
"66","65","65","65","4.907197952270508","4.907197952270508","4.907197952270508","4.612432479858398","4.612432479858398","4.612432479858398","65","65","65","3.3573334217071533","3.3573334217071533","3.3573334217071533","4.521419048309326","4.521419048309326","4.521419048309326","65","65","65","4.3050994873046875","4.3050994873046875","4.3050994873046875","4.4275689125061035","4.4275689125061035","4.4275689125061035","65","65","65","4.384706020355225","4.384706020355225","4.384706020355225","4.655028343200684","4.655028343200684","4.655028343200684","65","65","65","7.686301231384277","7.686301231384277","7.686301231384277","6.9481611251831055","6.9481611251831055","6.9481611251831055"
"67","66","66","66","4.9130144119262695","4.9130144119262695","4.9130144119262695","4.639834403991699","4.639834403991699","4.639834403991699","66","66","66","3.4182255268096924","3.4182255268096924","3.4182255268096924","4.471472263336182","4.471472263336182","4.471472263336182","66","66","66","4.210683345794678","4.210683345794678","4.210683345794678","4.607751369476318","4.607751369476318","4.607751369476318","66","66","66","4.325125694274902","4.325125694274902","4.325125694274902","4.711489200592041","4.711489200592041","4.711489200592041","66","66","66","7.697831153869629","7.697831153869629","7.697831153869629","7.077116966247559","7.077116966247559","7.077116966247559"
"68","67","67","67","4.871925354003906","4.871925354003906","4.871925354003906","4.4280500411987305","4.4280500411987305","4.4280500411987305","67","67","67","3.322582721710205","3.322582721710205","3.322582721710205","4.735066890716553","4.735066890716553","4.735066890716553","67","67","67","4.344869136810303","4.344869136810303","4.344869136810303","4.478442192077637","4.478442192077637","4.478442192077637","67","67","67","4.3811845779418945","4.3811845779418945","4.3811845779418945","4.536768436431885","4.536768436431885","4.536768436431885","67","67","67","7.68364953994751","7.68364953994751","7.68364953994751","6.472602844238281","6.472602844238281","6.472602844238281"
"69","68","68","68","4.915205955505371","4.915205955505371","4.915205955505371","5.071290969848633","5.071290969848633","5.071290969848633","68","68","68","3.380587577819824","3.380587577819824","3.380587577819824","4.529482364654541","4.529482364654541","4.529482364654541","68","68","68","4.167762756347656","4.167762756347656","4.167762756347656","4.7371110916137695","4.7371110916137695","4.7371110916137695","68","68","68","4.305518627166748","4.305518627166748","4.305518627166748","4.699183464050293","4.699183464050293","4.699183464050293","68","68","68","7.76772403717041","7.76772403717041","7.76772403717041","6.683060646057129","6.683060646057129","6.683060646057129"
"70","69","69","69","4.863279342651367","4.863279342651367","4.863279342651367","4.460747718811035","4.460747718811035","4.460747718811035","69","69","69","3.2988154888153076","3.2988154888153076","3.2988154888153076","4.448954105377197","4.448954105377197","4.448954105377197","69","69","69","4.232497215270996","4.232497215270996","4.232497215270996","4.4074320793151855","4.4074320793151855","4.4074320793151855","69","69","69","4.256266117095947","4.256266117095947","4.256266117095947","4.642692565917969","4.642692565917969","4.642692565917969","69","69","69","7.626873016357422","7.626873016357422","7.626873016357422","6.5018181800842285","6.5018181800842285","6.5018181800842285"
"71","70","70","70","4.835082054138184","4.835082054138184","4.835082054138184","4.6426310539245605","4.6426310539245605","4.6426310539245605","70","70","70","3.2690556049346924","3.2690556049346924","3.2690556049346924","4.312544345855713","4.312544345855713","4.312544345855713","70","70","70","4.215188503265381","4.215188503265381","4.215188503265381","4.681012153625488","4.681012153625488","4.681012153625488","70","70","70","4.208202838897705","4.208202838897705","4.208202838897705","4.596492767333984","4.596492767333984","4.596492767333984","70","70","70","7.599071979522705","7.599071979522705","7.599071979522705","6.810283184051514","6.810283184051514","6.810283184051514"
"72","71","71","71","4.85387659072876","4.85387659072876","4.85387659072876","4.570969104766846","4.570969104766846","4.570969104766846","71","71","71","3.24945330619812","3.24945330619812","3.24945330619812","4.38953971862793","4.38953971862793","4.38953971862793","71","71","71","4.249382019042969","4.249382019042969","4.249382019042969","4.700838565826416","4.700838565826416","4.700838565826416","71","71","71","4.3745527267456055","4.3745527267456055","4.3745527267456055","4.929523468017578","4.929523468017578","4.929523468017578","71","71","71","7.802535057067871","7.802535057067871","7.802535057067871","6.474696159362793","6.474696159362793","6.474696159362793"
"73","72","72","72","4.878128528594971","4.878128528594971","4.878128528594971","4.757463455200195","4.757463455200195","4.757463455200195","72","72","72","3.282775640487671","3.282775640487671","3.282775640487671","4.339139938354492","4.339139938354492","4.339139938354492","72","72","72","4.238475322723389","4.238475322723389","4.238475322723389","4.7949113845825195","4.7949113845825195","4.7949113845825195","72","72","72","4.251114845275879","4.251114845275879","4.251114845275879","5.145020008087158","5.145020008087158","5.145020008087158","72","72","72","7.618127822875977","7.618127822875977","7.618127822875977","7.157071590423584","7.157071590423584","7.157071590423584"
"74","73","73","73","4.814605236053467","4.814605236053467","4.814605236053467","4.470271110534668","4.470271110534668","4.470271110534668","73","73","73","3.206869125366211","3.206869125366211","3.206869125366211","4.447737693786621","4.447737693786621","4.447737693786621","73","73","73","4.287752151489258","4.287752151489258","4.287752151489258","4.361953258514404","4.361953258514404","4.361953258514404","73","73","73","4.333273410797119","4.333273410797119","4.333273410797119","4.505977630615234","4.505977630615234","4.505977630615234","73","73","73","7.731076717376709","7.731076717376709","7.731076717376709","6.85664701461792","6.85664701461792","6.85664701461792"
"75","74","74","74","4.788807392120361","4.788807392120361","4.788807392120361","4.361171245574951","4.361171245574951","4.361171245574951","74","74","74","3.248422384262085","3.248422384262085","3.248422384262085","4.5999956130981445","4.5999956130981445","4.5999956130981445","74","74","74","4.210545539855957","4.210545539855957","4.210545539855957","4.430841445922852","4.430841445922852","4.430841445922852","74","74","74","4.359164237976074","4.359164237976074","4.359164237976074","4.857056617736816","4.857056617736816","4.857056617736816","74","74","74","7.624414920806885","7.624414920806885","7.624414920806885","7.103835105895996","7.103835105895996","7.103835105895996"
"76","75","75","75","4.754889011383057","4.754889011383057","4.754889011383057","4.613893032073975","4.613893032073975","4.613893032073975","75","75","75","3.272230625152588","3.272230625152588","3.272230625152588","4.5325140953063965","4.5325140953063965","4.5325140953063965","75","75","75","4.131979942321777","4.131979942321777","4.131979942321777","4.677419662475586","4.677419662475586","4.677419662475586","75","75","75","4.206039905548096","4.206039905548096","4.206039905548096","4.648642063140869","4.648642063140869","4.648642063140869","75","75","75","7.655722618103027","7.655722618103027","7.655722618103027","6.498719215393066","6.498719215393066","6.498719215393066"
