"Name","valid.rmse.min","valid.r2.max","State","Hostname","Created","Runtime","batch_size","learning_rate","gnn_type","graph_dims","n_conv_layers","dim_shape","dim_node_hidden","n_feat_reduce_layers","feat_reduce_dim","feat_global_pool","feat_reduce_global_pool","n_graph_embedding_layers","graph_embedding_dim","graph_global_pool","jk_mode","n_fc_hidden_layers","use_bfactor_embedding","use_pLDDT_embedding","gat_atten_heads","disable_fc_bfactor","disable_fc_pLDDT","feat2fc","norm_fc_input","norm_graph_input","norm_graph_output","use_fc_bfactor","use_fc_pLDDT","use_feat_reduce","use_graph_embedding","use_node_bfactor","use_node_pLDDT","lr"
"c1e-N","4.165218353271484","0.8157414197921753","finished","hild","2023-07-03T03:34:51.000Z","19678","256","0.01","gcn","[]","0","","0","2","","","mean","2","","","","2","","","","","","","","","","","","","","","",""
"DeepSTABp_architecture","4.217001438140869","0.811131477355957","finished","SWCLAB-DELLXPS","2023-06-30T05:10:36.000Z","24475","256","0.01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"gcn_d3e_FFF-1x32-0_Nmean","4.29211950302124","0.8043428063392639","finished","hild","2023-07-04T14:15:55.000Z","24124","64","0.01","gcn","[""pae"",""contact"",""backbone"",""codir"",""coord"",""deform""]","1","constant","32","","","","","","","mean","cat","2","false","false","","","","false","false","false","false","false","false","","false","true","true","0.01"
"gcn_d3_FFF-1x32-0_Nmean","4.331356048583984","0.8007493019104004","finished","hild","2023-07-04T14:15:28.000Z","24022","64","0.01","gcn","[""pae"",""contact"",""backbone"",""codir"",""coord"",""deform""]","1","constant","32","","","","","","","mean","cat","2","false","false","","","","false","false","false","false","false","false","","false","true","true","0.01"
"d0e_F","6.082454681396484","0.6070747375488281","finished","hild","2023-07-05T02:01:52.000Z","24182","64","0.01","","[]","","","","","","","","","","","","2","","","","","","false","false","","","false","false","","","false","false","0.01"
