"epoch","c1e-N - _step","c1e-N - _step__MIN","c1e-N - _step__MAX","c1e-N - train.r2","c1e-N - train.r2__MIN","c1e-N - train.r2__MAX","c1e-N - valid.r2","c1e-N - valid.r2__MIN","c1e-N - valid.r2__MAX","DeepSTABp_architecture - _step","DeepSTABp_architecture - _step__MIN","DeepSTABp_architecture - _step__MAX","DeepSTABp_architecture - train.r2","DeepSTABp_architecture - train.r2__MIN","DeepSTABp_architecture - train.r2__MAX","DeepSTABp_architecture - valid.r2","DeepSTABp_architecture - valid.r2__MIN","DeepSTABp_architecture - valid.r2__MAX","gcn_d3e_FFF-1x32-0_Nmean - _step","gcn_d3e_FFF-1x32-0_Nmean - _step__MIN","gcn_d3e_FFF-1x32-0_Nmean - _step__MAX","gcn_d3e_FFF-1x32-0_Nmean - train.r2","gcn_d3e_FFF-1x32-0_Nmean - train.r2__MIN","gcn_d3e_FFF-1x32-0_Nmean - train.r2__MAX","gcn_d3e_FFF-1x32-0_Nmean - valid.r2","gcn_d3e_FFF-1x32-0_Nmean - valid.r2__MIN","gcn_d3e_FFF-1x32-0_Nmean - valid.r2__MAX","gcn_d3_FFF-1x32-0_Nmean - _step","gcn_d3_FFF-1x32-0_Nmean - _step__MIN","gcn_d3_FFF-1x32-0_Nmean - _step__MAX","gcn_d3_FFF-1x32-0_Nmean - train.r2","gcn_d3_FFF-1x32-0_Nmean - train.r2__MIN","gcn_d3_FFF-1x32-0_Nmean - train.r2__MAX","gcn_d3_FFF-1x32-0_Nmean - valid.r2","gcn_d3_FFF-1x32-0_Nmean - valid.r2__MIN","gcn_d3_FFF-1x32-0_Nmean - valid.r2__MAX","d0e_F - _step","d0e_F - _step__MIN","d0e_F - _step__MAX","d0e_F - train.r2","d0e_F - train.r2__MIN","d0e_F - train.r2__MAX","d0e_F - valid.r2","d0e_F - valid.r2__MIN","d0e_F - valid.r2__MAX"
"11","10","10","10","0.17134910821914673","0.17134910821914673","0.17134910821914673","0.5475980043411255","0.5475980043411255","0.5475980043411255","10","10","10","0.7880706191062927","0.7880706191062927","0.7880706191062927","0.8069198727607727","0.8069198727607727","0.8069198727607727","10","10","10","0.6931741237640381","0.6931741237640381","0.6931741237640381","0.7544249296188354","0.7544249296188354","0.7544249296188354","10","10","10","0.6218781471252441","0.6218781471252441","0.6218781471252441","0.6369041204452515","0.6369041204452515","0.6369041204452515","10","10","10","0.3521786332130432","0.3521786332130432","0.3521786332130432","0.5551668405532837","0.5551668405532837","0.5551668405532837"
"12","11","11","11","0.26912713050842285","0.26912713050842285","0.26912713050842285","0.5503756999969482","0.5503756999969482","0.5503756999969482","11","11","11","0.7860011458396912","0.7860011458396912","0.7860011458396912","0.7949471473693848","0.7949471473693848","0.7949471473693848","11","11","11","0.7014374732971191","0.7014374732971191","0.7014374732971191","0.7621456384658813","0.7621456384658813","0.7621456384658813","11","11","11","0.6501656770706177","0.6501656770706177","0.6501656770706177","0.6675829887390137","0.6675829887390137","0.6675829887390137","11","11","11","0.3559108376502991","0.3559108376502991","0.3559108376502991","0.4307711720466614","0.4307711720466614","0.4307711720466614"
"13","12","12","12","0.335376501083374","0.335376501083374","0.335376501083374","0.5661664009094238","0.5661664009094238","0.5661664009094238","12","12","12","0.7873149514198303","0.7873149514198303","0.7873149514198303","0.8041175007820129","0.8041175007820129","0.8041175007820129","12","12","12","0.6949796080589294","0.6949796080589294","0.6949796080589294","0.7708132266998291","0.7708132266998291","0.7708132266998291","12","12","12","0.6571159958839417","0.6571159958839417","0.6571159958839417","0.7119350433349609","0.7119350433349609","0.7119350433349609","12","12","12","0.34829169511795044","0.34829169511795044","0.34829169511795044","0.551661491394043","0.551661491394043","0.551661491394043"
"14","13","13","13","0.37417298555374146","0.37417298555374146","0.37417298555374146","0.5671973824501038","0.5671973824501038","0.5671973824501038","13","13","13","0.7919739484786987","0.7919739484786987","0.7919739484786987","0.809000551700592","0.809000551700592","0.809000551700592","13","13","13","0.6975547075271606","0.6975547075271606","0.6975547075271606","0.7796167731285095","0.7796167731285095","0.7796167731285095","13","13","13","0.670588493347168","0.670588493347168","0.670588493347168","0.75087571144104","0.75087571144104","0.75087571144104","13","13","13","0.34604865312576294","0.34604865312576294","0.34604865312576294","0.4793105125427246","0.4793105125427246","0.4793105125427246"
"15","14","14","14","0.4087642431259155","0.4087642431259155","0.4087642431259155","0.5529396533966064","0.5529396533966064","0.5529396533966064","14","14","14","0.7931599020957947","0.7931599020957947","0.7931599020957947","0.8059695363044739","0.8059695363044739","0.8059695363044739","14","14","14","0.7068102359771729","0.7068102359771729","0.7068102359771729","0.7552185654640198","0.7552185654640198","0.7552185654640198","14","14","14","0.6892046928405762","0.6892046928405762","0.6892046928405762","0.7172939777374268","0.7172939777374268","0.7172939777374268","14","14","14","0.35670244693756104","0.35670244693756104","0.35670244693756104","0.5107265710830688","0.5107265710830688","0.5107265710830688"
"16","15","15","15","0.4528064727783203","0.4528064727783203","0.4528064727783203","0.5782262086868286","0.5782262086868286","0.5782262086868286","15","15","15","0.7989370822906494","0.7989370822906494","0.7989370822906494","0.7905470132827759","0.7905470132827759","0.7905470132827759","15","15","15","0.7172189950942993","0.7172189950942993","0.7172189950942993","0.7647759914398193","0.7647759914398193","0.7647759914398193","15","15","15","0.7077316045761108","0.7077316045761108","0.7077316045761108","0.706596314907074","0.706596314907074","0.706596314907074","15","15","15","0.3542407155036926","0.3542407155036926","0.3542407155036926","0.47246021032333374","0.47246021032333374","0.47246021032333374"
"17","16","16","16","0.46443504095077515","0.46443504095077515","0.46443504095077515","0.5665240287780762","0.5665240287780762","0.5665240287780762","16","16","16","0.7975585460662842","0.7975585460662842","0.7975585460662842","0.794788122177124","0.794788122177124","0.794788122177124","16","16","16","0.7140887975692749","0.7140887975692749","0.7140887975692749","0.7744337916374207","0.7744337916374207","0.7744337916374207","16","16","16","0.7073614001274109","0.7073614001274109","0.7073614001274109","0.766660213470459","0.766660213470459","0.766660213470459","16","16","16","0.3508914113044739","0.3508914113044739","0.3508914113044739","0.5332639217376709","0.5332639217376709","0.5332639217376709"
"18","17","17","17","0.47828108072280884","0.47828108072280884","0.47828108072280884","0.602631688117981","0.602631688117981","0.602631688117981","17","17","17","0.7989136576652527","0.7989136576652527","0.7989136576652527","0.8103039264678955","0.8103039264678955","0.8103039264678955","17","17","17","0.7292259931564331","0.7292259931564331","0.7292259931564331","0.7679082751274109","0.7679082751274109","0.7679082751274109","17","17","17","0.7273140549659729","0.7273140549659729","0.7273140549659729","0.7550873756408691","0.7550873756408691","0.7550873756408691","17","17","17","0.37656402587890625","0.37656402587890625","0.37656402587890625","0.5343202352523804","0.5343202352523804","0.5343202352523804"
"19","18","18","18","0.5040361285209656","0.5040361285209656","0.5040361285209656","0.5990995168685913","0.5990995168685913","0.5990995168685913","18","18","18","0.8055811524391174","0.8055811524391174","0.8055811524391174","0.8066956996917725","0.8066956996917725","0.8066956996917725","18","18","18","0.7242758274078369","0.7242758274078369","0.7242758274078369","0.7769730091094971","0.7769730091094971","0.7769730091094971","18","18","18","0.7233470678329468","0.7233470678329468","0.7233470678329468","0.7641603350639343","0.7641603350639343","0.7641603350639343","18","18","18","0.38300877809524536","0.38300877809524536","0.38300877809524536","0.5134677290916443","0.5134677290916443","0.5134677290916443"
"20","19","19","19","0.5219539403915405","0.5219539403915405","0.5219539403915405","0.6099499464035034","0.6099499464035034","0.6099499464035034","19","19","19","0.808122992515564","0.808122992515564","0.808122992515564","0.7953968048095703","0.7953968048095703","0.7953968048095703","19","19","19","0.7310925126075745","0.7310925126075745","0.7310925126075745","0.7854440212249756","0.7854440212249756","0.7854440212249756","19","19","19","0.7236661911010742","0.7236661911010742","0.7236661911010742","0.7757443189620972","0.7757443189620972","0.7757443189620972","19","19","19","0.35769158601760864","0.35769158601760864","0.35769158601760864","0.5014504194259644","0.5014504194259644","0.5014504194259644"
"21","20","20","20","0.5244418978691101","0.5244418978691101","0.5244418978691101","0.6205034255981445","0.6205034255981445","0.6205034255981445","20","20","20","0.7992842793464661","0.7992842793464661","0.7992842793464661","0.811131477355957","0.811131477355957","0.811131477355957","20","20","20","0.7270247936248779","0.7270247936248779","0.7270247936248779","0.7719740867614746","0.7719740867614746","0.7719740867614746","20","20","20","0.7301762104034424","0.7301762104034424","0.7301762104034424","0.7798642516136169","0.7798642516136169","0.7798642516136169","20","20","20","0.36044979095458984","0.36044979095458984","0.36044979095458984","0.5770813226699829","0.5770813226699829","0.5770813226699829"
"22","21","21","21","0.5281341075897217","0.5281341075897217","0.5281341075897217","0.608073353767395","0.608073353767395","0.608073353767395","21","21","21","0.8073906898498535","0.8073906898498535","0.8073906898498535","0.7864848375320435","0.7864848375320435","0.7864848375320435","21","21","21","0.7258055210113525","0.7258055210113525","0.7258055210113525","0.792247474193573","0.792247474193573","0.792247474193573","21","21","21","0.7275645136833191","0.7275645136833191","0.7275645136833191","0.7737287878990173","0.7737287878990173","0.7737287878990173","21","21","21","0.3523617386817932","0.3523617386817932","0.3523617386817932","0.5097130537033081","0.5097130537033081","0.5097130537033081"
"23","22","22","22","0.5479761362075806","0.5479761362075806","0.5479761362075806","0.6063268184661865","0.6063268184661865","0.6063268184661865","22","22","22","0.8102397322654724","0.8102397322654724","0.8102397322654724","0.7990832328796387","0.7990832328796387","0.7990832328796387","22","22","22","0.7402670383453369","0.7402670383453369","0.7402670383453369","0.7706249952316284","0.7706249952316284","0.7706249952316284","22","22","22","0.7418912649154663","0.7418912649154663","0.7418912649154663","0.7790707349777222","0.7790707349777222","0.7790707349777222","22","22","22","0.36939066648483276","0.36939066648483276","0.36939066648483276","0.4602997303009033","0.4602997303009033","0.4602997303009033"
"24","23","23","23","0.5486607551574707","0.5486607551574707","0.5486607551574707","0.578493595123291","0.578493595123291","0.578493595123291","23","23","23","0.810019850730896","0.810019850730896","0.810019850730896","0.7732818722724915","0.7732818722724915","0.7732818722724915","23","23","23","0.7405058741569519","0.7405058741569519","0.7405058741569519","0.7707005739212036","0.7707005739212036","0.7707005739212036","23","23","23","0.7357012033462524","0.7357012033462524","0.7357012033462524","0.7760462760925293","0.7760462760925293","0.7760462760925293","23","23","23","0.37054264545440674","0.37054264545440674","0.37054264545440674","0.5456310510635376","0.5456310510635376","0.5456310510635376"
"25","24","24","24","0.541325569152832","0.541325569152832","0.541325569152832","0.6075391173362732","0.6075391173362732","0.6075391173362732","24","24","24","0.8059290647506714","0.8059290647506714","0.8059290647506714","0.8069827556610107","0.8069827556610107","0.8069827556610107","24","24","24","0.745741605758667","0.745741605758667","0.745741605758667","0.7739814519882202","0.7739814519882202","0.7739814519882202","24","24","24","0.7442697286605835","0.7442697286605835","0.7442697286605835","0.7482818365097046","0.7482818365097046","0.7482818365097046","24","24","24","0.35578882694244385","0.35578882694244385","0.35578882694244385","0.54659104347229","0.54659104347229","0.54659104347229"
"26","25","25","25","0.5525468587875366","0.5525468587875366","0.5525468587875366","0.6095023155212402","0.6095023155212402","0.6095023155212402","25","25","25","0.8107128143310547","0.8107128143310547","0.8107128143310547","0.7972578406333923","0.7972578406333923","0.7972578406333923","25","25","25","0.7471157312393188","0.7471157312393188","0.7471157312393188","0.7922502160072327","0.7922502160072327","0.7922502160072327","25","25","25","0.7481340765953064","0.7481340765953064","0.7481340765953064","0.7762258052825928","0.7762258052825928","0.7762258052825928","25","25","25","0.36128664016723633","0.36128664016723633","0.36128664016723633","0.5310807228088379","0.5310807228088379","0.5310807228088379"
"27","26","26","26","0.5675134062767029","0.5675134062767029","0.5675134062767029","0.6219722032546997","0.6219722032546997","0.6219722032546997","26","26","26","0.816715657711029","0.816715657711029","0.816715657711029","0.7965176701545715","0.7965176701545715","0.7965176701545715","26","26","26","0.7366301417350769","0.7366301417350769","0.7366301417350769","0.7799122333526611","0.7799122333526611","0.7799122333526611","26","26","26","0.7311955690383911","0.7311955690383911","0.7311955690383911","0.737716019153595","0.737716019153595","0.737716019153595","26","26","26","0.37834036350250244","0.37834036350250244","0.37834036350250244","0.5346112251281738","0.5346112251281738","0.5346112251281738"
"28","27","27","27","0.5764748454093933","0.5764748454093933","0.5764748454093933","0.6364640593528748","0.6364640593528748","0.6364640593528748","27","27","27","0.8153008222579956","0.8153008222579956","0.8153008222579956","0.8096528649330139","0.8096528649330139","0.8096528649330139","27","27","27","0.7397994995117188","0.7397994995117188","0.7397994995117188","0.7674866914749146","0.7674866914749146","0.7674866914749146","27","27","27","0.7369325160980225","0.7369325160980225","0.7369325160980225","0.7823560833930969","0.7823560833930969","0.7823560833930969","27","27","27","0.35643672943115234","0.35643672943115234","0.35643672943115234","0.48720574378967285","0.48720574378967285","0.48720574378967285"
"29","28","28","28","0.5854126811027527","0.5854126811027527","0.5854126811027527","0.6020285487174988","0.6020285487174988","0.6020285487174988","28","28","28","0.817416787147522","0.817416787147522","0.817416787147522","0.8053872585296631","0.8053872585296631","0.8053872585296631","28","28","28","0.7477471828460693","0.7477471828460693","0.7477471828460693","0.7866199016571045","0.7866199016571045","0.7866199016571045","28","28","28","0.7448128461837769","0.7448128461837769","0.7448128461837769","0.7648831009864807","0.7648831009864807","0.7648831009864807","28","28","28","0.371001660823822","0.371001660823822","0.371001660823822","0.555034875869751","0.555034875869751","0.555034875869751"
"30","29","29","29","0.5949916839599609","0.5949916839599609","0.5949916839599609","0.6569681763648987","0.6569681763648987","0.6569681763648987","29","29","29","0.8171094655990601","0.8171094655990601","0.8171094655990601","0.8054602146148682","0.8054602146148682","0.8054602146148682","29","29","29","0.74410080909729","0.74410080909729","0.74410080909729","0.7868050336837769","0.7868050336837769","0.7868050336837769","29","29","29","0.747291088104248","0.747291088104248","0.747291088104248","0.7932569980621338","0.7932569980621338","0.7932569980621338","29","29","29","0.3611816167831421","0.3611816167831421","0.3611816167831421","0.5174846649169922","0.5174846649169922","0.5174846649169922"
"31","30","30","30","0.6039059162139893","0.6039059162139893","0.6039059162139893","0.647638201713562","0.647638201713562","0.647638201713562","30","30","30","0.8231180906295776","0.8231180906295776","0.8231180906295776","0.8000079393386841","0.8000079393386841","0.8000079393386841","30","30","30","0.7399320602416992","0.7399320602416992","0.7399320602416992","0.7449756264686584","0.7449756264686584","0.7449756264686584","30","30","30","0.7406642436981201","0.7406642436981201","0.7406642436981201","0.7548812627792358","0.7548812627792358","0.7548812627792358","30","30","30","0.3570758104324341","0.3570758104324341","0.3570758104324341","0.5078395009040833","0.5078395009040833","0.5078395009040833"
"32","31","31","31","0.6096710562705994","0.6096710562705994","0.6096710562705994","0.6463888883590698","0.6463888883590698","0.6463888883590698","31","31","31","0.8262574672698975","0.8262574672698975","0.8262574672698975","0.7968566417694092","0.7968566417694092","0.7968566417694092","31","31","31","0.7493707537651062","0.7493707537651062","0.7493707537651062","0.7931317090988159","0.7931317090988159","0.7931317090988159","31","31","31","0.74814373254776","0.74814373254776","0.74814373254776","0.7672660946846008","0.7672660946846008","0.7672660946846008","31","31","31","0.3725963234901428","0.3725963234901428","0.3725963234901428","0.5291105508804321","0.5291105508804321","0.5291105508804321"
"33","32","32","32","0.6087404489517212","0.6087404489517212","0.6087404489517212","0.6615582704544067","0.6615582704544067","0.6615582704544067","32","32","32","0.8293322324752808","0.8293322324752808","0.8293322324752808","0.7984470725059509","0.7984470725059509","0.7984470725059509","32","32","32","0.754155158996582","0.754155158996582","0.754155158996582","0.7816561460494995","0.7816561460494995","0.7816561460494995","32","32","32","0.7508313655853271","0.7508313655853271","0.7508313655853271","0.7676700353622437","0.7676700353622437","0.7676700353622437","32","32","32","0.3609243631362915","0.3609243631362915","0.3609243631362915","0.5664339065551758","0.5664339065551758","0.5664339065551758"
"34","33","33","33","0.6250531673431396","0.6250531673431396","0.6250531673431396","0.6605879664421082","0.6605879664421082","0.6605879664421082","33","33","33","0.8292245864868164","0.8292245864868164","0.8292245864868164","0.7799834609031677","0.7799834609031677","0.7799834609031677","33","33","33","0.7608357667922974","0.7608357667922974","0.7608357667922974","0.7631310820579529","0.7631310820579529","0.7631310820579529","33","33","33","0.756505012512207","0.756505012512207","0.756505012512207","0.7754056453704834","0.7754056453704834","0.7754056453704834","33","33","33","0.39129477739334106","0.39129477739334106","0.39129477739334106","0.604575514793396","0.604575514793396","0.604575514793396"
"35","34","34","34","0.6402839422225952","0.6402839422225952","0.6402839422225952","0.688758373260498","0.688758373260498","0.688758373260498","34","34","34","0.8301864862442017","0.8301864862442017","0.8301864862442017","0.8060769438743591","0.8060769438743591","0.8060769438743591","34","34","34","0.7502651214599609","0.7502651214599609","0.7502651214599609","0.7811967730522156","0.7811967730522156","0.7811967730522156","34","34","34","0.7573815584182739","0.7573815584182739","0.7573815584182739","0.7826353311538696","0.7826353311538696","0.7826353311538696","34","34","34","0.3771868348121643","0.3771868348121643","0.3771868348121643","0.48474472761154175","0.48474472761154175","0.48474472761154175"
"36","35","35","35","0.6428794264793396","0.6428794264793396","0.6428794264793396","0.6417797803878784","0.6417797803878784","0.6417797803878784","35","35","35","0.8348554968833923","0.8348554968833923","0.8348554968833923","0.8095904588699341","0.8095904588699341","0.8095904588699341","35","35","35","0.7559670209884644","0.7559670209884644","0.7559670209884644","0.7711687684059143","0.7711687684059143","0.7711687684059143","35","35","35","0.7609655261039734","0.7609655261039734","0.7609655261039734","0.7817745804786682","0.7817745804786682","0.7817745804786682","35","35","35","0.368042528629303","0.368042528629303","0.368042528629303","0.5299317836761475","0.5299317836761475","0.5299317836761475"
"37","36","36","36","0.6527035236358643","0.6527035236358643","0.6527035236358643","0.7037007808685303","0.7037007808685303","0.7037007808685303","36","36","36","0.8343482613563538","0.8343482613563538","0.8343482613563538","0.8067157864570618","0.8067157864570618","0.8067157864570618","36","36","36","0.7529678344726562","0.7529678344726562","0.7529678344726562","0.7968703508377075","0.7968703508377075","0.7968703508377075","36","36","36","0.761367917060852","0.761367917060852","0.761367917060852","0.7481351494789124","0.7481351494789124","0.7481351494789124","36","36","36","0.36282777786254883","0.36282777786254883","0.36282777786254883","0.5751770734786987","0.5751770734786987","0.5751770734786987"
"38","37","37","37","0.6571155786514282","0.6571155786514282","0.6571155786514282","0.6957231760025024","0.6957231760025024","0.6957231760025024","37","37","37","0.8348932266235352","0.8348932266235352","0.8348932266235352","0.8055860996246338","0.8055860996246338","0.8055860996246338","37","37","37","0.7616208791732788","0.7616208791732788","0.7616208791732788","0.7884529232978821","0.7884529232978821","0.7884529232978821","37","37","37","0.7615364789962769","0.7615364789962769","0.7615364789962769","0.7949278354644775","0.7949278354644775","0.7949278354644775","37","37","37","0.3804880380630493","0.3804880380630493","0.3804880380630493","0.4767035245895386","0.4767035245895386","0.4767035245895386"
"39","38","38","38","0.6671491861343384","0.6671491861343384","0.6671491861343384","0.6956690549850464","0.6956690549850464","0.6956690549850464","38","38","38","0.8365359306335449","0.8365359306335449","0.8365359306335449","0.8017444610595703","0.8017444610595703","0.8017444610595703","38","38","38","0.7673327922821045","0.7673327922821045","0.7673327922821045","0.7721731066703796","0.7721731066703796","0.7721731066703796","38","38","38","0.7666031718254089","0.7666031718254089","0.7666031718254089","0.7659237384796143","0.7659237384796143","0.7659237384796143","38","38","38","0.3730642795562744","0.3730642795562744","0.3730642795562744","0.5190091133117676","0.5190091133117676","0.5190091133117676"
"40","39","39","39","0.6640465259552002","0.6640465259552002","0.6640465259552002","0.6566610336303711","0.6566610336303711","0.6566610336303711","39","39","39","0.8362830877304077","0.8362830877304077","0.8362830877304077","0.8029211759567261","0.8029211759567261","0.8029211759567261","39","39","39","0.7578572034835815","0.7578572034835815","0.7578572034835815","0.7951411008834839","0.7951411008834839","0.7951411008834839","39","39","39","0.7653911113739014","0.7653911113739014","0.7653911113739014","0.7730395197868347","0.7730395197868347","0.7730395197868347","39","39","39","0.3746036887168884","0.3746036887168884","0.3746036887168884","0.4928041696548462","0.4928041696548462","0.4928041696548462"
