Protein,species,asymptote,mid,m,Tm,r2
A0AVT1_UBA6,Homo sapiens K562 lysate,0.14282569149307026,47.4675579234614,1371.8777646765059,48.029060006972365,0.9992101693659529
A0AVT1,Homo sapiens K562 lysate,0.07361267554624167,45.97815034450445,814.7165547168986,46.40443846552952,0.997267430505643
A0JNW5_UHRF1BP1L,Homo sapiens K562 lysate,0.26332043029285895,46.72149664715575,850.8914356807693,48.738306735662825,0.9935634851587057
A0JNW5,Homo sapiens K562 lysate,0.10574396980287785,51.80023129960859,902.6919449859944,52.52577014829629,0.9860166364478484
A0MZ66_KIAA1598,Homo sapiens K562 lysate,0.23003892117511113,48.80556743264655,720.4018762353019,50.935743204962016,0.9751276071634372
A0MZ66,Homo sapiens K562 lysate,0.1283778420034025,50.910555051561225,1707.9878486728883,51.382414576893886,0.9983331410107958
A2A274_ACO2,Homo sapiens K562 lysate,0.06430762557370354,43.941689894369574,654.3993478728021,44.36003277355338,0.9947410973687782
A2A274,Homo sapiens K562 lysate,0.09839819822772648,51.19037974271434,1844.0720203452734,51.51777000819138,0.9980206205254151
A2A2Q9_AAR2,Homo sapiens K562 lysate,0.23777717139418778,46.72004334794357,880.5938450161015,48.39582343739852,0.9763505420041095
A2A2Q9,Homo sapiens K562 lysate,0.04366912016383407,49.624408029607864,774.2999448294356,49.91832496418389,0.9951476171521153
A4D1E9_GTPBP10,Homo sapiens K562 lysate,0.15318591744864463,44.44309961723663,673.3933840366353,45.5551753365605,0.9876215080036431
A4D1E9,Homo sapiens K562 lysate,0.12031051230691212,44.76203705622304,699.6658186309819,45.57513870205012,0.9948986762083017
A6NDU8_C5orf51,Homo sapiens K562 lysate,0.056306659243734895,48.48149443654767,482.2718899006956,49.07277712705401,0.9934546945062751
A6NDU8,Homo sapiens K562 lysate,0.09801514957155415,48.7833687410112,1547.40066090498,49.129817082199,0.9992781640095268
A6NED2_RCCD1,Homo sapiens K562 lysate,0.1284212842728415,50.26951554680043,458.7025629225772,51.9609948934834,0.9796843201264228
A6NED2,Homo sapiens K562 lysate,0.15323259128653566,52.29402661487071,1276.4672093000215,53.09598197332317,0.9946693047029956
A6NHR9_SMCHD1,Homo sapiens K562 lysate,0.10127097439227438,42.19197551363068,1087.2879973908261,42.578780011458754,0.9915460396680323
A6NHR9,Homo sapiens K562 lysate,0.1159688999897351,43.04238492148271,888.7177678410872,43.61152632233279,0.985839150162338
A6NIH7_UNC119B,Homo sapiens K562 lysate,0.17708777098573059,50.460959191966154,933.4310192059027,51.694042035749256,0.985178512763141
A6NIH7,Homo sapiens K562 lysate,0.1113002753472254,48.59378116099207,948.8905595878634,49.23766952142515,0.9983748424085802
A6NIW2_DOCK11,Homo sapiens K562 lysate,0.16922210762797438,45.72872290386206,675.2726353616692,47.04752972715049,0.9886100545783929
A6NIW2,Homo sapiens K562 lysate,0.12086035782936831,50.01099249151277,1520.8239028249639,50.48567698613367,0.9980899345561127
A6NMQ1_POLA1,Homo sapiens K562 lysate,0.2450108403353744,46.58973229536253,1112.7055507410166,47.94595844863761,0.993849129198174
A6NMQ1,Homo sapiens K562 lysate,0.09769742449865086,49.82719156302174,1480.7910794961301,50.20513774807495,0.9971970253444059
A8K0B5_ZBTB8OS,Homo sapiens K562 lysate,0.10896985928707137,50.045803403084435,9999.01639238032,50.20440468657137,0.9756392166783692
A8K0B5,Homo sapiens K562 lysate,0.10049878948873443,51.83723374305254,1102.4888992926826,52.400505932077905,0.991145491433725
A8K7Q2_HSPA8,Homo sapiens K562 lysate,8.093525614068686e-23,48.283822571214564,755.3971001509186,48.28877764606125,0.9895263846605921
A8K7Q2,Homo sapiens K562 lysate,0.1148377376988761,51.09553903812305,1739.09068694151,51.50577700545909,0.9992271991596443
A8MPS7_YDJC,Homo sapiens K562 lysate,0.2707757250182475,49.65544990720118,1146.6297767400088,51.41568283060648,0.9732029882807236
A8MPS7,Homo sapiens K562 lysate,0.10932155299892654,51.04019105315677,1089.1042702652187,51.64658931348403,0.9980681012363749
A8MUM1_TSSC1,Homo sapiens K562 lysate,0.07565870734307054,50.602699698483995,762.1264152185545,51.164881145845335,0.9905369004771893
A8MUM1,Homo sapiens K562 lysate,0.08442909484239622,52.05211659742264,861.6839995191056,52.64738105584877,0.9860663691960768
A8MXV4_NUDT19,Homo sapiens K562 lysate,0.1084756113411308,52.16799003105101,1565.3867506002964,52.60817746886542,0.9884984747493437
A8MXV4,Homo sapiens K562 lysate,0.19123141566199148,53.58277142279604,1435.7079397000416,54.58216256340965,0.9942160750486257
B0QY89_EIF3L,Homo sapiens K562 lysate,0.1521178571826474,48.201818200666075,1762.9338884006845,48.699637840692255,0.9985916498212796
B0QY89,Homo sapiens K562 lysate,0.09519308539226048,51.504168958881394,1998.0531218228095,51.79139478540518,0.9979681378935353
B0QY95_SMCR7L,Homo sapiens K562 lysate,0.10588878869369524,48.29373443284006,1257.4694216174862,48.74696511434634,0.9984390099572109
B0QY95,Homo sapiens K562 lysate,0.11513106232170234,49.58688182847744,884.8604130286793,50.3350226559507,0.995759018114956
B0YIW6_ARCN1,Homo sapiens K562 lysate,0.11269479324976744,48.90344398021248,1091.1262897891233,49.48197005262647,0.9928021630718742
B0YIW6,Homo sapiens K562 lysate,0.06155231842495458,49.75785429975349,948.8575007791039,50.10684976020094,0.9977580424851293
B1AHD1_NHP2L1,Homo sapiens K562 lysate,0.16539951328220492,46.3611595302453,1002.0742761821949,47.25248650867385,0.9923749805351985
