"epoch","1-graph - _step","1-graph - _step__MIN","1-graph - _step__MAX","1-graph - train.rmse","1-graph - train.rmse__MIN","1-graph - train.rmse__MAX","1-graph - valid.rmse","1-graph - valid.rmse__MIN","1-graph - valid.rmse__MAX","only_backbone - _step","only_backbone - _step__MIN","only_backbone - _step__MAX","only_backbone - train.rmse","only_backbone - train.rmse__MIN","only_backbone - train.rmse__MAX","only_backbone - valid.rmse","only_backbone - valid.rmse__MIN","only_backbone - valid.rmse__MAX","baseline_e - _step","baseline_e - _step__MIN","baseline_e - _step__MAX","baseline_e - train.rmse","baseline_e - train.rmse__MIN","baseline_e - train.rmse__MAX","baseline_e - valid.rmse","baseline_e - valid.rmse__MIN","baseline_e - valid.rmse__MAX"
"11","10","10","10","5.6656494140625","5.6656494140625","5.6656494140625","4.936244010925293","4.936244010925293","4.936244010925293","10","10","10","5.973683834075928","5.973683834075928","5.973683834075928","4.609508514404297","4.609508514404297","4.609508514404297","10","10","10","7.804640769958496","7.804640769958496","7.804640769958496","6.327094554901123","6.327094554901123","6.327094554901123"
"12","11","11","11","5.534430027008057","5.534430027008057","5.534430027008057","5.053782939910889","5.053782939910889","5.053782939910889","11","11","11","5.782853603363037","5.782853603363037","5.782853603363037","4.632827281951904","4.632827281951904","4.632827281951904","11","11","11","7.635357856750488","7.635357856750488","7.635357856750488","6.454471111297607","6.454471111297607","6.454471111297607"
"13","12","12","12","5.545907497406006","5.545907497406006","5.545907497406006","4.833404541015625","4.833404541015625","4.833404541015625","12","12","12","5.9350810050964355","5.9350810050964355","5.9350810050964355","4.921749591827393","4.921749591827393","4.921749591827393","12","12","12","7.754891872406006","7.754891872406006","7.754891872406006","6.513240337371826","6.513240337371826","6.513240337371826"
"14","13","13","13","5.5330963134765625","5.5330963134765625","5.5330963134765625","4.7634782791137695","4.7634782791137695","4.7634782791137695","13","13","13","5.924525260925293","5.924525260925293","5.924525260925293","5.015192031860352","5.015192031860352","5.015192031860352","13","13","13","7.762092590332031","7.762092590332031","7.762092590332031","6.616091728210449","6.616091728210449","6.616091728210449"
"15","14","14","14","5.423499584197998","5.423499584197998","5.423499584197998","4.8730082511901855","4.8730082511901855","4.8730082511901855","14","14","14","5.815138816833496","5.815138816833496","5.815138816833496","4.843058109283447","4.843058109283447","4.843058109283447","14","14","14","7.6629638671875","7.6629638671875","7.6629638671875","6.1894097328186035","6.1894097328186035","6.1894097328186035"
"16","15","15","15","5.3377838134765625","5.3377838134765625","5.3377838134765625","4.923552513122559","4.923552513122559","4.923552513122559","15","15","15","5.825770378112793","5.825770378112793","5.825770378112793","5.1198954582214355","5.1198954582214355","5.1198954582214355","15","15","15","7.635006904602051","7.635006904602051","7.635006904602051","6.240577220916748","6.240577220916748","6.240577220916748"
"17","16","16","16","5.3382673263549805","5.3382673263549805","5.3382673263549805","4.616036891937256","4.616036891937256","4.616036891937256","16","16","16","5.851355075836182","5.851355075836182","5.851355075836182","4.589776515960693","4.589776515960693","4.589776515960693","16","16","16","7.657511234283447","7.657511234283447","7.657511234283447","6.569023609161377","6.569023609161377","6.569023609161377"
"18","17","17","17","5.134188175201416","5.134188175201416","5.134188175201416","4.841118812561035","4.841118812561035","4.841118812561035","17","17","17","5.759010314941406","5.759010314941406","5.759010314941406","4.596427917480469","4.596427917480469","4.596427917480469","17","17","17","7.659484386444092","7.659484386444092","7.659484386444092","6.725289344787598","6.725289344787598","6.725289344787598"
"19","18","18","18","5.189777851104736","5.189777851104736","5.189777851104736","4.7782673835754395","4.7782673835754395","4.7782673835754395","18","18","18","5.715642929077148","5.715642929077148","5.715642929077148","5.126723766326904","5.126723766326904","5.126723766326904","18","18","18","7.7220845222473145","7.7220845222473145","7.7220845222473145","6.610429286956787","6.610429286956787","6.610429286956787"
"20","19","19","19","5.18723201751709","5.18723201751709","5.18723201751709","4.657609939575195","4.657609939575195","4.657609939575195","19","19","19","5.825672149658203","5.825672149658203","5.825672149658203","4.59400749206543","4.59400749206543","4.59400749206543","19","19","19","7.576533794403076","7.576533794403076","7.576533794403076","6.887667179107666","6.887667179107666","6.887667179107666"
"21","20","20","20","5.1211934089660645","5.1211934089660645","5.1211934089660645","4.738664627075195","4.738664627075195","4.738664627075195","20","20","20","5.6956353187561035","5.6956353187561035","5.6956353187561035","4.920287132263184","4.920287132263184","4.920287132263184","20","20","20","7.752954006195068","7.752954006195068","7.752954006195068","6.8475847244262695","6.8475847244262695","6.8475847244262695"
"22","21","21","21","5.180324554443359","5.180324554443359","5.180324554443359","4.858438014984131","4.858438014984131","4.858438014984131","21","21","21","5.828426837921143","5.828426837921143","5.828426837921143","4.936905860900879","4.936905860900879","4.936905860900879","21","21","21","7.698514461517334","7.698514461517334","7.698514461517334","6.465799808502197","6.465799808502197","6.465799808502197"
"23","22","22","22","5.081826210021973","5.081826210021973","5.081826210021973","4.633885383605957","4.633885383605957","4.633885383605957","22","22","22","5.7180070877075195","5.7180070877075195","5.7180070877075195","4.638858795166016","4.638858795166016","4.638858795166016","22","22","22","7.627852916717529","7.627852916717529","7.627852916717529","6.263097763061523","6.263097763061523","6.263097763061523"
"24","23","23","23","5.1250901222229","5.1250901222229","5.1250901222229","4.458333492279053","4.458333492279053","4.458333492279053","23","23","23","5.711877822875977","5.711877822875977","5.711877822875977","4.597020149230957","4.597020149230957","4.597020149230957","23","23","23","7.659480571746826","7.659480571746826","7.659480571746826","6.446608066558838","6.446608066558838","6.446608066558838"
"25","24","24","24","5.048402309417725","5.048402309417725","5.048402309417725","4.703787326812744","4.703787326812744","4.703787326812744","24","24","24","5.769598484039307","5.769598484039307","5.769598484039307","5.341857433319092","5.341857433319092","5.341857433319092","24","24","24","7.716343402862549","7.716343402862549","7.716343402862549","6.577350616455078","6.577350616455078","6.577350616455078"
"26","25","25","25","5.068140029907227","5.068140029907227","5.068140029907227","4.964733123779297","4.964733123779297","4.964733123779297","25","25","25","5.797855854034424","5.797855854034424","5.797855854034424","4.871791839599609","4.871791839599609","4.871791839599609","25","25","25","7.746366024017334","7.746366024017334","7.746366024017334","6.520877838134766","6.520877838134766","6.520877838134766"
"27","26","26","26","5.036400318145752","5.036400318145752","5.036400318145752","4.676340103149414","4.676340103149414","4.676340103149414","26","26","26","5.801605224609375","5.801605224609375","5.801605224609375","4.8106231689453125","4.8106231689453125","4.8106231689453125","26","26","26","7.7796220779418945","7.7796220779418945","7.7796220779418945","6.551428318023682","6.551428318023682","6.551428318023682"
"28","27","27","27","5.056085109710693","5.056085109710693","5.056085109710693","4.8169684410095215","4.8169684410095215","4.8169684410095215","27","27","27","5.863467693328857","5.863467693328857","5.863467693328857","4.623589038848877","4.623589038848877","4.623589038848877","27","27","27","7.713321685791016","7.713321685791016","7.713321685791016","5.858991622924805","5.858991622924805","5.858991622924805"
"29","28","28","28","5.026551723480225","5.026551723480225","5.026551723480225","4.637160301208496","4.637160301208496","4.637160301208496","28","28","28","5.7438859939575195","5.7438859939575195","5.7438859939575195","4.638913154602051","4.638913154602051","4.638913154602051","28","28","28","7.709714889526367","7.709714889526367","7.709714889526367","6.559098243713379","6.559098243713379","6.559098243713379"
"30","29","29","29","4.921935558319092","4.921935558319092","4.921935558319092","4.424549579620361","4.424549579620361","4.424549579620361","29","29","29","5.694295406341553","5.694295406341553","5.694295406341553","4.709750175476074","4.709750175476074","4.709750175476074","29","29","29","7.595388412475586","7.595388412475586","7.595388412475586","6.138235092163086","6.138235092163086","6.138235092163086"
"31","30","30","30","5.007457733154297","5.007457733154297","5.007457733154297","5.029877185821533","5.029877185821533","5.029877185821533","30","30","30","5.727939605712891","5.727939605712891","5.727939605712891","4.73559045791626","4.73559045791626","4.73559045791626","30","30","30","7.80116605758667","7.80116605758667","7.80116605758667","6.082969665527344","6.082969665527344","6.082969665527344"
"32","31","31","31","4.862733840942383","4.862733840942383","4.862733840942383","4.43990421295166","4.43990421295166","4.43990421295166","31","31","31","5.624207496643066","5.624207496643066","5.624207496643066","4.640836715698242","4.640836715698242","4.640836715698242","31","31","31","7.590181827545166","7.590181827545166","7.590181827545166","6.114296913146973","6.114296913146973","6.114296913146973"
"33","32","32","32","4.88149356842041","4.88149356842041","4.88149356842041","4.3944268226623535","4.3944268226623535","4.3944268226623535","32","32","32","5.634368419647217","5.634368419647217","5.634368419647217","4.8965325355529785","4.8965325355529785","4.8965325355529785","32","32","32","7.706124305725098","7.706124305725098","7.706124305725098","6.627894878387451","6.627894878387451","6.627894878387451"
"34","33","33","33","4.835644721984863","4.835644721984863","4.835644721984863","4.360215663909912","4.360215663909912","4.360215663909912","33","33","33","5.679872989654541","5.679872989654541","5.679872989654541","4.541258335113525","4.541258335113525","4.541258335113525","33","33","33","7.692348480224609","7.692348480224609","7.692348480224609","6.366847991943359","6.366847991943359","6.366847991943359"
"35","34","34","34","4.857574939727783","4.857574939727783","4.857574939727783","4.350571155548096","4.350571155548096","4.350571155548096","34","34","34","5.710748672485352","5.710748672485352","5.710748672485352","4.481534004211426","4.481534004211426","4.481534004211426","34","34","34","7.600381851196289","7.600381851196289","7.600381851196289","6.425897121429443","6.425897121429443","6.425897121429443"
"36","35","35","35","4.7973246574401855","4.7973246574401855","4.7973246574401855","4.462646961212158","4.462646961212158","4.462646961212158","35","35","35","5.547604084014893","5.547604084014893","5.547604084014893","4.854899883270264","4.854899883270264","4.854899883270264","35","35","35","7.5795183181762695","7.5795183181762695","7.5795183181762695","6.235748291015625","6.235748291015625","6.235748291015625"
"37","36","36","36","4.8567633628845215","4.8567633628845215","4.8567633628845215","4.405844211578369","4.405844211578369","4.405844211578369","36","36","36","5.723952293395996","5.723952293395996","5.723952293395996","4.725187301635742","4.725187301635742","4.725187301635742","36","36","36","7.593200206756592","7.593200206756592","7.593200206756592","5.852868556976318","5.852868556976318","5.852868556976318"
"38","37","37","37","4.847638130187988","4.847638130187988","4.847638130187988","4.836127281188965","4.836127281188965","4.836127281188965","37","37","37","5.6607794761657715","5.6607794761657715","5.6607794761657715","4.615256309509277","4.615256309509277","4.615256309509277","37","37","37","7.615101337432861","7.615101337432861","7.615101337432861","6.414630889892578","6.414630889892578","6.414630889892578"
"39","38","38","38","4.741929531097412","4.741929531097412","4.741929531097412","4.352783679962158","4.352783679962158","4.352783679962158","38","38","38","5.570145606994629","5.570145606994629","5.570145606994629","4.705458164215088","4.705458164215088","4.705458164215088","38","38","38","7.51478385925293","7.51478385925293","7.51478385925293","6.478170871734619","6.478170871734619","6.478170871734619"
"40","39","39","39","4.790891647338867","4.790891647338867","4.790891647338867","4.412635326385498","4.412635326385498","4.412635326385498","39","39","39","5.738457679748535","5.738457679748535","5.738457679748535","4.956698417663574","4.956698417663574","4.956698417663574","39","39","39","7.653713703155518","7.653713703155518","7.653713703155518","6.075998783111572","6.075998783111572","6.075998783111572"
"41","40","40","40","4.824258327484131","4.824258327484131","4.824258327484131","4.407431125640869","4.407431125640869","4.407431125640869","40","40","40","5.667812347412109","5.667812347412109","5.667812347412109","4.977146148681641","4.977146148681641","4.977146148681641","40","40","40","7.695589065551758","7.695589065551758","7.695589065551758","6.56229829788208","6.56229829788208","6.56229829788208"
"42","41","41","41","4.813420295715332","4.813420295715332","4.813420295715332","4.373810768127441","4.373810768127441","4.373810768127441","41","41","41","5.70163631439209","5.70163631439209","5.70163631439209","4.591041564941406","4.591041564941406","4.591041564941406","41","41","41","7.649564266204834","7.649564266204834","7.649564266204834","6.316840171813965","6.316840171813965","6.316840171813965"
"43","42","42","42","4.741854190826416","4.741854190826416","4.741854190826416","4.323365211486816","4.323365211486816","4.323365211486816","42","42","42","5.647517204284668","5.647517204284668","5.647517204284668","4.691417694091797","4.691417694091797","4.691417694091797","42","42","42","7.755709648132324","7.755709648132324","7.755709648132324","6.734039783477783","6.734039783477783","6.734039783477783"
"44","43","43","43","4.6953630447387695","4.6953630447387695","4.6953630447387695","4.442868709564209","4.442868709564209","4.442868709564209","43","43","43","5.647117614746094","5.647117614746094","5.647117614746094","4.753185749053955","4.753185749053955","4.753185749053955","43","43","43","7.601503372192383","7.601503372192383","7.601503372192383","6.1011786460876465","6.1011786460876465","6.1011786460876465"
"45","44","44","44","4.6604132652282715","4.6604132652282715","4.6604132652282715","4.47236442565918","4.47236442565918","4.47236442565918","44","44","44","5.545701026916504","5.545701026916504","5.545701026916504","4.7552490234375","4.7552490234375","4.7552490234375","44","44","44","7.605287075042725","7.605287075042725","7.605287075042725","6.5709357261657715","6.5709357261657715","6.5709357261657715"
"46","45","45","45","4.651462078094482","4.651462078094482","4.651462078094482","4.461536407470703","4.461536407470703","4.461536407470703","45","45","45","5.61232328414917","5.61232328414917","5.61232328414917","4.794397354125977","4.794397354125977","4.794397354125977","45","45","45","7.601774215698242","7.601774215698242","7.601774215698242","6.464062690734863","6.464062690734863","6.464062690734863"
"47","46","46","46","4.668576240539551","4.668576240539551","4.668576240539551","4.365205764770508","4.365205764770508","4.365205764770508","46","46","46","5.626981735229492","5.626981735229492","5.626981735229492","4.922768592834473","4.922768592834473","4.922768592834473","46","46","46","7.627510070800781","7.627510070800781","7.627510070800781","5.971086502075195","5.971086502075195","5.971086502075195"
"48","47","47","47","4.672008991241455","4.672008991241455","4.672008991241455","4.592379093170166","4.592379093170166","4.592379093170166","47","47","47","5.596687316894531","5.596687316894531","5.596687316894531","4.406883239746094","4.406883239746094","4.406883239746094","47","47","47","7.460250377655029","7.460250377655029","7.460250377655029","5.989863395690918","5.989863395690918","5.989863395690918"
"49","48","48","48","4.627288341522217","4.627288341522217","4.627288341522217","4.37211275100708","4.37211275100708","4.37211275100708","48","48","48","5.656955718994141","5.656955718994141","5.656955718994141","4.711859703063965","4.711859703063965","4.711859703063965","48","48","48","7.593676567077637","7.593676567077637","7.593676567077637","6.404364109039307","6.404364109039307","6.404364109039307"
"50","49","49","49","4.661798477172852","4.661798477172852","4.661798477172852","4.531888008117676","4.531888008117676","4.531888008117676","49","49","49","5.635285377502441","5.635285377502441","5.635285377502441","4.719518184661865","4.719518184661865","4.719518184661865","49","49","49","7.653564929962158","7.653564929962158","7.653564929962158","6.689825057983398","6.689825057983398","6.689825057983398"
"51","50","50","50","4.578991889953613","4.578991889953613","4.578991889953613","4.712527275085449","4.712527275085449","4.712527275085449","50","50","50","5.635392189025879","5.635392189025879","5.635392189025879","5.498052597045898","5.498052597045898","5.498052597045898","50","50","50","7.721400737762451","7.721400737762451","7.721400737762451","6.168417930603027","6.168417930603027","6.168417930603027"
"52","51","51","51","4.652900695800781","4.652900695800781","4.652900695800781","4.389906406402588","4.389906406402588","4.389906406402588","51","51","51","5.604245662689209","5.604245662689209","5.604245662689209","4.788904190063477","4.788904190063477","4.788904190063477","51","51","51","7.617396831512451","7.617396831512451","7.617396831512451","6.489468097686768","6.489468097686768","6.489468097686768"
"53","52","52","52","4.559099197387695","4.559099197387695","4.559099197387695","4.648468017578125","4.648468017578125","4.648468017578125","52","52","52","5.586432456970215","5.586432456970215","5.586432456970215","4.56389045715332","4.56389045715332","4.56389045715332","52","52","52","7.749467849731445","7.749467849731445","7.749467849731445","6.141638278961182","6.141638278961182","6.141638278961182"
"54","53","53","53","4.523922443389893","4.523922443389893","4.523922443389893","4.4373955726623535","4.4373955726623535","4.4373955726623535","53","53","53","5.626152038574219","5.626152038574219","5.626152038574219","4.635529041290283","4.635529041290283","4.635529041290283","53","53","53","7.604532241821289","7.604532241821289","7.604532241821289","6.301644325256348","6.301644325256348","6.301644325256348"
"55","54","54","54","4.530473709106445","4.530473709106445","4.530473709106445","4.400859832763672","4.400859832763672","4.400859832763672","54","54","54","5.659987926483154","5.659987926483154","5.659987926483154","4.474010467529297","4.474010467529297","4.474010467529297","54","54","54","7.879523277282715","7.879523277282715","7.879523277282715","6.241518497467041","6.241518497467041","6.241518497467041"
"56","55","55","55","4.508218288421631","4.508218288421631","4.508218288421631","4.730495929718018","4.730495929718018","4.730495929718018","55","55","55","5.581703186035156","5.581703186035156","5.581703186035156","4.5966691970825195","4.5966691970825195","4.5966691970825195","55","55","55","7.637923240661621","7.637923240661621","7.637923240661621","6.637283802032471","6.637283802032471","6.637283802032471"
"57","56","56","56","4.478684902191162","4.478684902191162","4.478684902191162","4.5646257400512695","4.5646257400512695","4.5646257400512695","56","56","56","5.53012228012085","5.53012228012085","5.53012228012085","4.707797050476074","4.707797050476074","4.707797050476074","56","56","56","7.670867919921875","7.670867919921875","7.670867919921875","6.324446678161621","6.324446678161621","6.324446678161621"
"58","57","57","57","4.428911209106445","4.428911209106445","4.428911209106445","4.518609046936035","4.518609046936035","4.518609046936035","57","57","57","5.5355610847473145","5.5355610847473145","5.5355610847473145","4.693358898162842","4.693358898162842","4.693358898162842","57","57","57","7.612597465515137","7.612597465515137","7.612597465515137","6.565505027770996","6.565505027770996","6.565505027770996"
"59","58","58","58","4.534584045410156","4.534584045410156","4.534584045410156","4.46132230758667","4.46132230758667","4.46132230758667","58","58","58","5.5219221115112305","5.5219221115112305","5.5219221115112305","4.508548259735107","4.508548259735107","4.508548259735107","58","58","58","7.693649768829346","7.693649768829346","7.693649768829346","6.597756385803223","6.597756385803223","6.597756385803223"
"60","59","59","59","4.490007400512695","4.490007400512695","4.490007400512695","4.606491565704346","4.606491565704346","4.606491565704346","59","59","59","5.532594203948975","5.532594203948975","5.532594203948975","4.419506072998047","4.419506072998047","4.419506072998047","59","59","59","7.6528425216674805","7.6528425216674805","7.6528425216674805","6.282607078552246","6.282607078552246","6.282607078552246"
"61","60","60","60","4.483843803405762","4.483843803405762","4.483843803405762","4.384461879730225","4.384461879730225","4.384461879730225","60","60","60","5.519979476928711","5.519979476928711","5.519979476928711","4.457308292388916","4.457308292388916","4.457308292388916","60","60","60","7.671877861022949","7.671877861022949","7.671877861022949","6.252148151397705","6.252148151397705","6.252148151397705"
"62","61","61","61","4.317951679229736","4.317951679229736","4.317951679229736","4.682850360870361","4.682850360870361","4.682850360870361","61","61","61","5.432292461395264","5.432292461395264","5.432292461395264","4.564694404602051","4.564694404602051","4.564694404602051","61","61","61","7.594778060913086","7.594778060913086","7.594778060913086","6.301231384277344","6.301231384277344","6.301231384277344"
"63","62","62","62","4.378598213195801","4.378598213195801","4.378598213195801","4.402830123901367","4.402830123901367","4.402830123901367","62","62","62","5.520235061645508","5.520235061645508","5.520235061645508","4.4508376121521","4.4508376121521","4.4508376121521","62","62","62","7.580502986907959","7.580502986907959","7.580502986907959","6.134832382202148","6.134832382202148","6.134832382202148"
"64","63","63","63","4.2581915855407715","4.2581915855407715","4.2581915855407715","4.326102256774902","4.326102256774902","4.326102256774902","63","63","63","5.507239818572998","5.507239818572998","5.507239818572998","4.652425765991211","4.652425765991211","4.652425765991211","63","63","63","7.638969421386719","7.638969421386719","7.638969421386719","6.190980911254883","6.190980911254883","6.190980911254883"
"65","64","64","64","4.388978481292725","4.388978481292725","4.388978481292725","4.286421775817871","4.286421775817871","4.286421775817871","64","64","64","5.4761061668396","5.4761061668396","5.4761061668396","4.668442726135254","4.668442726135254","4.668442726135254","64","64","64","7.679466724395752","7.679466724395752","7.679466724395752","6.3743767738342285","6.3743767738342285","6.3743767738342285"
"66","65","65","65","4.3491435050964355","4.3491435050964355","4.3491435050964355","4.493369102478027","4.493369102478027","4.493369102478027","65","65","65","5.4769792556762695","5.4769792556762695","5.4769792556762695","5.180771827697754","5.180771827697754","5.180771827697754","65","65","65","7.610179424285889","7.610179424285889","7.610179424285889","6.125126838684082","6.125126838684082","6.125126838684082"
"67","66","66","66","4.261985778808594","4.261985778808594","4.261985778808594","4.970820903778076","4.970820903778076","4.970820903778076","66","66","66","5.411881446838379","5.411881446838379","5.411881446838379","4.543951988220215","4.543951988220215","4.543951988220215","66","66","66","7.666586875915527","7.666586875915527","7.666586875915527","7.027169704437256","7.027169704437256","7.027169704437256"
"68","67","67","67","4.328237533569336","4.328237533569336","4.328237533569336","4.4314799308776855","4.4314799308776855","4.4314799308776855","67","67","67","5.507088661193848","5.507088661193848","5.507088661193848","4.5689544677734375","4.5689544677734375","4.5689544677734375","67","67","67","7.624181270599365","7.624181270599365","7.624181270599365","6.736130714416504","6.736130714416504","6.736130714416504"
"69","68","68","68","4.2077531814575195","4.2077531814575195","4.2077531814575195","4.7964982986450195","4.7964982986450195","4.7964982986450195","68","68","68","5.341324806213379","5.341324806213379","5.341324806213379","4.670302391052246","4.670302391052246","4.670302391052246","68","68","68","7.5397047996521","7.5397047996521","7.5397047996521","6.3400444984436035","6.3400444984436035","6.3400444984436035"
"70","69","69","69","4.239261150360107","4.239261150360107","4.239261150360107","4.5362162590026855","4.5362162590026855","4.5362162590026855","69","69","69","5.429370403289795","5.429370403289795","5.429370403289795","4.998126983642578","4.998126983642578","4.998126983642578","69","69","69","7.628874778747559","7.628874778747559","7.628874778747559","6.454850673675537","6.454850673675537","6.454850673675537"
"71","70","70","70","4.213419437408447","4.213419437408447","4.213419437408447","4.505595684051514","4.505595684051514","4.505595684051514","70","70","70","5.455819606781006","5.455819606781006","5.455819606781006","4.813247203826904","4.813247203826904","4.813247203826904","70","70","70","7.569986343383789","7.569986343383789","7.569986343383789","6.64036750793457","6.64036750793457","6.64036750793457"
"72","71","71","71","4.265009880065918","4.265009880065918","4.265009880065918","4.647049427032471","4.647049427032471","4.647049427032471","71","71","71","5.543574810028076","5.543574810028076","5.543574810028076","5.013708114624023","5.013708114624023","5.013708114624023","71","71","71","7.661252021789551","7.661252021789551","7.661252021789551","5.939971446990967","5.939971446990967","5.939971446990967"
"73","72","72","72","4.188225269317627","4.188225269317627","4.188225269317627","4.701991081237793","4.701991081237793","4.701991081237793","72","72","72","5.512862205505371","5.512862205505371","5.512862205505371","4.695094585418701","4.695094585418701","4.695094585418701","72","72","72","7.768031120300293","7.768031120300293","7.768031120300293","6.899141311645508","6.899141311645508","6.899141311645508"
"74","73","73","73","4.270901203155518","4.270901203155518","4.270901203155518","4.554837226867676","4.554837226867676","4.554837226867676","73","73","73","5.480712890625","5.480712890625","5.480712890625","4.603777885437012","4.603777885437012","4.603777885437012","73","73","73","7.800340175628662","7.800340175628662","7.800340175628662","6.818196773529053","6.818196773529053","6.818196773529053"
"75","74","74","74","4.267078876495361","4.267078876495361","4.267078876495361","4.671996116638184","4.671996116638184","4.671996116638184","74","74","74","5.491673946380615","5.491673946380615","5.491673946380615","4.405636787414551","4.405636787414551","4.405636787414551","74","74","74","7.659452438354492","7.659452438354492","7.659452438354492","6.627573490142822","6.627573490142822","6.627573490142822"
"76","75","75","75","4.173919200897217","4.173919200897217","4.173919200897217","4.5383100509643555","4.5383100509643555","4.5383100509643555","75","75","75","5.482141971588135","5.482141971588135","5.482141971588135","5.011513710021973","5.011513710021973","5.011513710021973","75","75","75","7.636962413787842","7.636962413787842","7.636962413787842","6.379972457885742","6.379972457885742","6.379972457885742"
"77","76","76","76","4.264622211456299","4.264622211456299","4.264622211456299","4.6755242347717285","4.6755242347717285","4.6755242347717285","76","76","76","5.525149345397949","5.525149345397949","5.525149345397949","4.5261359214782715","4.5261359214782715","4.5261359214782715","76","76","76","7.653173923492432","7.653173923492432","7.653173923492432","6.028078079223633","6.028078079223633","6.028078079223633"
"78","77","77","77","4.15104866027832","4.15104866027832","4.15104866027832","4.612551212310791","4.612551212310791","4.612551212310791","77","77","77","5.438210964202881","5.438210964202881","5.438210964202881","4.434690475463867","4.434690475463867","4.434690475463867","77","77","77","7.58964204788208","7.58964204788208","7.58964204788208","6.182082176208496","6.182082176208496","6.182082176208496"
